disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa,vector_species_rule_cleaned,taxonomy_cleanup_method,vector_species_original,vector_species_taxonomy_cleaned,vector_taxon_rank,review_needed,review_note,vector_join_key
Dengue,dengue,Aedes polynesiensis,aedes polynesiensis,mosquito,mosquito,confirmed,review,lit_review,1,4,American Samoa; Pacific region; South Pacific Islands,"(Barrera, 2025); Barrera 2025; Islam et al. 2021; Rakotonirina et al. 2022",main vector; regional vector; secondary vector; transmits dengue,TRUE,FALSE,aedes polynesiensis,no_change,Aedes polynesiensis,aedes polynesiensis,species,FALSE,,aedes polynesiensis
Dengue,dengue,Aedes pseudoscutellaris,aedes pseudoscutellaris,mosquito,mosquito,candidate,review,lit_review,1,1,Pacific region,Rakotonirina et al. 2022,highly suspected,TRUE,FALSE,aedes pseudoscutellaris,no_change,Aedes pseudoscutellaris,aedes pseudoscutellaris,species,FALSE,,aedes pseudoscutellaris
Dengue,dengue,Aedes scutellaris,aedes scutellaris,mosquito,mosquito,candidate,review,lit_review,1,2,Cambodia; Pacific region,Doeurk et al. 2024; Rakotonirina et al. 2022,highly suspected; potential vector,TRUE,FALSE,aedes scutellaris,no_change,Aedes scutellaris,aedes scutellaris,species,FALSE,,aedes scutellaris
Oropouche fever,oropouche fever,Culicoides,culicoides,midge,midge,candidate,review,lit_review,1,1,,Sakkas et al. 2018,genus-level sylvatic vector,TRUE,FALSE,culicoides,no_change,Culicoides,culicoides,genus_only,FALSE,,culicoides
Oropouche fever,oropouche fever,Culicoides insignis,culicoides insignis,midge,midge,candidate,review,lit_review,1,1,Peru,Ayres et al. 2026,possible new vector,TRUE,FALSE,culicoides insignis,no_change,Culicoides insignis,culicoides insignis,species,FALSE,,culicoides insignis
Oropouche fever,oropouche fever,Culicoides paraensis,culicoides paraensis,midge,midge,confirmed,review,lit_review,1,7,Brazil,Ayres et al. 2026; Gallichotte et al. 2025; González et al. 2025; Romero-Alvarez and Escobar 2018; Sakkas et al. 2018; Sciancalepore et al. 2022,main vector; primary urban vector; primary vector; principal urban vector; principal vector,TRUE,FALSE,culicoides paraensis,no_change,Culicoides paraensis,culicoides paraensis,species,FALSE,,culicoides paraensis
Oropouche fever,oropouche fever,Culicoides sonorensis,culicoides sonorensis,midge,midge,probable,review,lit_review,1,2,North America,Ayres et al. 2026; Gallichotte et al. 2025,high competence; lab competence,TRUE,FALSE,culicoides sonorensis,no_change,Culicoides sonorensis,culicoides sonorensis,species,FALSE,,culicoides sonorensis
Oropouche fever,oropouche fever,Ochlerotatus serratus,ochlerotatus serratus,mosquito,mosquito,candidate,review,lit_review,1,1,Brazil,Sciancalepore et al. 2022,listed mosquito vector,TRUE,FALSE,ochlerotatus serratus,no_change,Ochlerotatus serratus,ochlerotatus serratus,species,FALSE,,ochlerotatus serratus
Plague,plague,Aetheca wagneri,aetheca wagneri,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,aetheca wagneri,no_change,Aetheca wagneri,aetheca wagneri,species,FALSE,,aetheca wagneri
Plague,plague,Citellophilus tesquorum,citellophilus tesquorum,flea,flea,probable,review,lit_review,1,1,,Gage and Kosoy 2005,blocking and transmission studies,TRUE,FALSE,citellophilus tesquorum,no_change,Citellophilus tesquorum,citellophilus tesquorum,species,FALSE,,citellophilus tesquorum
Plague,plague,Citellophilus tesquorum altaicus,citellophilus tesquorum altaicus,flea,flea,confirmed,review,lit_review,1,2,southern Siberia,Ben Ari et al. 2011; Gage and Kosoy 2005,important vector; winter maintenance in hibernating rodents,TRUE,FALSE,citellophilus tesquorum altaicus,no_change,Citellophilus tesquorum altaicus,citellophilus tesquorum altaicus,infraspecific,FALSE,,citellophilus tesquorum altaicus
Plague,plague,Echidnophaga gallinaceus,echidnophaga gallinaceus,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,echidnophaga gallinaceus,no_change,Echidnophaga gallinaceus,echidnophaga gallinaceus,species,FALSE,,echidnophaga gallinaceus
Plague,plague,Epitedia eumolpi,epitedia eumolpi,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,epitedia eumolpi,no_change,Epitedia eumolpi,epitedia eumolpi,species,FALSE,,epitedia eumolpi
Plague,plague,Epitedia wenmanni,epitedia wenmanni,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,epitedia wenmanni,no_change,Epitedia wenmanni,epitedia wenmanni,species,FALSE,,epitedia wenmanni
Plague,plague,Hoplopsyllus anomalus,hoplopsyllus anomalus,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,hoplopsyllus anomalus,no_change,Hoplopsyllus anomalus,hoplopsyllus anomalus,species,FALSE,,hoplopsyllus anomalus
Plague,plague,Hystrichopsylla linsdalei,hystrichopsylla linsdalei,flea,flea,confirmed,review,lit_review,1,2,North America,Eisen et al. 2009 Table 1; Gage and Kosoy 2005,experimentally confirmed; important in enzootic transmission,TRUE,FALSE,hystrichopsylla linsdalei,no_change,Hystrichopsylla linsdalei,hystrichopsylla linsdalei,species,FALSE,,hystrichopsylla linsdalei
Plague,plague,Malaraeus telchinum,malaraeus telchinum,flea,flea,confirmed,review,lit_review,1,2,North America,Eisen et al. 2009 Table 1; Gage and Kosoy 2005,experimentally confirmed; mechanical transmission,TRUE,FALSE,malaraeus telchinum,no_change,Malaraeus telchinum,malaraeus telchinum,species,FALSE,,malaraeus telchinum
Plague,plague,Neopsylla setosa,neopsylla setosa,flea,flea,probable,review,lit_review,1,1,,Gage and Kosoy 2005,blocking study,TRUE,FALSE,neopsylla setosa,no_change,Neopsylla setosa,neopsylla setosa,species,FALSE,,neopsylla setosa
Plague,plague,Nosopsyllus fasciatus,nosopsyllus fasciatus,flea,flea,confirmed,review,lit_review,1,2,North America,Eisen et al. 2009 Table 1; Gage and Kosoy 2005,experimentally confirmed; northern rat flea,TRUE,FALSE,nosopsyllus fasciatus,no_change,Nosopsyllus fasciatus,nosopsyllus fasciatus,species,FALSE,,nosopsyllus fasciatus
Plague,plague,Opisodasys nesiotis,opisodasys nesiotis,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,OCR spelling uncertain,TRUE,FALSE,opisodasys nesiotis,no_change,Opisodasys nesiotis,opisodasys nesiotis,species,FALSE,,opisodasys nesiotis
Plague,plague,Orchopeas sexdentatus,orchopeas sexdentatus,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,orchopeas sexdentatus,no_change,Orchopeas sexdentatus,orchopeas sexdentatus,species,FALSE,,orchopeas sexdentatus
Plague,plague,Oropsylla idahoensis,oropsylla idahoensis,flea,flea,confirmed,review,lit_review,1,1,North America,Eisen et al. 2009 Table 1,experimentally confirmed,TRUE,FALSE,oropsylla idahoensis,no_change,Oropsylla idahoensis,oropsylla idahoensis,species,FALSE,,oropsylla idahoensis
