Pathogen,Host_clean,Disease_name,HostTaxID,PathogenTaxID,PathogenGenus,PathogenFamily,PathogenOrder,PathogenClass,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,in_gibb_etal,in_empres_i,PHEIC risk,MainSource
Orthobornavirus bornaense,Coloeus monedula,Borna disease (encephalitis),30423,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Vicugna pacos,Borna disease (encephalitis),30538,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Crocidura russula,Borna disease (encephalitis),36802,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,SORICIDAE,EULIPOTYPHLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Sorex araneus,Borna disease (encephalitis),42254,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,SORICIDAE,EULIPOTYPHLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,crocidura suaveolens,Borna disease (encephalitis),52631,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Hexaprotodon liberiensis,Borna disease (encephalitis),56798,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Crocidura leucodon,Borna disease (encephalitis),109474,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,SORICIDAE,EULIPOTYPHLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Castor fiber,Borna disease (encephalitis),331605,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,CASTORIDAE,RODENTIA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
Orthobornavirus bornaense,Equus ferus,Borna disease (encephalitis),1114792,1714619,orthobornavirus,bornaviridae,mononegavirales,monjiviricetes,CHORDATA,MAMMALIA,EQUIDAE,PERISSODACTYLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,Low,VIRION
MERS-like bat merbecoviruses,Vespertilio sinensis,Middle East Respiratory Syndrome (MERS),105273,1335626,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,VESPERTILIONIDAE,CHIROPTERA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Pipistrellus hesperidus,Middle East Respiratory Syndrome (MERS),294653,1335626,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,VESPERTILIONIDAE,CHIROPTERA,PCR/Sequencing,TRUE,FALSE,virion_host_flag_review,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Homo sapiens,Middle East Respiratory Syndrome (MERS),9606,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Equus asinus,Middle East Respiratory Syndrome (MERS),9793,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,CHORDATA,MAMMALIA,EQUIDAE,PERISSODACTYLA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
MERS-like bat merbecoviruses,Camelus bactrianus,Middle East Respiratory Syndrome (MERS),9837,3433633,betacoronavirus,coronaviridae,nidovirales,pisoniviricetes,NA,NA,NA,NA,PCR/Sequencing,TRUE,TRUE,NA,FALSE,FALSE,High,VIRION
