Disease_name,output_path,mapped_countries
Murray Valley encephalitis,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Murray_Valley_encephalitis.png,3
Nipah virus disease,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Nipah_virus_disease.png,8
O'nyong-nyong,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/O_nyong_nyong.png,5
Omsk HF,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Omsk_HF.png,1
Oropouche fever,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Oropouche_fever.png,14
Plague,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Plague.png,35
Powassan,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Powassan.png,3
Prospect Hill,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Prospect_Hill.png,1
Q fever,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Q_fever.png,59
Rabies,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Rabies.png,130
Reovirus infection (usually mild),/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Reovirus_infection_usually_mild.png,25
Rickettsia conorii indica,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Rickettsia_conorii_indica.png,3
Rift Valley fever,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Rift_Valley_fever.png,32
Rocio,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Rocio.png,1
Ross River virus,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Ross_River_virus.png,7
Schmallenberg,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Schmallenberg.png,18
Scrub typhus,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Scrub_typhus.png,19
Severe fever with thrombocytopenia syndrome (SFTS),/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Severe_fever_with_thrombocytopenia_syndrome_SFTS.png,6
St. Louis encephalitis,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/St_Louis_encephalitis.png,12
Sudan virus disease (Ebola virus disease),/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Sudan_virus_disease_Ebola_virus_disease.png,4
Tick-borne encephalitis,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Tick_borne_encephalitis.png,36
Venezuelan equine encephalitis,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Venezuelan_equine_encephalitis.png,18
WEE,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/WEE.png,10
West Nile fever,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/West_Nile_fever.png,73
Yellow fever,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Yellow_fever.png,41
Zika virus disease,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Zika_virus_disease.png,75
Zoonotic malaria (P. knowlesi),/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/WHO/genbank_simple/maps_readiness/disease_country_records/Zoonotic_malaria_P_knowlesi.png,15
