Host,HostTaxID,correct_name,type,taxon_level,Genus,Family,Order,Class,Phylum,host_species,Spp_syn,IUCN_spp,Or_name,IUCN_Present,IUCN_id,IUCN_name,IUCN_latest,IUCN_date,IUCN_Category,IUCN_N_syn,IUCN_syn,IUCN_status,IUCN_Phylum,IUCN_Class,IUCN_Order,IUCN_Family,ITIS_Present,ITIS_is_valid,ITIS_id,ITIS_name,ITIS_Phylum,ITIS_N_syn,ITIS_syn,ITIS_Class,ITIS_Order,ITIS_Family,ITIS_species_in_genus,GBIF_Present,GBIF_id,GBIF_name,GBIF_N_syn,GBIF_syn,GBIF_Phylum,GBIF_Status,GBIF_Class,GBIF_Order,GBIF_Family
Crotophaga sulcirostris,33598,Crotophaga sulcirostris,host,species,Crotophaga,CUCULIDAE,CUCULIFORMES,AVES,CHORDATA,Crotophaga sulcirostris,Crotophaga sulcirostris,Crotophaga sulcirostris,Crotophaga sulcirostris,Yes,22684438,Crotophaga sulcirostris,TRUE,2021,LC,,,,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Yes,valid,177839,Crotophaga sulcirostris,CHORDATA,0,,AVES,CUCULIFORMES,CUCULIDAE,,Yes,2496211,Crotophaga sulcirostris,,,CHORDATA,ACCEPTED,AVES,CUCULIFORMES,CUCULIDAE
Cuculus canorus,55661,Cuculus canorus,host,species,Cuculus,CUCULIDAE,CUCULIFORMES,AVES,CHORDATA,Cuculus canorus,Cuculus canorus; Coccyzus minor,Cuculus canorus,Cuculus canorus,Yes,22683873,Cuculus canorus,TRUE,2024; 2021,LC,,,,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Yes,valid,177822,Cuculus canorus,CHORDATA,,,AVES,CUCULIFORMES,CUCULIDAE,,Yes,5231918,Cuculus canorus,1,Coccyzus minor,CHORDATA,ACCEPTED,AVES,CUCULIFORMES,CUCULIDAE
Curruca conspicillata,216227,Curruca conspicillata,host,species,Curruca,SYLVIIDAE,PASSERIFORMES,AVES,CHORDATA,Curruca conspicillata,,Curruca conspicillata,Curruca conspicillata,Yes,22716976,Curruca conspicillata,TRUE,2024; 2021,LC,1,Sylvia conspicillata,NEW,CHORDATA,AVES,PASSERIFORMES,SYLVIIDAE,Yes,valid,1257348,Curruca conspicillata,CHORDATA,2,Sylvia conspicillata;Prinia orbitalis,AVES,PASSERIFORMES,SYLVIIDAE,,Yes,9868071,Sylvia conspicillata,1,Sylvia conspicillata,,ACCEPTED,,,
Curruca curruca,43163,Curruca curruca,host,species,Curruca,SYLVIIDAE,PASSERIFORMES,AVES,CHORDATA,Curruca curruca,,Curruca curruca,Curruca curruca,Yes,22734992,Curruca curruca,TRUE,2024; 2021,LC,4,Sylvia althaea;Sylvia minula;Sylvia curruca;Motacilla curruca,MERGE;MERGE;NEW;ACCEPTED,CHORDATA,AVES,PASSERIFORMES,SYLVIIDAE,Yes,valid,1257331,Curruca curruca,CHORDATA,5,Sylvia curruca;Motacilla curruca;Sylvia althaea;Sylvia minula;Sylvia margelanica,AVES,PASSERIFORMES,SYLVIIDAE,,Yes,11034996,Sylvia curruca,1,Sylvia curruca,,ACCEPTED-SYNONYM,,,
Cyanistes caeruleus,156563,Cyanistes caeruleus,host,species,Cyanistes,PARIDAE,PASSERIFORMES,AVES,CHORDATA,Cyanistes caeruleus,Cyanistes caeruleus; Parus caeruleus,Cyanistes caeruleus,Cyanistes caeruleus,Yes,103761667,Cyanistes caeruleus,TRUE,2024; 2021,LC,1,Parus caeruleus,ACCEPTED,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Yes,valid,559612,Cyanistes caeruleus,CHORDATA,,,AVES,PASSERIFORMES,PARIDAE,,Yes,2487879,Cyanistes caeruleus,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,PARIDAE
Cyanocitta cristata,28727,Cyanocitta cristata,host,species,Cyanocitta,CORVIDAE,PASSERIFORMES,AVES,CHORDATA,Cyanocitta cristata,Cyanocitta cristata,Cyanocitta cristata,Cyanocitta cristata,Yes,22705611,Cyanocitta cristata,TRUE,2016,LC,,,,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Yes,valid,179680,Cyanocitta cristata,CHORDATA,,,AVES,PASSERIFORMES,CORVIDAE,,Yes,2482593,Cyanocitta cristata,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,CORVIDAE
Cygnus atratus,8868,Cygnus atratus,host,species,Cygnus,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Cygnus atratus,Cygnus atratus; Cygnus atractus; Anas atrata; Centaurea atrata; Cornus amomum,Cygnus atratus,Cygnus atratus,Yes,22679843,Cygnus atratus,TRUE,2018,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,553906,Cygnus atratus,CHORDATA,2,Cygnus atractus;Anas atrata,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498344,Cygnus atratus,3,Cygnus atratus;Centaurea atrata;Cornus amomum,CHORDATA,ACCEPTED-SYNONYM,AVES,ANSERIFORMES,ANATIDAE
Cygnus bewickii,541010,Cygnus columbianus bewickii,host,species,Cygnus,,,,,Cygnus bewickii,Cygnus bewickii; Cygnus columbianus bewickii; Olor bewickii; Cygnus columbianus,,Cygnus bewickii,No,,,,,,,,,,,,,Yes,valid,1192622,Cygnus columbianus bewickii,CHORDATA,2,Olor bewickii;Cygnus bewickii,AVES,ANSERIFORMES,ANATIDAE,,Yes,4409105,Cygnus columbianus,1,Cygnus columbianus,,ACCEPTED-SYNONYM,,,
Cygnus buccinator,48397,Cygnus buccinator,host,species,Cygnus,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Cygnus buccinator,Cygnus buccinator; Olor buccinator,Cygnus buccinator,Cygnus buccinator,Yes,22679859,Cygnus buccinator,TRUE,2021,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,174992,Cygnus buccinator,CHORDATA,1,Olor buccinator,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498345,Cygnus buccinator,,,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
Cygnus columbianus,110926;1450144,Cygnus columbianus,host,species,Cygnus,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Cygnus columbianus,Cygnus columbianus; Olor columbianus; Anas columbianus; Olor bewickii; Cygnus bewickii,Cygnus columbianus,Cygnus columbianus,Yes,22679862,Cygnus columbianus,TRUE,2021; 2016,VU; LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,174987,Cygnus columbianus,CHORDATA,4,Olor columbianus;Anas columbianus;Olor bewickii;Cygnus bewickii,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498338,Cygnus columbianus,1,Cygnus columbianus,CHORDATA,ACCEPTED-SYNONYM,AVES,ANSERIFORMES,ANATIDAE
