Host,HostTaxID,correct_name,type,taxon_level,Genus,Family,Order,Class,Phylum,host_species,Spp_syn,IUCN_spp,Or_name,IUCN_Present,IUCN_id,IUCN_name,IUCN_latest,IUCN_date,IUCN_Category,IUCN_N_syn,IUCN_syn,IUCN_status,IUCN_Phylum,IUCN_Class,IUCN_Order,IUCN_Family,ITIS_Present,ITIS_is_valid,ITIS_id,ITIS_name,ITIS_Phylum,ITIS_N_syn,ITIS_syn,ITIS_Class,ITIS_Order,ITIS_Family,ITIS_species_in_genus,GBIF_Present,GBIF_id,GBIF_name,GBIF_N_syn,GBIF_syn,GBIF_Phylum,GBIF_Status,GBIF_Class,GBIF_Order,GBIF_Family
Meles meles,9662,Meles meles,host,species,Meles,MUSTELIDAE,CARNIVORA,MAMMALIA,CHORDATA,Meles meles,,Meles meles,Meles meles,Yes,29673,Meles meles,TRUE,2025; 2016; 2010,LC,2,Meles canescens;Ursus meles,ACCEPTED;ACCEPTED;ACCEPTED;ACCEPTED;ACCEPTED;ACCEPTED,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Yes,valid,621922,Meles meles,CHORDATA,5,Ursus meles;Taxus vulgaris;Meles taxus;Meles europaeus;Meles communis,MAMMALIA,CARNIVORA,MUSTELIDAE,,Yes,2433875,Meles meles,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,MUSTELIDAE
Mellivora capensis,9664,Mellivora capensis,host,species,Mellivora,MUSTELIDAE,CARNIVORA,MAMMALIA,CHORDATA,Mellivora capensis,,Mellivora capensis,Mellivora capensis,Yes,41629,Mellivora capensis,TRUE,2016; 2010,LC; NT,1,Viverra capensis,ACCEPTED,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Yes,valid,621929,Mellivora capensis,CHORDATA,13,Viverra capensis;Ursus mellivorus;Viverra ratel;Ratellus typicus;Mellivora brockmani;Mellivora buchanani;Mellivora sagulata;Ursitaxus inauritus;Ursus indicus;Ratelus mellivorus;Mellivora ratel;Mellivora ratelus;Mellivora wilsoni,MAMMALIA,CARNIVORA,MUSTELIDAE,,Yes,2433695,Mellivora capensis,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,MUSTELIDAE
Melogale moschata,204267,Melogale moschata,host,species,Melogale,MUSTELIDAE,CARNIVORA,MAMMALIA,CHORDATA,Melogale moschata,Melogale moschata; Helictis moschata; Helictis ferreogriseus; Helictis millsi; Helictis subaurantica; Helictis taxilla,Melogale moschata,Melogale moschata,Yes,41626,Melogale moschata,TRUE,2024,LC,,,,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Yes,valid,621924,Melogale moschata,CHORDATA,5,Helictis moschata;Helictis ferreogriseus;Helictis millsi;Helictis subaurantica;Helictis taxilla,MAMMALIA,CARNIVORA,MUSTELIDAE,,Yes,2433636,Melogale moschata,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,MUSTELIDAE
Melospiza melodia,44397,Melospiza melodia,host,species,Melospiza,PASSERELLIDAE,PASSERIFORMES,AVES,CHORDATA,Melospiza melodia,,Melospiza melodia,Melospiza melodia,Yes,22721058,Melospiza melodia,TRUE,2021,LC,0,,ACCEPTED,CHORDATA,AVES,PASSERIFORMES,PASSERELLIDAE,Yes,valid,179492,Melospiza melodia,CHORDATA,6,Zonotrichia melodia;Fringilla melodia;Passerella rufina;Melospiza heermanni;Zonotrichia fallax;Ammodramus samuelis,AVES,PASSERIFORMES,PASSERELLIDAE,,Yes,2492196,Melospiza melodia,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,PASSERELLIDAE
Melursus ursinus,9636,Melursus ursinus,host,species,Melursus,URSIDAE,CARNIVORA,MAMMALIA,CHORDATA,Melursus ursinus,,Melursus ursinus,Melursus ursinus,Yes,13143,Melursus ursinus,TRUE,2020,VU,1,Bradypus ursinus,ACCEPTED,CHORDATA,MAMMALIA,CARNIVORA,URSIDAE,Yes,valid,621848,Melursus ursinus,CHORDATA,6,Bradypus ursinus;Melursus lybius;Arceus niger;Ursus labiatus;Ursus longirostris;Melursus inornatus,MAMMALIA,CARNIVORA,URSIDAE,,Yes,2433395,Melursus ursinus,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,URSIDAE
Mephitis mephitis,30548,Mephitis mephitis,host,species,Mephitis,MEPHITIDAE,CARNIVORA,MAMMALIA,CHORDATA,Mephitis mephitis,Mephitis mephitis; Viverra mephitis; Mephitis americana; Viverra mephitica; Mephitis minnesotoe; Viverra nigra; Mephitis putida; Mephitis fetidissima; Mephitis frontata; Mephitis dentata; Mephitis olida; Chincha platyrhina; Mephitis foetulenta,Mephitis mephitis,Mephitis mephitis,Yes,41635,Mephitis mephitis,TRUE,2016,LC,,,,CHORDATA,MAMMALIA,CARNIVORA,MEPHITIDAE,Yes,valid,180562,Mephitis mephitis,CHORDATA,12,Viverra mephitis;Mephitis americana;Viverra mephitica;Mephitis minnesotoe;Viverra nigra;Mephitis putida;Mephitis fetidissima;Mephitis frontata;Mephitis dentata;Mephitis olida;Chincha platyrhina;Mephitis foetulenta,MAMMALIA,CARNIVORA,MEPHITIDAE,,Yes,5219380,Mephitis mephitis,1,Mephitis mephitis,CHORDATA,ACCEPTED-SYNONYM,MAMMALIA,CARNIVORA,MEPHITIDAE
Mergellus albellus,107026,Mergellus albellus,host,species,Mergellus,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Mergellus albellus,,Mergellus albellus,Mergellus albellus,Yes,22680465,Mergellus albellus,TRUE,2021; 2016,LC,0,,ACCEPTED;ACCEPTED,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,175196,Mergellus albellus,CHORDATA,1,Mergus albellus,AVES,ANSERIFORMES,ANATIDAE,,Yes,2498285,Mergellus albellus,1,Mergellus albellus,CHORDATA,ACCEPTED-SYNONYM,AVES,ANSERIFORMES,ANATIDAE
Mergus merganser,8880,Mergus merganser,host,species,Mergus,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Mergus merganser,Mergus merganser; Mergus americanus; Mergus orientalis,Mergus merganser,Mergus merganser,Yes,22680492,Mergus merganser,TRUE,2021; 2018,LC,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,175185,Mergus merganser,CHORDATA,2,Mergus americanus;Mergus orientalis,AVES,ANSERIFORMES,ANATIDAE,,Yes,9537647,Mergus merganser,,,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
Mergus squamatus,670348,Mergus squamatus,host,species,Mergus,ANATIDAE,ANSERIFORMES,AVES,CHORDATA,Mergus squamatus,Mergus squamatus,Mergus squamatus,Mergus squamatus,Yes,22680488,Mergus squamatus,TRUE,2017,EN,,,,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Yes,valid,175194,Mergus squamatus,CHORDATA,,,AVES,ANSERIFORMES,ANATIDAE,,Yes,5232483,Mergus squamatus,,,CHORDATA,ACCEPTED,AVES,ANSERIFORMES,ANATIDAE
Merops apiaster,265611,Merops apiaster,host,species,Merops,MEROPIDAE,CORACIIFORMES,AVES,CHORDATA,Merops apiaster,Merops apiaster,Merops apiaster,Merops apiaster,Yes,22683756,Merops apiaster,TRUE,2024; 2021,LC,,,,CHORDATA,AVES,CORACIIFORMES,MEROPIDAE,Yes,valid,554661,Merops apiaster,CHORDATA,,,AVES,CORACIIFORMES,MEROPIDAE,,Yes,2475443,Merops apiaster,,,CHORDATA,ACCEPTED,AVES,CORACIIFORMES,MEROPIDAE
Mesocricetus auratus,10036,Mesocricetus auratus,host,species,Mesocricetus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,Mesocricetus auratus,Mesocricetus auratus; Cricetus auratus,Mesocricetus auratus,Mesocricetus auratus,Yes,13219,Mesocricetus auratus,TRUE,2022,EN,1,Cricetus auratus,ACCEPTED,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Yes,valid,632735,Mesocricetus auratus,CHORDATA,,,MAMMALIA,RODENTIA,CRICETIDAE,,Yes,2438482,Mesocricetus auratus,,,CHORDATA,ACCEPTED,MAMMALIA,RODENTIA,CRICETIDAE
Mesomys hispidus,30627,Mesomys hispidus,host,species,Mesomys,ECHIMYIDAE,RODENTIA,MAMMALIA,CHORDATA,Mesomys hispidus,Mesomys hispidus; Mesomys ecaudatus; Mesomys ferrugineus; Echimys hispidus,Mesomys hispidus,Mesomys hispidus,Yes,13234,Mesomys hispidus,TRUE,2016,LC,,,,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Yes,valid,584824,Mesomys hispidus,CHORDATA,3,Mesomys ecaudatus;Mesomys ferrugineus;Echimys hispidus,MAMMALIA,RODENTIA,ECHIMYIDAE,,Yes,5219935,Mesomys hispidus,,,CHORDATA,ACCEPTED,MAMMALIA,RODENTIA,ECHIMYIDAE
Microcarbo coronatus,1523041,Microcarbo coronatus,host,species,Microcarbo,PHALACROCORACIDAE,SULIFORMES,AVES,CHORDATA,Microcarbo coronatus,,Microcarbo coronatus,Microcarbo coronatus,Yes,22696730,Microcarbo coronatus,TRUE,2021,LC,1,Phalacrocorax coronatus,ACCEPTED,CHORDATA,AVES,SULIFORMES,PHALACROCORACIDAE,Yes,valid,823998,Microcarbo coronatus,CHORDATA,2,Phalacrocorax coronatus;Graculus coronatus,AVES,SULIFORMES,PHALACROCORACIDAE,,Yes,6066517,Microcarbo coronatus,,,CHORDATA,ACCEPTED,AVES,SULIFORMES,PHALACROCORACIDAE
Microcarbo niger,1517963,Microcarbo niger,host,species,Microcarbo,PHALACROCORACIDAE,SULIFORMES,AVES,CHORDATA,Microcarbo niger,,Microcarbo niger,Microcarbo niger,Yes,22696740,Microcarbo niger,TRUE,2024,LC,1,Phalacrocorax niger,ACCEPTED,CHORDATA,AVES,SULIFORMES,PHALACROCORACIDAE,Yes,valid,823999,Microcarbo niger,CHORDATA,2,Phalacrocorax niger;Hydrocorax niger,AVES,SULIFORMES,PHALACROCORACIDAE,,Yes,6066512,Microcarbo niger,,,CHORDATA,ACCEPTED,AVES,SULIFORMES,PHALACROCORACIDAE
Micromys minutus,13151,Micromys minutus,host,species,Micromys,MURIDAE,RODENTIA,MAMMALIA,CHORDATA,Micromys minutus,,Micromys minutus,Micromys minutus,Yes,13373,Micromys minutus,TRUE,2024; 2019; 2010,LC,1,Mus minutus,ACCEPTED,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Yes,valid,585369,Micromys minutus,CHORDATA,18,Micromys agilis;Mus arundinaceus;Mus arvensis;Mus avenarius;Mus campestris;Mus erythrotis;Mus meridionalis;Mus messorius;Mus minatus;Mus minimus;Mus oryzivorus;Mus parvulus;Mus pendulinus;Mus pratensis;Mus pumilus;Mus pygmaeus;Mus soricinus;Mus triticeus,MAMMALIA,RODENTIA,MURIDAE,,Yes,5219833,Micromys minutus,2,Micromys minutus;Leptotrichella minuta,CHORDATA,ACCEPTED-SYNONYM,MAMMALIA,RODENTIA,MURIDAE
Microtus agrestis,29092,Microtus agrestis,host,species,Microtus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,Microtus agrestis,,Microtus agrestis,Microtus agrestis,Yes,221684458,Microtus agrestis,TRUE,2024,LC,1,Mus agrestis,ACCEPTED,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Yes,valid,632855,Microtus agrestis,CHORDATA,11,Microtus arcturus;Arvicola bailloni;Arvicola britannicus;Mus gregarius;Arvicola hirta;Lemmus insularis;Arvicola intermedia;Arvicola levernedii;Microtus macgillivrayi;Arvicola neglectus;Arvicola rozianus,MAMMALIA,RODENTIA,CRICETIDAE,,Yes,2438616,Microtus agrestis,,,CHORDATA,ACCEPTED,MAMMALIA,RODENTIA,CRICETIDAE
Microtus arvalis,47230,Microtus arvalis,host,species,Microtus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,Microtus arvalis,,Microtus arvalis,Microtus arvalis,Yes,221687974,Microtus arvalis,TRUE,2024,LC,1,Mus arvalis,ACCEPTED,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Yes,valid,632856,Microtus arvalis,CHORDATA,16,Microtus obscurus;Arvicola arvensis;Microtus angularis;Microtus asturianus;Microtus brevirostris;Arvicola campestris;Arvicola cunicularius;Lemmus fulvus;Microtus hyrcania;Arvicola incertus;Arvicola mystacinus;Hypudaeus obscurus;Microtus orcadensis;Microtus sarnius;Microtus terrestris;Arvicola vulgaris,MAMMALIA,RODENTIA,CRICETIDAE,,Yes,2438606,Microtus arvalis,2,Chionomys nivalis;Microtus pinetorum,CHORDATA,ACCEPTED,MAMMALIA,RODENTIA,CRICETIDAE
Microtus rossiaemeridionalis,537919,Microtus rossiaemeridionalis,host,species,Microtus,CRICETIDAE,RODENTIA,MAMMALIA,CHORDATA,Microtus rossiaemeridionalis,,Microtus rossiaemeridionalis,Microtus rossiaemeridionalis,Yes,222269539,Microtus rossiaemeridionalis,TRUE,2025,LC,0,,ACCEPTED,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Yes,valid,632887,Microtus levis,CHORDATA,1,Microtus rossiaemeridionalis,MAMMALIA,RODENTIA,CRICETIDAE,,Yes,2438666,Microtus levis,1,Microtus levis,,ACCEPTED-SYNONYM,,,
Milvago chimango,357707,Milvago chimango,host,species,Milvago,,,,,Milvago chimango,Milvago chimango; Phalcoboenus chimango; Polyborus chimango,,Milvago chimango,No,,,,,,,,,,,,,Yes,valid,175668,Milvago chimango,CHORDATA,2,Phalcoboenus chimango;Polyborus chimango,AVES,FALCONIFORMES,FALCONIDAE,,Yes,2481065,Milvago chimango,,,CHORDATA,ACCEPTED,AVES,FALCONIFORMES,FALCONIDAE
Milvus migrans,52810,Milvus migrans,host,species,Milvus,ACCIPITRIDAE,ACCIPITRIFORMES,AVES,CHORDATA,Milvus migrans,,Milvus migrans,Milvus migrans,Yes,181568721,Milvus migrans,TRUE,2022; 2021,LC,2,Falco migrans;Milvus lineatus,ACCEPTED;ACCEPTED,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Yes,valid,175469,Milvus migrans,CHORDATA,5,Falco migrans;Milvus affinis;Milvus govinda;Milvus lineatus;Haliaetus lineatus,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,,Yes,5229167,Milvus migrans,,,CHORDATA,ACCEPTED,AVES,ACCIPITRIFORMES,ACCIPITRIDAE
Mimus polyglottos,60713,Mimus polyglottos,host,species,Mimus,MIMIDAE,PASSERIFORMES,AVES,CHORDATA,Mimus polyglottos,Mimus polyglottos,Mimus polyglottos,Mimus polyglottos,Yes,22711026,Mimus polyglottos,TRUE,2017,LC,,,,CHORDATA,AVES,PASSERIFORMES,MIMIDAE,Yes,valid,178620,Mimus polyglottos,CHORDATA,0,,AVES,PASSERIFORMES,MIMIDAE,,Yes,5231677,Mimus polyglottos,1,Mimus polyglottos,CHORDATA,ACCEPTED-SYNONYM,AVES,PASSERIFORMES,MIMIDAE
Miniopterus inflatus,221087,Miniopterus inflatus,host,species,Miniopterus,MINIOPTERIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Miniopterus inflatus,Miniopterus inflatus; Miniopterus rufus,Miniopterus inflatus,Miniopterus inflatus,Yes,13565,Miniopterus inflatus,TRUE,2017,LC,,,,CHORDATA,MAMMALIA,CHIROPTERA,MINIOPTERIDAE,Yes,valid,632180,Miniopterus inflatus,CHORDATA,1,Miniopterus rufus,MAMMALIA,CHIROPTERA,MINIOPTERIDAE,,Yes,2432507,Miniopterus inflatus,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,MINIOPTERIDAE
Miniopterus schreibersii,9433,Miniopterus schreibersii,host,species,Miniopterus,MINIOPTERIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Miniopterus schreibersii,,Miniopterus schreibersii,Miniopterus schreibersii,Yes,230918147,Miniopterus schreibersii,TRUE,2023,VU,3,Vespertilio schreibersii;Vespertilio orsinii;Vespertilio ursinii,ACCEPTED;ACCEPTED;ACCEPTED,CHORDATA,MAMMALIA,CHIROPTERA,MINIOPTERIDAE,Yes,valid,946266,Miniopterus schreibersii,CHORDATA,3,Miniopterus schreibersi;Vespertilio schreibersii;Vespertilio orsinii,MAMMALIA,CHIROPTERA,MINIOPTERIDAE,,Yes,9796816,Miniopterus schreibersii,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,MINIOPTERIDAE
Mirounga angustirostris,9716,Mirounga angustirostris,host,species,Mirounga,PHOCIDAE,CARNIVORA,MAMMALIA,CHORDATA,Mirounga angustirostris,Mirounga angustirostris; Macrorhinus angustirostris,Mirounga angustirostris,Mirounga angustirostris,Yes,13581,Mirounga angustirostris,TRUE,2015,LC,,,,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Yes,valid,180672,Mirounga angustirostris,CHORDATA,1,Macrorhinus angustirostris,MAMMALIA,CARNIVORA,PHOCIDAE,,Yes,2434813,Mirounga angustirostris,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,PHOCIDAE
Mirounga leonina,9715,Mirounga leonina,host,species,Mirounga,PHOCIDAE,CARNIVORA,MAMMALIA,CHORDATA,Mirounga leonina,,Mirounga leonina,Mirounga leonina,Yes,13583,Mirounga leonina,TRUE,2015,LC,1,Phoca leonina,ACCEPTED,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Yes,valid,180671,Mirounga leonina,CHORDATA,1,Phoca leonina,MAMMALIA,CARNIVORA,PHOCIDAE,,Yes,2434814,Mirounga leonina,,,CHORDATA,ACCEPTED,MAMMALIA,CARNIVORA,PHOCIDAE
Molossus molossus,27622,Molossus molossus,host,species,Molossus,MOLOSSIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Molossus molossus,,Molossus molossus,Molossus molossus,Yes,13648,Molossus molossus,TRUE,2015,LC,1,Vespertilio molossus,ACCEPTED,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Yes,valid,180083,Molossus molossus,CHORDATA,4,Molossus pygmaeus;Vespertilio molossus;Molossus debilis;Molossus fortis,MAMMALIA,CHIROPTERA,MOLOSSIDAE,,Yes,5218725,Molossus molossus,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,MOLOSSIDAE
Molossus nigricans,2997257,Molossus nigricans,host,species,Molossus,,,,,Molossus nigricans,Molossus nigricans,,Molossus nigricans,No,,,,,,,,,,,,,Yes,valid,1159238,Molossus nigricans,CHORDATA,,,MAMMALIA,CHIROPTERA,MOLOSSIDAE,,Yes,11376312,Molossus nigricans,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,MOLOSSIDAE
Molossus pretiosus,1982945,Molossus pretiosus,host,species,Molossus,MOLOSSIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Molossus pretiosus,Molossus pretiosus,Molossus pretiosus,Molossus pretiosus,Yes,13649,Molossus pretiosus,TRUE,2019,LC,,,,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Yes,valid,632218,Molossus pretiosus,CHORDATA,,,MAMMALIA,CHIROPTERA,MOLOSSIDAE,,Yes,5218724,Molossus pretiosus,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,MOLOSSIDAE
Molossus rufus,124751,Molossus rufus,host,species,Molossus,MOLOSSIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Molossus rufus,,Molossus rufus,Molossus rufus,Yes,13644,Molossus rufus,TRUE,2015,LC,1,Molossus ater,undefined,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Yes,valid,946105,Molossus rufus,CHORDATA,1,Molossus ater,MAMMALIA,CHIROPTERA,MOLOSSIDAE,,Yes,5707248,Molossus rufus,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,MOLOSSIDAE
Molossus sinaloae,58076,Molossus sinaloae,host,species,Molossus,MOLOSSIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Molossus sinaloae,Molossus sinaloae; Molossus trinitatus,Molossus sinaloae,Molossus sinaloae,Yes,13650,Molossus sinaloae,TRUE,2016,LC,,,,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Yes,valid,632219,Molossus sinaloae,CHORDATA,1,Molossus trinitatus,MAMMALIA,CHIROPTERA,MOLOSSIDAE,,Yes,5218727,Molossus sinaloae,,,CHORDATA,ACCEPTED,MAMMALIA,CHIROPTERA,MOLOSSIDAE
Molothrus ater,84834,Molothrus ater,host,species,Molothrus,ICTERIDAE,PASSERIFORMES,AVES,CHORDATA,Molothrus ater,Molothrus ater; Oriolus ater; Sturnus obscurus,Molothrus ater,Molothrus ater,Yes,22724354,Molothrus ater,TRUE,2018,LC,,,,CHORDATA,AVES,PASSERIFORMES,ICTERIDAE,Yes,valid,179112,Molothrus ater,CHORDATA,2,Oriolus ater;Sturnus obscurus,AVES,PASSERIFORMES,ICTERIDAE,,Yes,2484391,Molothrus ater,1,Molothrus ater,CHORDATA,ACCEPTED-SYNONYM,AVES,PASSERIFORMES,ICTERIDAE
Monodelphis domestica,13616,Monodelphis domestica,host,species,Monodelphis,DIDELPHIDAE,DIDELPHIMORPHIA,MAMMALIA,CHORDATA,Monodelphis domestica,Monodelphis domestica; Didelphys domestica,Monodelphis domestica,Monodelphis domestica,Yes,40514,Monodelphis domestica,TRUE,2021,LC,,,,CHORDATA,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,Yes,valid,552572,Monodelphis domestica,CHORDATA,1,Didelphys domestica,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE,,Yes,2439965,Monodelphis domestica,,,CHORDATA,ACCEPTED,MAMMALIA,DIDELPHIMORPHIA,DIDELPHIDAE
Montifringilla henrici,2557930,Montifringilla henrici,host,species,Montifringilla,PASSERIDAE,PASSERIFORMES,AVES,CHORDATA,Montifringilla henrici,Montifringilla henrici,Montifringilla henrici,Montifringilla henrici,Yes,22734959,Montifringilla henrici,TRUE,2024,LC,,,,CHORDATA,AVES,PASSERIFORMES,PASSERIDAE,Yes,valid,916526,Montifringilla henrici,CHORDATA,,,AVES,PASSERIFORMES,PASSERIDAE,,Yes,6090248,Montifringilla henrici,,,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,PASSERIDAE
Mops plicatus,3370289,Mops plicatus,host,species,Mops,MOLOSSIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Mops plicatus,Mops plicatus; Chaerephon plicatus; Chaerephon plicata; Dysopes murinus; Nyctinomus bengalensis; Vespertilio plicatus,Mops plicatus,Mops plicatus,Yes,4316,Mops plicatus,TRUE,2020,LC,5,Chaerephon plicatus;Chaerephon plicata;Dysopes murinus;Nyctinomus bengalensis;Vespertilio plicatus,ACCEPTED;ACCEPTED;ACCEPTED;ACCEPTED;ACCEPTED;ACCEPTED,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,No,,,,,,,,,,,No,,,,,,,,,
Mops pumilus,242384,Mops pumilus,host,species,Mops,MOLOSSIDAE,CHIROPTERA,MAMMALIA,CHORDATA,Mops pumilus,Mops pumilus; Dysopes pumilus; Tadarida pumila; Chaerephon pumilus; Chaerephon pusillus,Mops pumilus,Mops pumilus,Yes,67362271,Mops pumilus,TRUE,2019,LC,3,Dysopes pumilus;Tadarida pumila;Chaerephon pumilus,ACCEPTED;ACCEPTED;ACCEPTED,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,No,,,,,,,,,,,Yes,10962178,Chaerephon pusillus,1,Chaerephon pusillus,,ACCEPTED-SYNONYM,,,
Morus bassanus,37578,Morus bassanus,host,species,Morus,SULIDAE,SULIFORMES,AVES,CHORDATA,Morus bassanus,,Morus bassanus,Morus bassanus,Yes,22696657,Morus bassanus,TRUE,2021; 2018,LC,3,Sula bassana;Sula bassana;Pelecanus bassanus,ACCEPTED;ACCEPTED;ACCEPTED,CHORDATA,AVES,SULIFORMES,SULIDAE,Yes,valid,174712,Morus bassanus,CHORDATA,3,Sula bassanus;Pelecanus bassanus;Sula bassana,AVES,SULIFORMES,SULIDAE,,Yes,2480964,Morus bassanus,,,CHORDATA,ACCEPTED,AVES,SULIFORMES,SULIDAE
Motacilla alba,45807,Motacilla alba,host,species,Motacilla,MOTACILLIDAE,PASSERIFORMES,AVES,CHORDATA,Motacilla alba,Motacilla alba; Motacilla lugens; Setophaga palmarum,Motacilla alba,Motacilla alba,Yes,22718348,Motacilla alba,TRUE,2021; 2019,LC,,,,CHORDATA,AVES,PASSERIFORMES,MOTACILLIDAE,Yes,valid,178476,Motacilla alba,CHORDATA,1,Motacilla lugens,AVES,PASSERIFORMES,MOTACILLIDAE,,Yes,9687165,Motacilla alba,1,Setophaga palmarum,CHORDATA,ACCEPTED,AVES,PASSERIFORMES,MOTACILLIDAE
Mus baoulei,544437,Mus baoulei,host,species,Mus,MURIDAE,RODENTIA,MAMMALIA,CHORDATA,Mus baoulei,Mus baoulei,Mus baoulei,Mus baoulei,Yes,13952,Mus baoulei,TRUE,2016,LC,,,,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Yes,valid,585375,Mus baoulei,CHORDATA,,,MAMMALIA,RODENTIA,MURIDAE,,Yes,2438811,Mus baoulei,,,CHORDATA,ACCEPTED,MAMMALIA,RODENTIA,MURIDAE
Mus musculoides,60742,Mus musculoides,host,species,Mus,MURIDAE,RODENTIA,MAMMALIA,CHORDATA,Mus musculoides,,Mus musculoides,Mus musculoides,Yes,135725,Mus musculoides,TRUE,2016,LC,2,Mus kasaicus;Mus kasaica,ADDED;ADDED,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Yes,valid,585394,Mus musculoides,CHORDATA,3,Mus kasaicus;Leggada bella;Leggada grata,MAMMALIA,RODENTIA,MURIDAE,,Yes,2438786,Mus musculoides,,,CHORDATA,ACCEPTED,MAMMALIA,RODENTIA,MURIDAE
Mus musculus,10090,Mus musculus,host,species,Mus,MURIDAE,RODENTIA,MAMMALIA,CHORDATA,Mus musculus,,Mus musculus,Mus musculus,Yes,13972,Mus musculus,TRUE,2025; 2021; 2010,LC,2,Mus abbotti;Mus domesticus,S;New,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Yes,valid,180366,Mus musculus,CHORDATA,35,Mus molossinus;Mus nordmanni;Anthonomus sulcifrons;Mus hortulanus;Mus kambei;Mus tagakii;Mus wagneri;Mus pachycercus;Mus gansuensis;Mus oxyrrhinus;Mus severtzovi;Mus manei;Mus rama;Mus nipalensis;Mus urbanus;Mus dubius;Mus viculorum;Mus tytleri;Mus adelaidensis;Mus simsoni;Mus praetextus;Mus gentilis;Mus orientalis;Mus modestus;Mus pallescens;Mus brevirostris;Hesperomys indianus;Mus poschiavinus;Mus muralis;Mus abbotti;Mus azoricus;Mus homoourus;Mus gerbillinus;Mus theobaldi;Mus domesticus,MAMMALIA,RODENTIA,MURIDAE,,Yes,7429082,Mus musculus,,,CHORDATA,ACCEPTED,MAMMALIA,RODENTIA,MURIDAE
Mus setulosus,10102,Mus setulosus,host,species,Mus,MURIDAE,RODENTIA,MAMMALIA,CHORDATA,Mus setulosus,Mus setulosus; Mus pasha; Mus proconodon,Mus setulosus,Mus setulosus,Yes,13980,Mus setulosus,TRUE,2016,LC,2,Mus pasha;Mus proconodon,ACCEPTED;ACCEPTED,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Yes,valid,585402,Mus setulosus,CHORDATA,,,MAMMALIA,RODENTIA,MURIDAE,,Yes,2438777,Mus setulosus,,,CHORDATA,ACCEPTED,MAMMALIA,RODENTIA,MURIDAE
