combined_pathogen,combined_disease_name,efsa_pathogen,efsa_pathogen_clean,efsa_abbreviation,vector_species,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,source,match_method,match_confidence,review_needed,vector_species_raw,vector_group_raw,vector_status_raw,field_results_raw,laboratory_results_raw
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus neglectus,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus neglectus,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus perfiliewi,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus perfiliewi,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus perniciosus,sand_fly,highly_likely,positive,positive,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus perniciosus,SF,Highly likely,Positive,Positive
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus tobbi,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus tobbi,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Pintomyia fischeri,sand_fly,potential,,positive,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Pintomyia fischeri,SF,Potential,,Positive
,,Leishmania infantum,leishmania infantum,CanL,Psathyromyia lutziana,sand_fly,potential,positive,,no,no,EFSA Appendix G,unmatched,unmatched,TRUE,Psathyromyia lutziana,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Sergentomyia minuta,sand_fly,potential,positive,,yes,no,EFSA Appendix G,unmatched,unmatched,TRUE,Sergentomyia minuta,SF,Potential,Positive,
,,Leishmania infantum,leishmania infantum,CanL,Phlebotomus mascittii,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,unmatched,unmatched,TRUE,Phlebotomus mascittii,SF,Potential,Positive,
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Aedes aegypti,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Aedes aegypti,M,Highly likely,Positive,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Aedes albopictus,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Aedes caspius,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Aedes caspius,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Aedes detritus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Aedes detritus,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Aedes durbanensis,mosquito,potential,positive,,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Aedes durbanensis,M,Potential,Positive,
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Aedes melanimon,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Aedes melanimon,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Aedes vexans,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Aedes vexans,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Anopheles coustani,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Anopheles coustani,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex antennatus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Culex antennatus,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex erraticus,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Culex erraticus,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex erythrothorax,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Culex erythrothorax,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex nigripalpus,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Culex nigripalpus,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex pipiens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Culex pipiens,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex pipiens biotype molestus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Culex pipiens biotype molestus,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex pipiens biotype pipiens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Culex pipiens biotype pipiens,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex pipiens biotype pipiens x biotype molestus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Culex pipiens biotype pipiens x biotype molestus,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex pipiens s.l.,mosquito,potential,positive,,yes,no,EFSA Appendix G,exact_disease,exact,FALSE,Culex pipiens s.l.,M,Potential,Positive,
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex poicilipes,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Culex poicilipes,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex quinquefasciatus,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Culex quinquefasciatus,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,exact_disease,exact,FALSE,Culex tarsalis,M,Potential,,Positive
Phlebovirus riftense,Rift Valley fever,Rift Valley fever virus,rift valley fever virus,RVFV,Culex tritaeniorhynchus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,exact_disease,exact,FALSE,Culex tritaeniorhynchus,M,Potential,,Positive
