pathogen,pathogen_raw_examples,pathogen_tax_id,pheic_risk,disease_name,disease_name_raw_examples,host_tax_id,host,pathogen_class,pathogen_order,pathogen_family,pathogen_genus,host_phylum,host_class,host_family,host_order,detection_method,main_source,pathogen_type,is_zoonotic,zoonotic_status,canonicalization_status,pathogen_raw,disease_name_raw,pathogen_family_raw,pathogen_genus_raw,pathogen_type_raw,pathogen_clean,disease_name_clean,pathogen_family_clean,pathogen_genus_clean,pathogen_type_clean
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),56798,Hexaprotodon liberiensis,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,,,,,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9606,Homo sapiens,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,,,,,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9844,Lama glama,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,,,,,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9542,Macaca fuscata,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,cercopithecidae,primates,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9986,Oryctolagus cuniculus,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,leporidae,lagomorpha,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9940,Ovis aries,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,bovidae,artiodactyla,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9654,Procyon lotor,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,procyonidae,carnivora,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),42254,Sorex araneus,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,soricidae,eulipotyphla,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),30538,Vicugna pacos,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,,,,,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
Orthobornavirus bornaense,Orthobornavirus bornaense,1714619,Low,Borna disease (encephalitis),Borna disease (encephalitis),9627,Vulpes vulpes,monjiviricetes,mononegavirales,bornaviridae,orthobornavirus,chordata,mammalia,canidae,carnivora,PCR/Sequencing,VIRION,virus,TRUE,zoonotic,identity,Orthobornavirus bornaense,Borna disease (encephalitis),bornaviridae,orthobornavirus,virus,orthobornavirus bornaense,borna disease encephalitis,bornaviridae,orthobornavirus,virus
