efsa_pathogen_raw,vector_species_raw,vector_group_raw,vector_status_raw,field_results_raw,laboratory_results_raw,vn_database_species_raw,vn_priority_species_raw,efsa_pathogen_standardized,efsa_pathogen_clean,vector_species,vector_species_clean,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,efsa_pathogen_id,alias_source,alias_raw,alias_disease_candidate,alias_disease_candidate_clean,appendix_a_alias_match_count,abbreviation,species_name,isolate_virus_name,pathogen_family,pathogen_genus,oie_notifiable,appendix_a_match_status
Cache Valley virus,Aedes triseriatus,M,Potential,,Positive,YES,YES,Cache Valley virus,cache valley virus,Aedes triseriatus,aedes triseriatus,mosquito,potential,,positive,yes,yes,efsa_cvv,isolate_virus_name,Cache Valley virus,Cache Valley,cache valley,1,CVV,Bunyamwera virus,Cache Valley virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
Cache Valley virus,Anopheles gambiae,M,Potential,Positive,,YES,NO,Cache Valley virus,cache valley virus,Anopheles gambiae,anopheles gambiae,mosquito,potential,positive,,yes,no,efsa_cvv,isolate_virus_name,Cache Valley virus,Cache Valley,cache valley,1,CVV,Bunyamwera virus,Cache Valley virus,Bunyaviridae,Orthobunyavirus,no,matched_to_appendix_a
Crimean-Congo haemorrhagic fever virus,Hyalomma aegyptium,T,Potential,Positive,,YES,NO,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,Hyalomma aegyptium,hyalomma aegyptium,tick,potential,positive,,yes,no,efsa_cchfv,species_name,Crimean-Congo haemorrhagic fever virus,Crimean-Congo haemorrhagic fever,crimean congo hemorrhagic fever,1,CCHFV,Crimean-Congo haemorrhagic fever virus,Crimean-Congo haemorrhagic fever virus,Bunyaviridae,Nairovirus,yes,matched_to_appendix_a
Crimean-Congo haemorrhagic fever virus,Hyalomma anatolicum,T,Potential,Positive,,YES,NO,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,Hyalomma anatolicum,hyalomma anatolicum,tick,potential,positive,,yes,no,efsa_cchfv,species_name,Crimean-Congo haemorrhagic fever virus,Crimean-Congo haemorrhagic fever,crimean congo hemorrhagic fever,1,CCHFV,Crimean-Congo haemorrhagic fever virus,Crimean-Congo haemorrhagic fever virus,Bunyaviridae,Nairovirus,yes,matched_to_appendix_a
Crimean-Congo haemorrhagic fever virus,Hyalomma asiaticum,T,Potential,Positive,,NO,NO,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,Hyalomma asiaticum,hyalomma asiaticum,tick,potential,positive,,no,no,efsa_cchfv,species_name,Crimean-Congo haemorrhagic fever virus,Crimean-Congo haemorrhagic fever,crimean congo hemorrhagic fever,1,CCHFV,Crimean-Congo haemorrhagic fever virus,Crimean-Congo haemorrhagic fever virus,Bunyaviridae,Nairovirus,yes,matched_to_appendix_a
Crimean-Congo haemorrhagic fever virus,Hyalomma marginatum,T,Potential,Positive,,YES,YES,Crimean-Congo haemorrhagic fever virus,crimean congo hemorrhagic fever virus,Hyalomma marginatum,hyalomma marginatum,tick,potential,positive,,yes,yes,efsa_cchfv,species_name,Crimean-Congo haemorrhagic fever virus,Crimean-Congo haemorrhagic fever,crimean congo hemorrhagic fever,1,CCHFV,Crimean-Congo haemorrhagic fever virus,Crimean-Congo haemorrhagic fever virus,Bunyaviridae,Nairovirus,yes,matched_to_appendix_a
Eastern equine encephalitis virus,Culiseta melanura,M,Potential,Positive,,NO,NO,Eastern equine encephalitis virus,eastern equine encephalitis virus,Culiseta melanura,culiseta melanura,mosquito,potential,positive,,no,no,efsa_eeev,species_name,Eastern equine encephalitis virus,Eastern equine encephalitis,eastern equine encephalitis,1,EEEV,Eastern equine encephalitis virus,Eastern equine encephalomyelitis virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Ehrlichia ruminantium,Amblyomma hebraeum,T,Highly likely,Positive,Positive,NO,NO,Ehrlichia ruminantium,ehrlichia ruminantium,Amblyomma hebraeum,amblyomma hebraeum,tick,highly_likely,positive,positive,no,no,efsa_cowdr,species_name,Ehrlichia ruminantium,Ehrlichia ruminantium,ehrlichia ruminantium,1,Cowdr,Ehrlichia ruminantium,Ehrlichia ruminantium,Rickettsiaceae,Ehrlichia,yes,matched_to_appendix_a
Ehrlichia ruminantium,Amblyomma variegatum,T,Potential,Positive,,NO,NO,Ehrlichia ruminantium,ehrlichia ruminantium,Amblyomma variegatum,amblyomma variegatum,tick,potential,positive,,no,no,efsa_cowdr,species_name,Ehrlichia ruminantium,Ehrlichia ruminantium,ehrlichia ruminantium,1,Cowdr,Ehrlichia ruminantium,Ehrlichia ruminantium,Rickettsiaceae,Ehrlichia,yes,matched_to_appendix_a
Epizootic hemorrhagic disease virus,Culicoldes insignis,BM,Potential,,Positive,NO,NO,Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,Culicoldes insignis,culicoldes insignis,biting_midge,potential,,positive,no,no,efsa_ehdv_ibav,species_name,Epizootic hemorrhagic disease virus,Epizootic hemorrhagic disease,epizootic hemorrhagic disease,1,EHDV/IBAV,Epizootic hemorrhagic disease virus,"Epizootic hemorrhagic disease virus, Ibaraki virus",Reoviridae,Orbivirus,yes,matched_to_appendix_a
