efsa_pathogen_raw,vector_species_raw,vector_group_raw,vector_status_raw,field_results_raw,laboratory_results_raw,vn_database_species_raw,vn_priority_species_raw,efsa_pathogen_standardized,efsa_pathogen_clean,vector_species,vector_species_clean,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,efsa_pathogen_id,alias_source,alias_raw,alias_disease_candidate,alias_disease_candidate_clean,appendix_a_alias_match_count,abbreviation,species_name,isolate_virus_name,pathogen_family,pathogen_genus,oie_notifiable,appendix_a_match_status
Venezuelan equine encephalitis virus,Aedes detritus,M,Potential,,Positive,YES,YES,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,Aedes detritus,aedes detritus,mosquito,potential,,positive,yes,yes,efsa_veev,species_name,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis,venezuelan equine encephalitis,1,VEEV,Venezuelan equine encephalitis virus,Venezuelan equine encephalomyelitis virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Venezuelan equine encephalitis virus,Culex gnomatos,M,Potential,,Positive,NO,NO,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,Culex gnomatos,culex gnomatos,mosquito,potential,,positive,no,no,efsa_veev,species_name,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis,venezuelan equine encephalitis,1,VEEV,Venezuelan equine encephalitis virus,Venezuelan equine encephalomyelitis virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Venezuelan equine encephalitis virus,Culex gnomatos/vomerifer,M,Potential,,Positive,NO,NO,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,Culex gnomatos/vomerifer,culex gnomatos vomerifer,mosquito,potential,,positive,no,no,efsa_veev,species_name,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis,venezuelan equine encephalitis,1,VEEV,Venezuelan equine encephalitis virus,Venezuelan equine encephalomyelitis virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Venezuelan equine encephalitis virus,Culex taeniopus,M,Potential,,Positive,NO,NO,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,Culex taeniopus,culex taeniopus,mosquito,potential,,positive,no,no,efsa_veev,species_name,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis,venezuelan equine encephalitis,1,VEEV,Venezuelan equine encephalitis virus,Venezuelan equine encephalomyelitis virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Venezuelan equine encephalitis virus,Psorophora columbiae,M,Potential,,Positive,NO,NO,Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,Psorophora columbiae,psorophora columbiae,mosquito,potential,,positive,no,no,efsa_veev,species_name,Venezuelan equine encephalitis virus,Venezuelan equine encephalitis,venezuelan equine encephalitis,1,VEEV,Venezuelan equine encephalitis virus,Venezuelan equine encephalomyelitis virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Vesicular stomatitis - Alagoas virus,Culicoides sonorensis,BM,Potential,,Positive,NO,NO,Vesicular stomatitis - Alagoas virus,vesicular stomatitis alagoas virus,Culicoides sonorensis,culicoides sonorensis,biting_midge,potential,,positive,no,no,efsa_vsav,isolate_virus_name,Vesicular stomatitis - Alagoas virus,Vesicular stomatitis - Alagoas,vesicular stomatitis alagoas,1,VSAV,Vesicular stomatitis viruses,Vesicular stomatitis - Alagoas virus,Rhabdoviridae,Vesiculovirus,yes,matched_to_appendix_a
West Nile virus,Aedes albopictus,M,Potential,,Positive',YES,YES,West Nile virus,west nile virus,Aedes albopictus,aedes albopictus,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes australis,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Aedes australis,aedes australis,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes canadensis,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Aedes canadensis,aedes canadensis,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes detritus,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Aedes detritus,aedes detritus,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes dorsalis,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Aedes dorsalis,aedes dorsalis,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes japonicus,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Aedes japonicus,aedes japonicus,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes kochi,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Aedes kochi,aedes kochi,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes melanimon,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Aedes melanimon,aedes melanimon,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes notoscriptus,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Aedes notoscriptus,aedes notoscriptus,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes procax,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Aedes procax,aedes procax,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes sierrensis,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Aedes sierrensis,aedes sierrensis,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes taeniorhynchus,M,Potential,Positive,,NO,NO,West Nile virus,west nile virus,Aedes taeniorhynchus,aedes taeniorhynchus,mosquito,potential,positive,,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes triseriatus,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Aedes triseriatus,aedes triseriatus,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes vexans,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Aedes vexans,aedes vexans,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Aedes vigilax,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Aedes vigilax,aedes vigilax,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Coquillettidia linealis,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Coquillettidia linealis,coquillettidia linealis,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Coquillettidia perturbans,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Coquillettidia perturbans,coquillettidia perturbans,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex annulirostris,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex annulirostris,culex annulirostris,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex bitaeniorhynchus,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex bitaeniorhynchus,culex bitaeniorhynchus,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex erythrothorax,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex erythrothorax,culex erythrothorax,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex gelidus,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex gelidus,culex gelidus,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex incidens,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex incidens,culex incidens,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex modestus,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Culex modestus,culex modestus,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex neavei group,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex neavei group,culex neavei group,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex nigripalpus,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex nigripalpus,culex nigripalpus,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex pervigilans,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex pervigilans,culex pervigilans,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex pipiens,M,Highly likely,Positive,Positive,YES,YES,West Nile virus,west nile virus,Culex pipiens,culex pipiens,mosquito,highly_likely,positive,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex pipiens biotype molestus,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Culex pipiens biotype molestus,culex pipiens biotype molestus,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex pipiens biotype molestus x Culex quinquefasciatus,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Culex pipiens biotype molestus x Culex quinquefasciatus,culex pipiens biotype molestus x culex quinquefasciatus,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex pipiens biotype pipiens,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Culex pipiens biotype pipiens,culex pipiens biotype pipiens,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex pipiens biotype pipiens x Culex quinquefasciatus,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Culex pipiens biotype pipiens x Culex quinquefasciatus,culex pipiens biotype pipiens x culex quinquefasciatus,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex pipiens biotype pipiens x biotype molestus,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Culex pipiens biotype pipiens x biotype molestus,culex pipiens biotype pipiens x biotype molestus,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex pipiens s.l.,M,Highly likely,Positive,Positive,YES,YES,West Nile virus,west nile virus,Culex pipiens s.l.,culex pipiens s l,mosquito,highly_likely,positive,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex pipiens/restuans,M,Potential,Positive,,YES,NO,West Nile virus,west nile virus,Culex pipiens/restuans,culex pipiens restuans,mosquito,potential,positive,,yes,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex quinquefasciatus,M,Highly likely,Positive,Positive,NO,NO,West Nile virus,west nile virus,Culex quinquefasciatus,culex quinquefasciatus,mosquito,highly_likely,positive,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex restuans,M,Highly likely,Positive,Positive,NO,NO,West Nile virus,west nile virus,Culex restuans,culex restuans,mosquito,highly_likely,positive,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex salinarius,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex salinarius,culex salinarius,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex sitiens,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex sitiens,culex sitiens,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex stigmatosoma,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex stigmatosoma,culex stigmatosoma,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex tarsalis,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex tarsalis,culex tarsalis,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex thriambus,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex thriambus,culex thriambus,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex torrentium,M,Potential,,Positive,YES,YES,West Nile virus,west nile virus,Culex torrentium,culex torrentium,mosquito,potential,,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex univittatus,M,Highly likely,Positive,Positive,YES,YES,West Nile virus,west nile virus,Culex univittatus,culex univittatus,mosquito,highly_likely,positive,positive,yes,yes,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culex vansomereni,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culex vansomereni,culex vansomereni,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culiseta inornata,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Culiseta inornata,culiseta inornata,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Culiseta melanura,M,Potential,Positive,,NO,NO,West Nile virus,west nile virus,Culiseta melanura,culiseta melanura,mosquito,potential,positive,,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Verrallina carmenti,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Verrallina carmenti,verrallina carmenti,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Verrallina funerea,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Verrallina funerea,verrallina funerea,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
West Nile virus,Verrallina lineato,M,Potential,,Positive,NO,NO,West Nile virus,west nile virus,Verrallina lineato,verrallina lineato,mosquito,potential,,positive,no,no,efsa_wnv,species_name,West Nile virus,West Nile,west nile,1,WNV,West Nile virus,West Nile Virus,Flaviviridae,Flavivirus,yes,matched_to_appendix_a
Western equine encephalitis virus,Aedes aegypti,M,Potential,,Positive,YES,YES,Western equine encephalitis virus,western equine encephalitis virus,Aedes aegypti,aedes aegypti,mosquito,potential,,positive,yes,yes,efsa_weev,species_name,Western equine encephalitis virus,Western equine encephalitis,western equine encephalitis,1,WEEV,Western equine encephalitis virus,Equine encephalomyelitis (Western) virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Western equine encephalitis virus,Aedes albopictus,M,Potential,,Positive,YES,YES,Western equine encephalitis virus,western equine encephalitis virus,Aedes albopictus,aedes albopictus,mosquito,potential,,positive,yes,yes,efsa_weev,species_name,Western equine encephalitis virus,Western equine encephalitis,western equine encephalitis,1,WEEV,Western equine encephalitis virus,Equine encephalomyelitis (Western) virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Western equine encephalitis virus,Culex pipiens pallens,M,Potential,,Positive,YES,YES,Western equine encephalitis virus,western equine encephalitis virus,Culex pipiens pallens,culex pipiens pallens,mosquito,potential,,positive,yes,yes,efsa_weev,species_name,Western equine encephalitis virus,Western equine encephalitis,western equine encephalitis,1,WEEV,Western equine encephalitis virus,Equine encephalomyelitis (Western) virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Western equine encephalitis virus,Culex quinquefasciatus,M,Potential,,Positive,NO,NO,Western equine encephalitis virus,western equine encephalitis virus,Culex quinquefasciatus,culex quinquefasciatus,mosquito,potential,,positive,no,no,efsa_weev,species_name,Western equine encephalitis virus,Western equine encephalitis,western equine encephalitis,1,WEEV,Western equine encephalitis virus,Equine encephalomyelitis (Western) virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Western equine encephalitis virus,Culex tarsalis,M,Potential,,Positive,NO,NO,Western equine encephalitis virus,western equine encephalitis virus,Culex tarsalis,culex tarsalis,mosquito,potential,,positive,no,no,efsa_weev,species_name,Western equine encephalitis virus,Western equine encephalitis,western equine encephalitis,1,WEEV,Western equine encephalitis virus,Equine encephalomyelitis (Western) virus,Togaviridae,Alphavirus,yes,matched_to_appendix_a
Yunnan orbivirus,Anopheles sinensis,M,Potential,Positive,,NO,NO,Yunnan orbivirus,yunnan orbivirus,Anopheles sinensis,anopheles sinensis,mosquito,potential,positive,,no,no,efsa_yuov,species_name,Yunnan orbivirus,Yunnan orbivirus,yunnan orbivirus,1,YUOV,Yunnan orbivirus,Yunnan virus,Reoviridae,Orbivirus,no,matched_to_appendix_a
Yunnan orbivirus,Culex tritaeniorhynchus,M,Potential,Positive,,YES,YES,Yunnan orbivirus,yunnan orbivirus,Culex tritaeniorhynchus,culex tritaeniorhynchus,mosquito,potential,positive,,yes,yes,efsa_yuov,species_name,Yunnan orbivirus,Yunnan orbivirus,yunnan orbivirus,1,YUOV,Yunnan orbivirus,Yunnan virus,Reoviridae,Orbivirus,no,matched_to_appendix_a
