disease_name,disease_name_clean,pathogen,pathogen_tax_id,pathogen_type,pathogen_family,pathogen_genus,pheic_risk,host,host_tax_id,host_class,host_order,host_family,detection_method,main_source,vector_species,vector_group,evidence_strength,vector_evidence_basis,vector_record_sources,vector_supporting_row_count,assignment_basis,host_vector_species,vector_taxon_rank,vector_species_needs_review,vector_host_record_count,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,vector_join_key,link_type,vector_join_match_type,taxonomy_caution
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,PCR/Sequencing,VIRION,Culex sitiens,mosquito,weak,lab,lit_review,1,disease_level_inherited,Culex sitiens,species,FALSE,8,Culex sitiens,VectorMap,BloodMealMap,blood_meal,Australia; Iran; Singapore,,culex sitiens,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Culex sitiens,mosquito,weak,lab,lit_review,1,disease_level_inherited,Culex sitiens,species,FALSE,8,Culex sitiens,VectorMap,BloodMealMap,blood_meal,Australia; Iran; Singapore,,culex sitiens,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,3426298,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,PCR/Sequencing,VIRION,Verrallina funerea,mosquito,candidate,lab,lit_review,1,disease_level_inherited,Verrallina funerea,species,FALSE,1,Verrallina funerea,VectorMap,BloodMealMap,blood_meal,Australia,,verrallina funerea,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,togaviridae,alphavirus,High,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Verrallina funerea,mosquito,candidate,lab,lit_review,1,disease_level_inherited,Verrallina funerea,species,FALSE,1,Verrallina funerea,VectorMap,BloodMealMap,blood_meal,Australia,,verrallina funerea,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,togaviridae,alphavirus,High,Pan troglodytes,9598,mammalia,primates,hominidae,Antibodies; Not specified,VIRION,Culex annulirostris,mosquito,weak,lab,lit_review,1,disease_level_inherited,Culex annulirostris,species,FALSE,1,Culex annulirostris,VectorMap,BloodMealMap,blood_meal,Australia,,culex annulirostris,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Chikungunya fever,Chikungunya fever,Alphavirus chikungunya,37124,virus,togaviridae,alphavirus,High,Rattus rattus,10117,mammalia,rodentia,muridae,Antibodies,VIRION,Aedes aegypti,mosquito,confirmed,review,lit_review,3,disease_level_inherited,Aedes aegypti,species,FALSE,33,Aedes aegypti,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Grenada; Unites States,,aedes aegypti,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Antidorcas marsupialis,59523,mammalia,artiodactyla,bovidae,Antibodies,VIRION,Rhipicephalus evertsi,tick,candidate,review,lit_review,4,disease_level_inherited,Rhipicephalus evertsi,infraspecific,FALSE,1,Rhipicephalus evertsi evertsi,VectorMap,TickMap,on_host_occurrence,South Africa,,rhipicephalus evertsi,pathogen_host_vector_derived,exact_normalized_vector_name,TRUE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Isolation/Observation,VIRION,Amblyomma variegatum,tick,confirmed,review,lit_review,3,disease_level_inherited,Amblyomma variegatum,species,FALSE,3,Amblyomma variegatum,VectorMap,TickMap,on_host_occurrence,Cameroon; Nigeria; Sudan,,amblyomma variegatum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Isolation/Observation,VIRION,Hyalomma rufipes,tick,confirmed,review,lit_review,9,disease_level_inherited,Hyalomma rufipes,species,FALSE,1,Hyalomma rufipes,VectorMap,TickMap,on_host_occurrence,Cameroon,,hyalomma rufipes,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Isolation/Observation,VIRION,Hyalomma truncatum,tick,confirmed,review,lit_review,7,disease_level_inherited,Hyalomma truncatum,species,FALSE,1,Hyalomma truncatum,VectorMap,TickMap,on_host_occurrence,Cameroon,,hyalomma truncatum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Isolation/Observation,VIRION,Rhipicephalus guilhoni,tick,candidate,review,lit_review,2,disease_level_inherited,Rhipicephalus guilhoni,species,FALSE,1,Rhipicephalus guilhoni,VectorMap,TickMap,on_host_occurrence,Cameroon,,rhipicephalus guilhoni,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Isolation/Observation,VIRION,Rhipicephalus sanguineus,tick,candidate,review,lit_review,5,disease_level_inherited,Rhipicephalus sanguineus,species,FALSE,4,Rhipicephalus sanguineus,VectorMap,TickMap,on_host_occurrence,Nigeria; Sudan,,rhipicephalus sanguineus,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Amblyomma lepidum,tick,candidate,review,lit_review,1,disease_level_inherited,Amblyomma lepidum,species,FALSE,53,Amblyomma lepidum,VectorMap,TickMap,on_host_occurrence,"Central African Republic; Egypt; Kenya; South Africa; Sudan; Tanzania, United Republic of; Zambia",,amblyomma lepidum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Amblyomma variegatum,tick,confirmed,review,lit_review,3,disease_level_inherited,Amblyomma variegatum,species,FALSE,531,Amblyomma variegatum,VectorMap,TickMap,on_host_occurrence,"Benin; Botswana; Burkina Faso; Burundi; Cameroon; Congo, The Democratic Republic of The; Cote D'Ivoire; Gambia; Ghana; Guinea; Guinea-Bissau; Kenya; Malawi; Mali; Nigeria; Rwanda; Senegal; Sierra Leone; South Africa; Sudan; Tanzania, United Republic of; Uganda; Zambia",,amblyomma variegatum,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Dermacentor marginatus,tick,candidate,review,lit_review,3,disease_level_inherited,Dermacentor marginatus,species,FALSE,27,Dermacentor marginatus,VectorMap,TickMap,on_host_occurrence,Algeria; Georgia,,dermacentor marginatus,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Dermacentor nuttalli,tick,candidate,review,lit_review,1,disease_level_inherited,Dermacentor nuttalli,species,FALSE,20,Dermacentor nuttalli,VectorMap,TickMap,on_host_occurrence,Mongolia,,dermacentor nuttalli,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Haemaphysalis parva,tick,candidate,review,lit_review,2,disease_level_inherited,Haemaphysalis parva,species,FALSE,1,Haemaphysalis parva,VectorMap,TickMap,on_host_occurrence,Georgia,,haemaphysalis parva,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Haemaphysalis punctata,tick,candidate,review,lit_review,4,disease_level_inherited,Haemaphysalis punctata,species,FALSE,2,Haemaphysalis punctata,VectorMap,TickMap,on_host_occurrence,Algeria; Morocco,,haemaphysalis punctata,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,Crimean-Congo hemorrhagic fever,Orthonairovirus haemorrhagiae,3052518,virus,nairoviridae,orthonairovirus,High,Bos taurus,9913,mammalia,artiodactyla,bovidae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,Hyalomma aegyptium,tick,confirmed,review,EFSA; lit_review,5,disease_level_inherited,Hyalomma aegyptium,species,FALSE,1,Hyalomma aegyptium,VectorMap,TickMap,on_host_occurrence,Nigeria,,hyalomma aegyptium,pathogen_host_vector_derived,exact_normalized_vector_name,FALSE
