disease_name,disease_name_clean,host,host_tax_id,host_class,host_order,host_family,pathogen_count_in_disease_host_network,pathogen_examples,detection_method_examples,main_source_examples,vector_species,vector_group,best_evidence_level,best_evidence_basis,record_sources,supporting_row_count,disease_vector_taxon_rank,disease_vector_review_needed,host_vector_species,vector_taxon_rank,vector_species_needs_review,vector_host_record_count,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,vector_join_key,link_type,vector_join_match_type,taxonomy_caution
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,haemaphysalis parva,tick,candidate,review,lit_review,2,species,FALSE,Haemaphysalis parva,species,FALSE,1,Haemaphysalis parva,VectorMap,TickMap,on_host_occurrence,Georgia,,haemaphysalis parva,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,haemaphysalis punctata,tick,candidate,review,lit_review,4,species,FALSE,Haemaphysalis punctata,species,FALSE,2,Haemaphysalis punctata,VectorMap,TickMap,on_host_occurrence,Algeria; Morocco,,haemaphysalis punctata,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma aegyptium,tick,confirmed,review,EFSA; lit_review,5,species,FALSE,Hyalomma aegyptium,species,FALSE,1,Hyalomma aegyptium,VectorMap,TickMap,on_host_occurrence,Nigeria,,hyalomma aegyptium,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma anatolicum,tick,confirmed,review,EFSA; lit_review,8,species,FALSE,Hyalomma anatolicum,species,FALSE,12,Hyalomma anatolicum,VectorMap,TickMap,on_host_occurrence,Libyan Arab Jamahiriya; Sudan,,hyalomma anatolicum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma dromedarii,tick,confirmed,review,lit_review,6,species,FALSE,Hyalomma dromedarii,species,FALSE,18,Hyalomma dromedarii,VectorMap,TickMap,on_host_occurrence,Chad; Kenya; Mali; Mauritania; Morocco; Sudan,,hyalomma dromedarii,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma excavatum,tick,confirmed,review,lit_review,5,species,FALSE,Hyalomma excavatum,species,FALSE,17,Hyalomma excavatum,VectorMap,TickMap,on_host_occurrence,Algeria; Libyan Arab Jamahiriya; Morocco,,hyalomma excavatum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma impeltatum,tick,confirmed,review,lit_review,6,species,FALSE,Hyalomma impeltatum,species,FALSE,36,Hyalomma impeltatum,VectorMap,TickMap,on_host_occurrence,"Algeria; Cameroon; Chad; Cote D'Ivoire; Mali; Mauritania; Morocco; Niger; Nigeria; Sudan; Tanzania, United Republic of",,hyalomma impeltatum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma impressum,tick,probable,review,lit_review,2,species,FALSE,Hyalomma impressum,species,FALSE,17,Hyalomma impressum,VectorMap,TickMap,on_host_occurrence,"Cameroon; Congo, The Democratic Republic of The; Cote D'Ivoire; Mali; Senegal; South Africa; Sudan",,hyalomma impressum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma lusitanicum,tick,probable,review,lit_review,3,species,FALSE,Hyalomma lusitanicum,species,FALSE,4,Hyalomma lusitanicum,VectorMap,TickMap,on_host_occurrence,Morocco,,hyalomma lusitanicum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Bos taurus,9913,mammalia,artiodactyla,bovidae,1,Orthonairovirus haemorrhagiae,Isolation/Observation; Not specified; PCR/Sequencing,VIRION,hyalomma marginatum,tick,confirmed,review,EFSA; lit_review,11,species,FALSE,Hyalomma marginatum,species,FALSE,68,Hyalomma marginatum,VectorMap,TickMap,on_host_occurrence,Algeria; Georgia; Kenya; Morocco; Sudan,,hyalomma marginatum,disease_host_vector_derived,exact_normalized_vector_name,FALSE
