disease,v_species,v_group,evidence_level,evidence_basis,location,source,notes,record_source
Crimean-Congo haemorrhagic fever,Rhipicephalus annulatus,tick,candidate,review,several endemic countries,Estrada-Pena et al. 2012,field positive role unclear,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma spp.,tick,confirmed,review,,Hewson 2024,genus-level only,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,probable,review,southern Europe,Messina & Wint 2023,primary vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma lusitanicum,tick,candidate,review,southwestern Europe,Messina & Wint 2023,potential vector,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma aegyptium,tick,probable,review,global,Parvage et al. 2025,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma anatolicum,tick,probable,review,global,Parvage et al. 2025,high-capacity species,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma asiaticum,tick,probable,review,global,Parvage et al. 2025,high-capacity species,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma dromedarii,tick,probable,review,global,Parvage et al. 2025,high-capacity species,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma excavatum,tick,probable,review,global,Parvage et al. 2025,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma impeltatum,tick,probable,review,global,Parvage et al. 2025,high-capacity species,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma impressum,tick,probable,review,global,Parvage et al. 2025,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma lusitanicum,tick,probable,review,global,Parvage et al. 2025,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma marginatum,tick,probable,review,global,Parvage et al. 2025,high-capacity species,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma nitidum,tick,probable,review,global,Parvage et al. 2025,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma rufipes,tick,probable,review,global,Parvage et al. 2025,high-capacity species,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma schulzei,tick,probable,review,global,Parvage et al. 2025,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma scupense,tick,probable,review,global,Parvage et al. 2025,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma truncatum,tick,probable,review,global,Parvage et al. 2025,high-capacity species,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma turanicum,tick,probable,review,global,Parvage et al. 2025,high-capacity species,lit_review
Crimean-Congo haemorrhagic fever,Rhipicephalus bursa,tick,candidate,review,Greece,Parvage et al. 2025,virus isolated from ticks,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma aegyptium,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma anatolicum,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
Crimean-Congo haemorrhagic fever,Hyalomma excavatum,tick,candidate,review,Arab world,Perveen and Khan 2022,,lit_review
