efsa_pathogen_id,abbreviation,abbreviation_clean,species_name,species_name_clean,isolate_virus_name,isolate_virus_name_clean,efsa_pathogen_raw,efsa_pathogen_clean,efsa_disease_candidate,efsa_disease_candidate_clean,pathogen_family,pathogen_genus,oie_notifiable,oie_notifiable_raw
efsa_eeev,EEEV,eeev,Eastern equine encephalitis virus,eastern equine encephalitis virus,Eastern equine encephalomyelitis virus,eastern equine encephalomyelitis virus,Eastern equine encephalomyelitis virus,eastern equine encephalomyelitis virus,Eastern equine encephalomyelitis,eastern equine encephalomyelitis,Togaviridae,Alphavirus,yes,Yes
efsa_eev,EEV,eev,Equine encephalosis virus,equine encephalosis virus,Equine encephalosis virus,equine encephalosis virus,Equine encephalosis virus,equine encephalosis virus,Equine encephalosis,equine encephalosis,Reoviridae,Orbivirus,no,No
efsa_ehdv_ibav,EHDV/IBAV,ehdv ibav,Epizootic hemorrhagic disease virus,epizootic hemorrhagic disease virus,"Epizootic hemorrhagic disease virus, Ibaraki virus",epizootic hemorrhagic disease virus ibaraki virus,"Epizootic hemorrhagic disease virus, Ibaraki virus",epizootic hemorrhagic disease virus ibaraki virus,"Epizootic hemorrhagic disease virus, Ibaraki",epizootic hemorrhagic disease virus ibaraki,Reoviridae,Orbivirus,yes,Yes
efsa_getv,GETV,getv,Getah virus,getah virus,Getah virus,getah virus,Getah virus,getah virus,Getah,getah,Togaviridae,Alphavirus,no,No
efsa_hjv,HJV,hjv,Highlands J virus,highlands j virus,Highland J virus,highland j virus,Highland J virus,highland j virus,Highland J,highland j,Togaviridae,Alphavirus,no,No
efsa_jev,JEV,jev,Japanese encephalitis virus,japanese encephalitis virus,Japanese encephalitis virus,japanese encephalitis virus,Japanese encephalitis virus,japanese encephalitis virus,Japanese encephalitis,japanese encephalitis,Flaviviridae,Flavivirus,yes,Yes
efsa_kasv,KASV,kasv,Palyam virus,palyam virus,Kasba virus,kasba virus,Kasba virus,kasba virus,Kasba,kasba,Reoviridae,Orbivirus,no,No
efsa_kotv,KOTV,kotv,Kotonkan virus,kotonkan virus,Kotonkan virus,kotonkan virus,Kotonkan virus,kotonkan virus,Kotonkan,kotonkan,Rhabdoviridae,unassigned,no,No
efsa_mdv,MDV,mdv,Main drain virus,main drain virus,Main drain virus,main drain virus,Main drain virus,main drain virus,Main drain,main drain,Bunyaviridae,Orthobunyavirus,no,No
efsa_midv,MIDV,midv,Middelburg virus,middelburg virus,Middelburg virus,middelburg virus,Middelburg virus,middelburg virus,Middelburg,middelburg,Togaviridae,Alphavirus,no,No
