target_id,query_pathogen_label,query_pathogen_source,pathogen_species_name,pathogen_taxid,source_db,query_used,query_strategy,query_source,retrieval_policy,allow_sampling,analysis_unit_ids,readiness_disease_names,readiness_row_count,manifest_status,manifest_status_reason,qa_flags,existing_genbank_country_evidence,existing_genbank_distinct_countries_or_territories,current_target_id,current_manifest_query_strategy
Mammarenavirus_lassaense,Mammarenavirus lassaense,pathogen_species_name,Mammarenavirus lassaense,3052310,nuccore,txid3052310[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_11,Lassa fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,11,NA,NA
Mammarenavirus_lujoense,Mammarenavirus lujoense,pathogen_species_name,Mammarenavirus lujoense,3052314,nuccore,txid3052314[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_27,Lujo hemorrhagic fever,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,3,NA,NA
Mammarenavirus_machupoense,Mammarenavirus machupoense,pathogen_species_name,Mammarenavirus machupoense,3052317,nuccore,txid3052317[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_72,Machupo,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,3,NA,NA
Onyong_nyong_virus,Onyong-nyong virus,pathogen_species_name,Onyong-nyong virus,2169701,nuccore,txid2169701[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_45,O'nyong-nyong,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,5,NA,NA
Orbivirus_alphaequi,Orbivirus alphaequi,pathogen_species_name,Orbivirus alphaequi,40050,nuccore,txid40050[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_56,African horse sickness,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,14,NA,NA
Orbivirus_caerulinguae,Orbivirus caerulinguae,pathogen_species_name,Orbivirus caerulinguae,3431240; 40051,nuccore,(txid3431240[Organism:exp] OR txid40051[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_52,Bluetongue,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,78,NA,NA
Orbivirus_ruminantium,Orbivirus ruminantium,pathogen_species_name,Orbivirus ruminantium,3431252; 40054,nuccore,(txid3431252[Organism:exp] OR txid40054[Organism:exp]),taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_55,Epizootic haemorrhagic disease,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,23,NA,NA
Orientia_tsutsugamushi,Orientia tsutsugamushi,pathogen_species_name,Orientia tsutsugamushi,784,nuccore,txid784[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_46,Scrub typhus,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,19,NA,NA
Orthobornavirus_bornaense,Orthobornavirus bornaense,pathogen_species_name,Orthobornavirus bornaense,1714619,nuccore,txid1714619[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_26,Borna disease (encephalitis),1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,TRUE,10,NA,NA
Orthobunyavirus_jamestownense,Orthobunyavirus jamestownense,pathogen_species_name,Orthobunyavirus jamestownense,3052402,nuccore,txid3052402[Organism:exp],taxid_full_retrieval,readiness_generated_query,future_full_deterministic_pagination,FALSE,master_39,Jamestown Canyon,1,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,TRUE,7,NA,NA
