batch_id,source_id,source_title,source_url,doi,pmid,pmcid,source_access,file_name,file_name_piece,local_pdf_exists,local_pdf_path
n_batch_3_h5n1_mpox,H5N1-06,Pathogenicity and transmissibility of bovine H5N1 influenza virus,https://www.nature.com/articles/s41586-024-07766-6,10.1038/s41586-024-07766-6,38977017,,full_text,s41586-024-07766-6.pdf,s41586-024-07766-6.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/s41586-024-07766-6.pdf
n_batch_3_h5n1_mpox,H5N1-07,Avian influenza A H5N1 infections in cats,https://pubmed.ncbi.nlm.nih.gov/18619884/,10.1016/j.jfms.2008.03.005,18619884,,abstract_only,marschall-hartmann-2008-avian-influenza-a-h5n1-infections-in-cats.pdf,marschall-hartmann-2008-avian-influenza-a-h5n1-infections-in-cats.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/marschall-hartmann-2008-avian-influenza-a-h5n1-infections-in-cats.pdf
n_batch_3_h5n1_mpox,MPX-02,Mpox in Animals and Pets,https://stacks.cdc.gov/view/cdc/132180/cdc_132180_DS1.pdf,,,,report_pdf,cdc_132180_DS1.pdf,cdc_132180_DS1.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/cdc_132180_DS1.pdf
n_batch_3_h5n1_mpox,MPX-05,A Review of Evidence Related to the Zoonotic Characteristics of the Monkeypox Virus,https://pmc.ncbi.nlm.nih.gov/articles/PMC11476936/,10.1093/ofid/ofae503,39415826,PMC11476936,full_text,ofae503.pdf,ofae503.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/ofae503.pdf
n_batch_3_h5n1_mpox,MPX-07,The Detection of Monkeypox in Humans in the Western Hemisphere,https://pubmed.ncbi.nlm.nih.gov/14736926/,10.1056/NEJMoa032299,14736926,,abstract_only,10.1056/NEJMoa032299,10.1056/NEJMoa032299,FALSE,pathogen_association_data/source_data/role_annotation/papers/10.1056/NEJMoa032299
n_batch_3_h5n1_mpox,MPX-08,"Spectrum of Infection and Risk Factors for Human Monkeypox, United States, 2003",https://pubmed.ncbi.nlm.nih.gov/18252104/,10.3201/eid1309.070175,18252104,,abstract_only,07-0175_finalR.pdf,07-0175_finalR.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/07-0175_finalR.pdf
n_batch_3_h5n1_mpox,MPX-09,Monkeypox Disease Transmission in an Experimental Setting: Prairie Dog Animal Model,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0028295,10.1371/journal.pone.0028295,22164263,,full_text,mpox_dog.pdf,mpox_dog.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/mpox_dog.pdf
n_batch_3_h5n1_mpox,MPX-10,Transmission of MPXV from fire-footed rope squirrels to sooty mangabeys,https://www.nature.com/articles/s41586-025-10086-y,10.1038/s41586-025-10086-y,41673146,,full_text,s41586-025-10086-y.pdf,s41586-025-10086-y.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/s41586-025-10086-y.pdf
v_batch_1_west_nile_yellow_fever_dengue_plague,DEN-DIALLO-2022,Dengue vectors in Africa: A review,https://pubmed.ncbi.nlm.nih.gov/35620619/,10.1016/j.heliyon.2022.e09459,35620619,—,abstract_only,PIIS2405844022007472.pdf,PIIS2405844022007472.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/PIIS2405844022007472.pdf
v_batch_1_west_nile_yellow_fever_dengue_plague,DEN-ROSEN-1954,The transmission of dengue by Aedes polynesiensis Marks,https://pubmed.ncbi.nlm.nih.gov/13197723/,10.4269/ajtmh.1954.3.878,13197723,—,abstract_only,tpmd-article-p878.pdf,tpmd-article-p878.pdf,TRUE,pathogen_association_data/source_data/role_annotation/papers/tpmd-article-p878.pdf
