Pathogen,PathogenTaxID,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,HostClass,HostFamily,HostOrder,DetectionMethod,MainSource,PathogenType,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,host_query_include_default,match_review_flag,shared_species_proxy_flag,match_review_notes,match_method,source_database,source_assoc_id,source_host_flag_id,host_query_pathogen_names,host_query_taxids
orthoflavivirus japonicum,11072,Japanese encephalitis,75839,anas crecca,flasuviricetes,amarillovirales,flaviviridae,aves,anatidae,anseriformes,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,19582,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,8839,anas platyrhynchos,flasuviricetes,amarillovirales,flaviviridae,aves,anatidae,anseriformes,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,25453,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,75854,anas poecilorhyncha,flasuviricetes,amarillovirales,flaviviridae,aves,anatidae,anseriformes,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,25718,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,585464,ardea intermedia,flasuviricetes,amarillovirales,flaviviridae,aves,ardeidae,pelecaniformes,Isolation/Observation,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,30135,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,1158920,ardeola grayii,flasuviricetes,amarillovirales,flaviviridae,aves,ardeidae,pelecaniformes,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,30186,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9913,bos taurus,flasuviricetes,amarillovirales,flaviviridae,mammalia,bovidae,artiodactyla,Not specified,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,46641,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9913,bos taurus,flasuviricetes,amarillovirales,flaviviridae,mammalia,bovidae,artiodactyla,PCR/Sequencing,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,46657,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9913,bos taurus,flasuviricetes,amarillovirales,flaviviridae,mammalia,bovidae,artiodactyla,Isolation/Observation,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,46636,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,3048158,Japanese encephalitis,9913,bos taurus,flasuviricetes,amarillovirales,flaviviridae,mammalia,bovidae,artiodactyla,PCR/Sequencing,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,GenBank,46669,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,110668,bubulcus ibis,flasuviricetes,amarillovirales,flaviviridae,aves,ardeidae,pelecaniformes,Antibodies,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,55165,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,3048158,Japanese encephalitis,1364912,calandrella cinerea,flasuviricetes,amarillovirales,flaviviridae,aves,alaudidae,passeriformes,PCR/Sequencing,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,GenBank,56824,FALSE,orthoflavivirus japonicum,11072; 3048158
orthoflavivirus japonicum,11072,Japanese encephalitis,9612,canis lupus,flasuviricetes,amarillovirales,flaviviridae,mammalia,canidae,carnivora,Not specified,VIRION,virus,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,EID2,66526,FALSE,orthoflavivirus japonicum,11072; 3048158
