Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,MainSource,PathogenType,in_gibb_etal,in_empres_i,Host_raw,host_name_cleaning_method,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,host_query_include_default,match_review_flag,shared_species_proxy_flag,match_review_notes,match_method,source_database,source_assoc_id,source_host_flag_id,host_query_pathogen_names,host_query_taxids,host_count_for_analysis_unit,all_method_host_count_for_analysis_unit,host_count_flag,host_taxonomy_ready,host_taxonomy_flag,is_human_host,is_model_or_lab_host,is_domestic_or_livestock_hint
henipavirus hendraense,3052223,,Hendra virus disease,196297,pteropus rufus,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,pteropus rufus,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799967,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,94117,pteropus scapulatus,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Isolation/Observation,TRUE,TRUE,,VIRION,virus,,,pteropus scapulatus,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,HP3,799989,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
henipavirus hendraense,3052223,,Hendra virus disease,94117,pteropus scapulatus,monjiviricetes,mononegavirales,paramyxoviridae,,,mammalia,pteropodidae,chiroptera,Not specified,FALSE,FALSE,detection_method=Not specified,VIRION,virus,,,pteropus scapulatus,source_name_fallback,master_13,13,Hendra,Hendra henipavirus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,799990,FALSE,henipavirus hendraense,3052223,7,15,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
orthoflavivirus japonicum,11072,,Japanese encephalitis,8832,Aix galericulata,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,AVES,ANATIDAE,ANSERIFORMES,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,aix galericulata,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,16320,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
orthoflavivirus japonicum,11072,,Japanese encephalitis,28680,Anas acuta,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,AVES,ANATIDAE,ANSERIFORMES,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,anas acuta,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,18421,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
orthoflavivirus japonicum,11072,,Japanese encephalitis,75839,Anas crecca,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,AVES,ANATIDAE,ANSERIFORMES,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,anas crecca,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,19582,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
orthoflavivirus japonicum,11072,,Japanese encephalitis,8839,Anas platyrhynchos,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,AVES,ANATIDAE,ANSERIFORMES,Antibodies,FALSE,FALSE,detection_method=Antibodies; domestic_or_livestock_hint,VIRION,virus,,,anas platyrhynchos,source_name,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,25453,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,TRUE
orthoflavivirus japonicum,11072,,Japanese encephalitis,75854,Anas poecilorhyncha,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,AVES,ANATIDAE,ANSERIFORMES,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,anas poecilorhyncha,source_taxid_host,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,25718,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
orthoflavivirus japonicum,11072,,Japanese encephalitis,585464,Ardea intermedia,flasuviricetes,amarillovirales,flaviviridae,,CHORDATA,AVES,ARDEIDAE,PELECANIFORMES,Isolation/Observation,TRUE,TRUE,,VIRION,virus,,,ardea intermedia,cross_source_taxid_unique,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,30135,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
orthoflavivirus japonicum,11072,,Japanese encephalitis,1158920,ardeola grayii,flasuviricetes,amarillovirales,flaviviridae,,,aves,ardeidae,pelecaniformes,Antibodies,FALSE,FALSE,detection_method=Antibodies,VIRION,virus,,,ardeola grayii,source_name_fallback,master_31,31,Japanese encephalitis,Japanese encephalitis virus,default_clean,TRUE,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,taxid,Shaw,30186,FALSE,orthoflavivirus japonicum,11072; 3048158,36,75,expected_range,TRUE,species_like,FALSE,FALSE,FALSE
