analysis_unit_id,master_row,disease_master_name,resolved_disease_name,resolved_pathogen_name,resolved_pathogen_rank,include_as_analysis_unit,split_group,source,source_pathogen_name,source_taxid,source_family,source_type,match_type,match_distance,alias_type,alias_notes,alias_review_flag,match_status
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,yes,alkhumra,virion,orthoflavivirus kyasanurense,33743,flaviviridae,virus,manual_alias,0,shared_species_proxy,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,TRUE,accepted_candidate
master_82,82,Kyasanur Forest disease,Kyasanur Forest disease,Kyasanur Forest disease virus,species,yes,kyasanur_forest_disease,clover,kyasanur forest disease virus,33743,flaviviridae,virus,exact,0,,,,accepted_candidate
master_82,82,Kyasanur Forest disease,Kyasanur Forest disease,Kyasanur Forest disease virus,species,yes,kyasanur_forest_disease,virion,orthoflavivirus kyasanurense,3048170,flaviviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_82,82,Kyasanur Forest disease,Kyasanur Forest disease,Kyasanur Forest disease virus,species,yes,kyasanur_forest_disease,virion,orthoflavivirus kyasanurense,33743,flaviviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_83,83,Omsk HF,Omsk hemorrhagic fever,Omsk hemorrhagic fever virus,species,yes,omsk_hemorrhagic_fever,clover,omsk hemorrhagic fever virus,12542,flaviviridae,virus,exact,0,,,,accepted_candidate
master_83,83,Omsk HF,Omsk hemorrhagic fever,Omsk hemorrhagic fever virus,species,yes,omsk_hemorrhagic_fever,virion,orthoflavivirus omskense,12542,flaviviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_83,83,Omsk HF,Omsk hemorrhagic fever,Omsk hemorrhagic fever virus,species,yes,omsk_hemorrhagic_fever,virion,orthoflavivirus omskense,3048233,flaviviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_84,84,Colorado tick fever,Colorado tick fever,Colorado tick fever virus,species,yes,colorado_tick_fever,clover,colorado tick fever coltivirus,2748762,reoviridae,virus,fuzzy_candidate,0.0688888888888889,,,,review_candidate
master_84,84,Colorado tick fever,Colorado tick fever,Colorado tick fever virus,species,yes,colorado_tick_fever,virion,coltivirus dermacentoris,2748762,spinareoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_84,84,Colorado tick fever,Colorado tick fever,Colorado tick fever virus,species,yes,colorado_tick_fever,virion,coltivirus dermacentoris,3428066,spinareoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_85,85,Babesia microti,Babesiosis due to Babesia microti,Babesia microti,species,yes,babesia_microti,clover,babesia microti,5868,babesiidae,protozoa,exact,0,,,,accepted_candidate
master_86,86,Ehrlichia chaffeensis,Human monocytic ehrlichiosis,Ehrlichia chaffeensis,species,yes,ehrlichia_chaffeensis,clover,ehrlichia chaffeensis,945,anaplasmataceae,bacteria/rickettsia,exact,0,,,,accepted_candidate
master_87,87,Rickettsia conorii indica,Indian tick typhus,Rickettsia conorii subsp. indica,subspecies,yes,rickettsia_conorii_indica,clover,rickettsia conorii,781,rickettsiaceae,bacteria/rickettsia,manual_alias,0,parent_species_match,CLOVER local match is at parent species level.,TRUE,accepted_candidate
master_91,91,Murray Valley encephalitis,Murray Valley encephalitis,Murray Valley encephalitis virus,species,yes,murray_valley_encephalitis,clover,murray valley encephalitis virus,11079,flaviviridae,virus,exact,0,,,,accepted_candidate
master_91,91,Murray Valley encephalitis,Murray Valley encephalitis,Murray Valley encephalitis virus,species,yes,murray_valley_encephalitis,virion,orthoflavivirus murrayense,11079,flaviviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_91,91,Murray Valley encephalitis,Murray Valley encephalitis,Murray Valley encephalitis virus,species,yes,murray_valley_encephalitis,virion,orthoflavivirus murrayense,3048215,flaviviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,yes,rocio,clover,ilheus virus,59563,flaviviridae,virus,manual_alias,0,shared_species_proxy,Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,TRUE,accepted_candidate
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,yes,rocio,virion,orthoflavivirus ilheusense,3052466,flaviviridae,virus,manual_alias,0,shared_species_proxy,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.,TRUE,accepted_candidate
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,yes,rocio,virion,orthoflavivirus ilheusense,59563,flaviviridae,virus,manual_alias,0,shared_species_proxy,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.,TRUE,accepted_candidate
master_93,93,Everglades,Everglades virus disease,Everglades virus,species,yes,everglades,clover,everglades virus,2083198,togaviridae,virus,exact,0,,,,accepted_candidate
master_93,93,Everglades,Everglades virus disease,Everglades virus,species,yes,everglades,virion,alphavirus everglades,2083198,togaviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
master_95,95,Baylisascaris procyonis,Baylisascariasis,Baylisascaris procyonis,species,yes,baylisascaris_procyonis,clover,baylisascaris procyonis,6259,ascarididae,helminth,exact,0,,,,accepted_candidate
master_96,96,Leishmania aethiopica,Cutaneous leishmaniasis due to Leishmania aethiopica,Leishmania aethiopica,species,yes,leishmania_aethiopica,clover,leishmania aethiopica,5667,trypanosomatidae,protozoa,exact,0,,,,accepted_candidate
master_97,97,Borrelia hermsii,Tick-borne relapsing fever,Borrelia hermsii,species,yes,borrelia_hermsii,clover,borrelia hermsii,140,borreliaceae,bacteria/rickettsia,exact,0,,,,accepted_candidate
master_98,98,Menangle,Menangle virus infection,Menangle virus,species,yes,menangle,virion,pararubulavirus menangleense,3052599,paramyxoviridae,virus,manual_alias,0,taxonomy_name,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,accepted_candidate
