"species_name","species_name_canonical","species_role","sdm_needed_for_disease","sdm_available","sdm_species","run_status","run_priority","occurrence_method","gbif_occurrence_method","start_year","end_year","min_points","disease_count","disease_names","analysis_unit_ids","tax_ids","vector_group","vector_taxon_rank","best_evidence_level","best_evidence_basis","vector_record_sources","bites_humans","bites_humans_basis","vector_competence_status","transmission_demonstrated","natural_infection_reported","uncertainty_reason","taxonomy_caution","occurrence_status","occurrence_rows_raw","occurrence_rows_clean","passes_min_points","gbif_occurrence_path","local_occurrence_path","combined_occurrence_path","model_status","model_output_path","notes"
"Aedes albopictus","Aedes albopictus","vector","yes",FALSE,,"occurrences_ready",1,"combined","gbif-download",1970,2026,20,6,"Chikungunya fever; Dengue; Rift Valley fever; West Nile fever; Yellow fever; Zika virus disease","master_2; master_3; master_4; master_5; master_6; master_8",,"mosquito","species","confirmed","lab; lab; review; review","EFSA; lit_review; EFSA; lit_review; lit_review; lit_review",TRUE,"blood_meal","competent","yes","yes","mixed_or_debated_evidence|temperature_dependent; temperature_dependent",FALSE,"cleaned",197307,45169,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_albopictus/combined/cleaned/Aedes_albopictus_cleaned.csv","not_run",,
"Aedes aegypti","Aedes aegypti","vector","yes",FALSE,,"occurrences_ready",2,"combined","gbif-download",1970,2026,20,5,"Chikungunya fever; Dengue; Rift Valley fever; Yellow fever; Zika virus disease","master_2; master_3; master_4; master_5; master_8",,"mosquito","species","confirmed","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","yes","field_detection_only|low_competence_or_efficiency|no_transmission_demonstrated; mixed_or_debated_evidence|population_dependent|strain_dependent; temperature_dependent",FALSE,"cleaned",122600,17853,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_aegypti/combined/cleaned/Aedes_aegypti_cleaned.csv","not_run",,
"Amblyomma variegatum","Amblyomma variegatum","vector","yes",FALSE,,"occurrences_ready",3,"combined","gbif-download",1970,2026,20,2,"Crimean-Congo hemorrhagic fever; Rift Valley fever","master_7; master_8",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","","yes","field_detection_only",FALSE,"cleaned",145,59,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Amblyomma_variegatum/combined/cleaned/Amblyomma_variegatum_cleaned.csv","not_run",,
"Culex modestus","Culex modestus","vector","yes",FALSE,,"occurrences_ready",4,"combined","gbif-download",1970,2026,20,1,"West Nile fever","master_6",,"mosquito","species","confirmed","review","EFSA; lit_review",TRUE,"blood_meal","competent","yes","","field_detection_only",FALSE,"cleaned",1642,670,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_modestus/combined/cleaned/Culex_modestus_cleaned.csv","not_run",,
"Culex perexiguus","Culex perexiguus","vector","yes",FALSE,,"occurrences_ready",5,"combined","gbif-download",1970,2026,20,1,"West Nile fever","master_6",,"mosquito","species","confirmed","review","lit_review",TRUE,"blood_meal","competent","yes","","field_detection_only",FALSE,"cleaned",743,338,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_perexiguus/combined/cleaned/Culex_perexiguus_cleaned.csv","not_run",,
"Haemagogus janthinomys","Haemagogus janthinomys","vector","yes",FALSE,,"occurrences_ready",6,"combined","gbif-download",1970,2026,20,1,"Yellow fever","master_5",,"mosquito","species","confirmed","field","lit_review",TRUE,"blood_meal","competent","yes","yes","",FALSE,"cleaned",349,116,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Haemagogus_janthinomys/combined/cleaned/Haemagogus_janthinomys_cleaned.csv","not_run",,
"Haemagogus leucocelaenus","Haemagogus leucocelaenus","vector","yes",FALSE,,"occurrences_ready",7,"combined","gbif-download",1970,2026,20,1,"Yellow fever","master_5",,"mosquito","species","confirmed","field","lit_review",TRUE,"blood_meal","competent","yes","yes","",FALSE,"cleaned",137,47,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Haemagogus_leucocelaenus/combined/cleaned/Haemagogus_leucocelaenus_cleaned.csv","not_run",,
"Hyalomma aegyptium","Hyalomma aegyptium","vector","yes",FALSE,,"occurrences_ready",8,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","EFSA; lit_review",TRUE,"on_host_occurrence","competent","","","field_detection_only",FALSE,"cleaned",182,140,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_aegyptium/combined/cleaned/Hyalomma_aegyptium_cleaned.csv","not_run",,
"Hyalomma anatolicum","Hyalomma anatolicum","vector","yes",FALSE,,"occurrences_ready",9,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","EFSA; lit_review",TRUE,"on_host_occurrence","competent","","","",FALSE,"cleaned_below_min_points",23,16,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_anatolicum/combined/cleaned/Hyalomma_anatolicum_cleaned.csv","not_run",,
"Hyalomma dromedarii","Hyalomma dromedarii","vector","yes",FALSE,,"occurrences_ready",10,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","","","field_detection_only",FALSE,"cleaned",74,36,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_dromedarii/combined/cleaned/Hyalomma_dromedarii_cleaned.csv","not_run",,
"Hyalomma excavatum","Hyalomma excavatum","vector","yes",FALSE,,"occurrences_ready",11,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","","","",FALSE,"cleaned",43,35,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_excavatum/combined/cleaned/Hyalomma_excavatum_cleaned.csv","not_run",,
"Hyalomma impeltatum","Hyalomma impeltatum","vector","yes",FALSE,,"occurrences_ready",12,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","yes","","",FALSE,"cleaned_below_min_points",8,6,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_impeltatum/combined/cleaned/Hyalomma_impeltatum_cleaned.csv","not_run",,
"Hyalomma marginatum","Hyalomma marginatum","vector","yes",FALSE,,"occurrences_ready",13,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","EFSA; lit_review",TRUE,"on_host_occurrence","competent","","","",FALSE,"cleaned",1368,985,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_marginatum/combined/cleaned/Hyalomma_marginatum_cleaned.csv","not_run",,
"Hyalomma rufipes","Hyalomma rufipes","vector","yes",FALSE,,"occurrences_ready",14,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","mixed","","field_detection_only",FALSE,"cleaned",156,25,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_rufipes/combined/cleaned/Hyalomma_rufipes_cleaned.csv","not_run",,
"Hyalomma truncatum","Hyalomma truncatum","vector","yes",FALSE,,"occurrences_ready",15,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","yes","","field_detection_only",FALSE,"cleaned",38,28,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_truncatum/combined/cleaned/Hyalomma_truncatum_cleaned.csv","not_run",,
"Hyalomma turanicum","Hyalomma turanicum","vector","yes",FALSE,,"occurrences_ready",16,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","","","field_detection_only",FALSE,"cleaned_below_min_points",10,8,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_turanicum/combined/cleaned/Hyalomma_turanicum_cleaned.csv","not_run",,
"Ixodes hexagonus","Ixodes hexagonus","vector","yes",FALSE,,"occurrences_ready",17,"combined","gbif-download",1970,2026,20,1,"Tick-borne encephalitis","master_23",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","yes","yes","",FALSE,"cleaned",1784,1281,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Ixodes_hexagonus/combined/cleaned/Ixodes_hexagonus_cleaned.csv","not_run",,
"Rhipicephalus bursa","Rhipicephalus bursa","vector","yes",FALSE,,"occurrences_ready",18,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","","yes","field_detection_only",FALSE,"cleaned",196,144,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Rhipicephalus_bursa/combined/cleaned/Rhipicephalus_bursa_cleaned.csv","not_run",,
"Sabethes chloropterus","Sabethes chloropterus","vector","yes",FALSE,,"occurrences_ready",19,"combined","gbif-download",1970,2026,20,1,"Yellow fever","master_5",,"mosquito","species","confirmed","review","lit_review",TRUE,"blood_meal","competent","yes","yes","",FALSE,"cleaned",202,83,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Sabethes_chloropterus/combined/cleaned/Sabethes_chloropterus_cleaned.csv","not_run",,
"Aedes bromeliae","Aedes bromeliae","vector","yes",FALSE,,"pending",20,"combined","gbif-download",1970,2026,20,2,"Yellow fever; Zika virus disease","master_3; master_5",,"mosquito","species","confirmed","review","lit_review",,"","competent","yes","","",FALSE,"cleaned_below_min_points",65,6,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_bromeliae/combined/cleaned/Aedes_bromeliae_cleaned.csv","not_run",,
"Aedes metallicus","Aedes metallicus","vector","yes",FALSE,,"occurrences_ready",21,"combined","gbif-download",1970,2026,20,2,"Yellow fever; Zika virus disease","master_3; master_5",,"mosquito","species","confirmed","review","lit_review",FALSE,"","competent","yes","","",FALSE,"cleaned",72,42,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_metallicus/combined/cleaned/Aedes_metallicus_cleaned.csv","not_run",,
"Aedes opok","Aedes opok","vector","yes",FALSE,,"pending",22,"combined","gbif-download",1970,2026,20,2,"Yellow fever; Zika virus disease","master_3; master_5",,"mosquito","species","confirmed","review","lit_review",,"","competent","yes","","",FALSE,"cleaned_below_min_points",23,7,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_opok/combined/cleaned/Aedes_opok_cleaned.csv","not_run",,
"Aedes polynesiensis","Aedes polynesiensis","vector","yes",FALSE,,"occurrences_ready",23,"combined","gbif-download",1970,2026,20,2,"Dengue; Zika virus disease","master_2; master_3",,"mosquito","species","confirmed","review","lit_review",,"","competent","yes","yes","low_competence_or_efficiency|no_transmission_demonstrated",FALSE,"cleaned_below_min_points",63,3,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_polynesiensis/combined/cleaned/Aedes_polynesiensis_cleaned.csv","not_run",,
"Aedes keniensis","Aedes keniensis","vector","yes",FALSE,,"pending",24,"combined","gbif-download",1970,2026,20,1,"Yellow fever","master_5",,"mosquito","species","confirmed","review","lit_review",,"","competent","yes","","",FALSE,"failed_error",,,FALSE,,,,"not_run",,
"Aedes malayensis","Aedes malayensis","vector","yes",FALSE,,"pending",25,"combined","gbif-download",1970,2026,20,1,"Dengue","master_2",,"mosquito","species","confirmed","review","lit_review",,"","competent","","","",FALSE,"cleaned_below_min_points",197,15,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_malayensis/combined/cleaned/Aedes_malayensis_cleaned.csv","not_run",,
"Aedes simpsoni","Aedes simpsoni","vector","yes",FALSE,,"occurrences_ready",26,"combined","gbif-download",1970,2026,20,1,"Yellow fever","master_5",,"mosquito","species","confirmed","review","lit_review",,"","competent","yes","","",FALSE,"cleaned",212,40,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_simpsoni/combined/cleaned/Aedes_simpsoni_cleaned.csv","not_run",,
"Dermacentor reticulatus","Dermacentor reticulatus","vector","yes",FALSE,,"occurrences_ready",27,"combined","gbif-download",1970,2026,20,1,"Tick-borne encephalitis","master_23",,"tick","species","confirmed","review","lit_review",FALSE,"","competent","yes","yes","limited_or_indirect_support",FALSE,"cleaned",7897,4002,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Dermacentor_reticulatus/combined/cleaned/Dermacentor_reticulatus_cleaned.csv","not_run",,
"Hyalomma asiaticum","Hyalomma asiaticum","vector","yes",FALSE,,"occurrences_ready",28,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","EFSA; lit_review",,"","competent","","","",FALSE,"cleaned_below_min_points",389,17,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_asiaticum/combined/cleaned/Hyalomma_asiaticum_cleaned.csv","not_run",,
"Hyalomma schulzei","Hyalomma schulzei","vector","yes",FALSE,,"pending",29,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","lit_review",,"","competent","","","",FALSE,"no_source_records",0,0,FALSE,,,,"not_run",,
"Hyalomma spp","Hyalomma spp","vector","yes",FALSE,,"occurrences_ready",30,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","genus_only","confirmed","review","lit_review",,"","competent","","","taxon_level_not_specific",FALSE,"cleaned",2903,1457,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_spp/combined/cleaned/Hyalomma_spp_cleaned.csv","not_run",,
"Ixodes arboricola","Ixodes arboricola","vector","yes",FALSE,,"occurrences_ready",31,"combined","gbif-download",1970,2026,20,1,"Tick-borne encephalitis","master_23",,"tick","species","confirmed","review","lit_review",,"","competent","yes","yes","",FALSE,"cleaned_below_min_points",21,11,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Ixodes_arboricola/combined/cleaned/Ixodes_arboricola_cleaned.csv","not_run",,
"Ixodes persulcatus","Ixodes persulcatus","vector","yes",FALSE,,"occurrences_ready",32,"combined","gbif-download",1970,2026,20,1,"Tick-borne encephalitis","master_23",,"tick","species","confirmed","review","lit_review",,"","competent","yes","yes","",FALSE,"cleaned",2391,755,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Ixodes_persulcatus/combined/cleaned/Ixodes_persulcatus_cleaned.csv","not_run",,
"Aedes taylori","Aedes taylori","vector","yes",FALSE,,"pending",33,"combined","gbif-download",1970,2026,20,3,"Dengue; Yellow fever; Zika virus disease","master_2; master_3; master_5",,"mosquito","species","confirmed","review","lit_review",TRUE,"blood_meal","mixed","yes","","",FALSE,"cleaned_below_min_points",19,8,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_taylori/combined/cleaned/Aedes_taylori_cleaned.csv","not_run",,
"Culex poicilipes theobald","Culex poicilipes theobald","vector","yes",FALSE,,"occurrences_ready",34,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","infraspecific","confirmed","field+lab","lit_review",,"","mixed","mixed","","strain_dependent",FALSE,"cleaned_below_min_points",42,10,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_poicilipes_theobald/combined/cleaned/Culex_poicilipes_theobald_cleaned.csv","not_run",,
"Hyalomma asiaticum kozlovi","Hyalomma asiaticum kozlovi","vector","yes",FALSE,,"occurrences_ready",35,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","infraspecific","confirmed","review","lit_review",,"","","","","",FALSE,"cleaned_below_min_points",383,11,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Hyalomma_asiaticum_kozlovi/combined/cleaned/Hyalomma_asiaticum_kozlovi_cleaned.csv","not_run",,
"Hyalomma detritum","Hyalomma detritum","vector","yes",FALSE,,"pending",36,"combined","gbif-download",1970,2026,20,1,"Crimean-Congo hemorrhagic fever","master_7",,"tick","species","confirmed","review","lit_review",,"","","","","",FALSE,"no_source_records",0,0,FALSE,,,,"not_run",,
"Sabethes albipivus","Sabethes albipivus","vector","yes",FALSE,,"occurrences_ready",37,"combined","gbif-download",1970,2026,20,1,"Yellow fever","master_5",,"mosquito","species","confirmed","review","lit_review",,"","","","","",FALSE,"cleaned",129,49,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Sabethes_albipivus/combined/cleaned/Sabethes_albipivus_cleaned.csv","not_run",,
"Aedes detritus","Aedes detritus","vector","yes",FALSE,,"occurrences_ready",38,"combined","gbif-download",1970,2026,20,3,"Rift Valley fever; West Nile fever; Zika virus disease","master_3; master_6; master_8",,"mosquito","species","probable","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","","temperature_dependent",FALSE,"cleaned",4399,357,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_detritus/combined/cleaned/Aedes_detritus_cleaned.csv","not_run",,
"Aedes vigilax","Aedes vigilax","vector","yes",FALSE,,"occurrences_ready",39,"combined","gbif-download",1970,2026,20,3,"Chikungunya fever; West Nile fever; Zika virus disease","master_3; master_4; master_6",,"mosquito","species","probable","lab; review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","","",FALSE,"cleaned",2071,505,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_vigilax/combined/cleaned/Aedes_vigilax_cleaned.csv","not_run",,
"Culex tarsalis","Culex tarsalis","vector","yes",FALSE,,"occurrences_ready",40,"combined","gbif-download",1970,2026,20,3,"Rift Valley fever; West Nile fever; Zika virus disease","master_3; master_6; master_8",,"mosquito","species","probable","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","yes","field_detection_only|no_infection_detected",FALSE,"cleaned",152208,4073,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_tarsalis/combined/cleaned/Culex_tarsalis_cleaned.csv","not_run",,
"Aedes canadensis","Aedes canadensis","vector","yes",FALSE,,"occurrences_ready",41,"combined","gbif-download",1970,2026,20,2,"Rift Valley fever; West Nile fever","master_6; master_8",,"mosquito","species","probable","efsa_appendix_g; review","EFSA; lit_review",TRUE,"blood_meal","competent","yes","","",FALSE,"cleaned",13852,1512,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_canadensis/combined/cleaned/Aedes_canadensis_cleaned.csv","not_run",,
"Aedes caspius","Aedes caspius","vector","yes",FALSE,,"occurrences_ready",42,"combined","gbif-download",1970,2026,20,2,"Rift Valley fever; West Nile fever","master_6; master_8",,"mosquito","species","probable","review","EFSA; lit_review; lit_review",TRUE,"blood_meal","competent","yes","","mixed_or_debated_evidence|no_transmission_demonstrated",FALSE,"cleaned",9832,1914,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_caspius/combined/cleaned/Aedes_caspius_cleaned.csv","not_run",,
"Aedes excrucians","Aedes excrucians","vector","yes",FALSE,,"occurrences_ready",43,"combined","gbif-download",1970,2026,20,2,"Rift Valley fever; West Nile fever","master_6; master_8",,"mosquito","species","probable","review","lit_review",TRUE,"blood_meal","competent","yes","","",FALSE,"cleaned",3579,596,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_excrucians/combined/cleaned/Aedes_excrucians_cleaned.csv","not_run",,
"Coquillettidia linealis","Coquillettidia linealis","vector","yes",FALSE,,"occurrences_ready",44,"combined","gbif-download",1970,2026,20,2,"Chikungunya fever; West Nile fever","master_4; master_6",,"mosquito","species","probable","efsa_appendix_g; lab","EFSA; lit_review",TRUE,"blood_meal","competent","yes","","",FALSE,"cleaned",465,233,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Coquillettidia_linealis/combined/cleaned/Coquillettidia_linealis_cleaned.csv","not_run",,
"Coquillettidia perturbans","Coquillettidia perturbans","vector","yes",FALSE,,"occurrences_ready",45,"combined","gbif-download",1970,2026,20,2,"Rift Valley fever; West Nile fever","master_6; master_8",,"mosquito","species","probable","efsa_appendix_g; review","EFSA; lit_review",TRUE,"blood_meal","competent","yes","","",FALSE,"cleaned",67750,3362,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Coquillettidia_perturbans/combined/cleaned/Coquillettidia_perturbans_cleaned.csv","not_run",,
"Psorophora ferox","Psorophora ferox","vector","yes",FALSE,,"occurrences_ready",46,"combined","gbif-download",1970,2026,20,2,"Rift Valley fever; Zika virus disease","master_3; master_8",,"mosquito","species","probable","review","lit_review",TRUE,"blood_meal","competent","yes","no","limited_or_indirect_support|predicted_only",FALSE,"cleaned",33627,2395,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Psorophora_ferox/combined/cleaned/Psorophora_ferox_cleaned.csv","not_run",,
"Aedes sollicitans","Aedes sollicitans","vector","yes",FALSE,,"occurrences_ready",47,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","probable","review","lit_review",TRUE,"blood_meal","competent","yes","","",FALSE,"cleaned",4362,1041,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_sollicitans/combined/cleaned/Aedes_sollicitans_cleaned.csv","not_run",,
"Culex stigmatosoma","Culex stigmatosoma","vector","yes",FALSE,,"occurrences_ready",48,"combined","gbif-download",1970,2026,20,1,"West Nile fever","master_6",,"mosquito","species","probable","lab","EFSA; lit_review",TRUE,"blood_meal","competent","yes","","",FALSE,"cleaned",15769,1606,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_stigmatosoma/combined/cleaned/Culex_stigmatosoma_cleaned.csv","not_run",,
"Aedes furcifer taylori","Aedes furcifer taylori","vector","yes",FALSE,,"occurrences_ready",49,"combined","gbif-download",1970,2026,20,2,"Chikungunya fever; Yellow fever","master_4; master_5",,"mosquito","infraspecific","probable","review","lit_review",,"","competent","yes","","",FALSE,"cleaned_below_min_points",5,3,FALSE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_furcifer_taylori/combined/cleaned/Aedes_furcifer_taylori_cleaned.csv","not_run",,
"Aedes japonicus japonicus","Aedes japonicus japonicus","vector","yes",FALSE,,"occurrences_ready",50,"combined","gbif-download",1970,2026,20,2,"Rift Valley fever; West Nile fever","master_6; master_8",,"mosquito","infraspecific","probable","review","lit_review",,"","competent","yes","","no_infection_detected",FALSE,"cleaned",4100,122,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_japonicus_japonicus/combined/cleaned/Aedes_japonicus_japonicus_cleaned.csv","not_run",,
"Aedes procax","Aedes procax","vector","yes",FALSE,,"occurrences_ready",51,"combined","gbif-download",1970,2026,20,2,"Chikungunya fever; West Nile fever","master_4; master_6",,"mosquito","species","probable","efsa_appendix_g; lab","EFSA; lit_review",FALSE,"","competent","yes","","",FALSE,"cleaned",345,92,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_procax/combined/cleaned/Aedes_procax_cleaned.csv","not_run",,
"Culex torrentium","Culex torrentium","vector","yes",FALSE,,"occurrences_ready",52,"combined","gbif-download",1970,2026,20,2,"West Nile fever; Zika virus disease","master_3; master_6",,"mosquito","species","probable","review","EFSA; lit_review; lit_review",,"","competent","yes","","no_transmission_demonstrated|strain_dependent; temperature_dependent",FALSE,"cleaned",2245,1171,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_torrentium/combined/cleaned/Culex_torrentium_cleaned.csv","not_run",,
"Aedes aedimorphus dentatus","Aedes aedimorphus dentatus","vector","yes",FALSE,,"occurrences_ready",53,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","infraspecific","probable","review","lit_review",,"","competent","yes","yes","",FALSE,"cleaned",812462,80493,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_aedimorphus_dentatus/combined/cleaned/Aedes_aedimorphus_dentatus_cleaned.csv","not_run",,
"Aedes aedimorphus vexans arabiensis","Aedes aedimorphus vexans arabiensis","vector","yes",FALSE,,"occurrences_ready",54,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","infraspecific","probable","review","lit_review",,"","competent","yes","yes","",FALSE,"cleaned",812462,80493,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_aedimorphus_vexans_arabiensis/combined/cleaned/Aedes_aedimorphus_vexans_arabiensis_cleaned.csv","not_run",,
"Aedes palpalis","Aedes palpalis","vector","yes",FALSE,,"pending",55,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","species","probable","lab","lit_review",,"","competent","yes","","",FALSE,"no_source_records",0,0,FALSE,,,,"not_run",,
"Aedes rusticus","Aedes rusticus","vector","yes",FALSE,,"occurrences_ready",56,"combined","gbif-download",1970,2026,20,1,"West Nile fever","master_6",,"mosquito","species","probable","lab","lit_review",,"","competent","yes","","",FALSE,"cleaned",2610,544,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Aedes_rusticus/combined/cleaned/Aedes_rusticus_cleaned.csv","not_run",,
"Culex pipiens hybrid form","Culex pipiens hybrid form","vector","yes",FALSE,,"occurrences_ready",57,"combined","gbif-download",1970,2026,20,1,"Rift Valley fever","master_8",,"mosquito","infraspecific","probable","lab","lit_review",,"","competent","yes","","",FALSE,"cleaned",248848,10054,TRUE,,,"/Volumes/LaCie/new_global_maxent/sdms/runs_artur/vector_sdm_push/occurrences/Culex_pipiens_hybrid_form/combined/cleaned/Culex_pipiens_hybrid_form_cleaned.csv","not_run",,
