"analysis_unit_id","readiness_disease_name","disease_name","species_name","tax_id","species_role","sdm_needed_for_disease","host_role_assignment","host_role_confidence","host_role_needs_manual_review","host_role_assignment_status","sdm_available","sdm_species","recommended_next_action","readiness_blocker","range_limiting_layer","roster_vector_rows","vector_sdm_species_available","direct_vector_species_or_taxa","direct_vector_confirmed_rows","direct_vector_probable_rows","direct_vector_candidate_rows","direct_vector_competent_rows","direct_vector_transmission_yes_rows","direct_vector_natural_infection_yes_rows","genbank_distinct_countries_or_territories","who_don_distinct_countries","tax_id_vector","vector_group","vector_taxon_rank","vector_join_key","has_disease_vector_evidence","has_host_vector_evidence","has_competence_evidence","best_evidence_level","best_evidence_basis","vector_record_sources","bites_humans","bites_humans_basis","vector_competence_status","transmission_demonstrated","natural_infection_reported","vector_role_hint","uncertainty_reason","taxonomy_caution","species_name_canonical","species_key","run_status","run_priority","occurrence_method","gbif_occurrence_method","start_year","end_year","min_points","target_status"
"master_8","Rift Valley fever","Rift Valley fever","Mansonia africana",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","mansonia africana",TRUE,TRUE,TRUE,"probable","review","lit_review",TRUE,"blood_meal","unclear","","yes","candidate_vector","field_detection_only",FALSE,"Mansonia africana","mansonia africana","pending",158,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Mansonia dyari",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","mansonia dyari",TRUE,FALSE,TRUE,"candidate","review","lit_review",,"","competent","yes","","","",FALSE,"Mansonia dyari","mansonia dyari","pending",159,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Mansonia uniformis",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","infraspecific","mansonia uniformis",TRUE,TRUE,TRUE,"probable","review","lit_review",TRUE,"blood_meal","unclear","","yes","candidate_vector","field_detection_only",TRUE,"Mansonia uniformis","mansonia uniformis","pending",160,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Ochlerotatus caballus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","ochlerotatus caballus",TRUE,FALSE,TRUE,"weak","review","lit_review",,"","unclear","","yes","","",FALSE,"Ochlerotatus caballus","ochlerotatus caballus","pending",161,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Ochlerotatus juppi",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","ochlerotatus juppi",TRUE,FALSE,TRUE,"weak","review","lit_review",,"","unclear","","yes","","limited_or_indirect_support",FALSE,"Ochlerotatus juppi","ochlerotatus juppi","pending",162,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Psorophora ferox",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"mosquito","species","psorophora ferox",TRUE,TRUE,TRUE,"probable","review","lit_review",TRUE,"blood_meal","competent","yes","","","",FALSE,"Psorophora ferox","psorophora ferox","pending",163,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_8","Rift Valley fever","Rift Valley fever","Rhipicephalus appendiculatus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","host_and_vector",78,0,78,6,33,36,30,30,53,33,10,,"tick","species","rhipicephalus appendiculatus",TRUE,TRUE,TRUE,"weak","review","lit_review",TRUE,"on_host_occurrence","unclear","","yes","","",FALSE,"Rhipicephalus appendiculatus","rhipicephalus appendiculatus","pending",164,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_23","Tick-borne encephalitis","Tick-borne encephalitis","Dermacentor marginatus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",11,0,11,8,1,0,9,10,8,37,0,,"tick","species","dermacentor marginatus",TRUE,TRUE,TRUE,"confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","yes","yes","","",FALSE,"Dermacentor marginatus","dermacentor marginatus","pending",165,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_23","Tick-borne encephalitis","Tick-borne encephalitis","Dermacentor reticulatus",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",11,0,11,8,1,0,9,10,8,37,0,,"tick","species","dermacentor reticulatus",TRUE,FALSE,TRUE,"confirmed","review","lit_review",FALSE,"","competent","yes","yes","","limited_or_indirect_support",FALSE,"Dermacentor reticulatus","dermacentor reticulatus","pending",166,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
"master_23","Tick-borne encephalitis","Tick-borne encephalitis","Haemaphysalis concinna",,"vector","yes","","",,"",FALSE,"","find_or_build_vector_sdm","missing_required_vector_sdm","vector",11,0,11,8,1,0,9,10,8,37,0,,"tick","species","haemaphysalis concinna",TRUE,TRUE,TRUE,"confirmed","review","lit_review",TRUE,"on_host_occurrence","competent","yes","yes","primary_vector","",FALSE,"Haemaphysalis concinna","haemaphysalis concinna","pending",167,"combined","gbif-download",1970,2026,20,"needs_vector_sdm"
