Host,Virus,PHEIC risk,Pathogens,Disease_name,previous_name,msl39_viral_name,in_gibb_etal,in_empres_i,Virion_VirusName,HostTaxID,HostGenus,HostFamily,HostOrder,HostClass,VirusTaxID,VirusGenus,VirusFamily,VirusOrder,VirusClass,DetectionMethod,HostFlagID,high_quality_detection,downstream_default_include,downstream_review_reason
rattus norvegicus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,10116,rattus,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
rattus norvegicus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,10116,rattus,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rattus rattus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,10117,rattus,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
rattus rattus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,10117,rattus,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
cavia porcellus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,10141,cavia,caviidae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
rattus exulans,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,34854,rattus,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
mastomys erythroleucus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,41268,mastomys,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Isolation/Observation,FALSE,TRUE,TRUE,NA
mastomys erythroleucus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,41268,mastomys,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
arvicanthis niloticus,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,61156,arvicanthis,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,Antibodies,FALSE,FALSE,FALSE,detection_method=Antibodies
mastomys sp.,mammarenavirus lassaense,High,Mammarenavirus lassaense,Lassa fever,Lassa Fever virus,Mammarenavirus lassaense,TRUE,FALSE,mammarenavirus lassaense,70830,mastomys,muridae,rodentia,mammalia,3052310,mammarenavirus,arenaviridae,bunyavirales,ellioviricetes,PCR/Sequencing,FALSE,TRUE,TRUE,NA
