vector_modelling_feature_id,disease_name,species_role,species_name,tax_id,vector_group,vector_taxon_rank,vector_join_key,best_evidence_level,best_evidence_basis,has_disease_vector_evidence,has_host_vector_evidence,has_competence_evidence,bites_humans,bites_humans_known,bites_humans_true,vector_competence_status,transmission_demonstrated,natural_infection_reported,vector_role_hint,taxonomy_ok,profile_broad,profile_supported,profile_strong,profile_strict,biological_evidence_tier,tier_rule_id,vector_evidence_missingness_reason,feature_rule_version
chikungunya fever|aedes vittatus|NA,Chikungunya fever,vector,aedes vittatus,,mosquito,species,aedes vittatus,candidate,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|coquillettidia linealis|NA,Chikungunya fever,vector,coquillettidia linealis,,mosquito,species,coquillettidia linealis,probable,lab,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|culex annulirostris|NA,Chikungunya fever,vector,culex annulirostris,,mosquito,species,culex annulirostris,weak,lab,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|culex sitiens|NA,Chikungunya fever,vector,culex sitiens,,mosquito,species,culex sitiens,weak,lab,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|eretmapodites chrysogaster|NA,Chikungunya fever,vector,eretmapodites chrysogaster,,mosquito,species,eretmapodites chrysogaster,candidate,review,TRUE,FALSE,TRUE,,FALSE,FALSE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|opifex fuscus|NA,Chikungunya fever,vector,opifex fuscus,,mosquito,species,opifex fuscus,candidate,review,TRUE,FALSE,TRUE,,FALSE,FALSE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
chikungunya fever|verrallina funerea|NA,Chikungunya fever,vector,verrallina funerea,,mosquito,species,verrallina funerea,candidate,lab,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|amblyomma lepidum|NA,Crimean-Congo hemorrhagic fever,vector,amblyomma lepidum,,tick,species,amblyomma lepidum,candidate,review,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,unclear,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|amblyomma variegatum|NA,Crimean-Congo hemorrhagic fever,vector,amblyomma variegatum,,tick,species,amblyomma variegatum,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,,,,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|dermacentor marginatus|NA,Crimean-Congo hemorrhagic fever,vector,dermacentor marginatus,,tick,species,dermacentor marginatus,candidate,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,unclear,,,candidate_vector,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|dermacentor niveus|NA,Crimean-Congo hemorrhagic fever,vector,dermacentor niveus,,tick,species,dermacentor niveus,candidate,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|dermacentor nuttalli|NA,Crimean-Congo hemorrhagic fever,vector,dermacentor nuttalli,,tick,species,dermacentor nuttalli,candidate,review,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,unclear,,,candidate_vector,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|haemaphysalis concinna|NA,Crimean-Congo hemorrhagic fever,vector,haemaphysalis concinna,,tick,species,haemaphysalis concinna,candidate,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|haemaphysalis inermis|NA,Crimean-Congo hemorrhagic fever,vector,haemaphysalis inermis,,tick,species,haemaphysalis inermis,candidate,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,broad,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|haemaphysalis parva|NA,Crimean-Congo hemorrhagic fever,vector,haemaphysalis parva,,tick,species,haemaphysalis parva,candidate,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|haemaphysalis punctata|NA,Crimean-Congo hemorrhagic fever,vector,haemaphysalis punctata,,tick,species,haemaphysalis punctata,candidate,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,unclear,,,candidate_vector,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|haemaphysalis sulcata|NA,Crimean-Congo hemorrhagic fever,vector,haemaphysalis sulcata,,tick,species,haemaphysalis sulcata,candidate,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma aegyptium|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma aegyptium,,tick,species,hyalomma aegyptium,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,,,,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma anatolicum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma anatolicum,,tick,species,hyalomma anatolicum,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,,,candidate_vector|primary_vector,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma asiaticum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma asiaticum,,tick,species,hyalomma asiaticum,confirmed,review,TRUE,FALSE,TRUE,,FALSE,FALSE,competent,,,primary_vector,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; bites_humans_unknown; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma asiaticum kozlovi|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma asiaticum kozlovi,,tick,infraspecific,hyalomma asiaticum kozlovi,confirmed,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma detritum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma detritum,,tick,species,hyalomma detritum,confirmed,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma dromedarii|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma dromedarii,,tick,species,hyalomma dromedarii,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,,,candidate_vector|primary_vector,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma excavatum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma excavatum,,tick,species,hyalomma excavatum,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,,,candidate_vector,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma impeltatum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma impeltatum,,tick,species,hyalomma impeltatum,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,primary_vector,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma impressum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma impressum,,tick,species,hyalomma impressum,probable,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma isaaci|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma isaaci,,tick,species,hyalomma isaaci,candidate,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma lusitanicum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma lusitanicum,,tick,species,hyalomma lusitanicum,probable,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,unclear,,,candidate_vector,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma marginatum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma marginatum,,tick,species,hyalomma marginatum,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,,,primary_vector,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma nitidum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma nitidum,,tick,species,hyalomma nitidum,probable,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma onatoli|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma onatoli,,tick,species,hyalomma onatoli,candidate,review,TRUE,FALSE,TRUE,,FALSE,FALSE,unclear,,,,FALSE,FALSE,FALSE,FALSE,FALSE,excluded,vector_v0_1,taxonomy_caution; tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma rufipes|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma rufipes,,tick,species,hyalomma rufipes,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,mixed,,primary_vector,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma schulzei|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma schulzei,,tick,species,hyalomma schulzei,confirmed,review,TRUE,FALSE,TRUE,,FALSE,FALSE,competent,,,,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma scupense|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma scupense,,tick,species,hyalomma scupense,probable,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,unclear,,,candidate_vector,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma spp|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma spp,,tick,genus_only,hyalomma spp,confirmed,review,TRUE,FALSE,TRUE,,FALSE,FALSE,competent,,,primary_vector,TRUE,TRUE,TRUE,TRUE,FALSE,strong,vector_v0_1,tax_id_missing; bites_humans_unknown; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma truncatum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma truncatum,,tick,species,hyalomma truncatum,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,primary_vector,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|hyalomma turanicum|NA,Crimean-Congo hemorrhagic fever,vector,hyalomma turanicum,,tick,species,hyalomma turanicum,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,,,primary_vector,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|ixodes ricinus|NA,Crimean-Congo hemorrhagic fever,vector,ixodes ricinus,,tick,species,ixodes ricinus,candidate,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,unclear,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|ornithodoros lahorensis|NA,Crimean-Congo hemorrhagic fever,vector,ornithodoros lahorensis,,tick,species,ornithodoros lahorensis,candidate,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,broad,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus annulatus|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus annulatus,,tick,species,rhipicephalus annulatus,candidate,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,unclear,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus appendiculatus|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus appendiculatus,,tick,species,rhipicephalus appendiculatus,candidate,review,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus boophilus annulatus|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus boophilus annulatus,,tick,infraspecific,rhipicephalus boophilus annulatus,candidate,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,broad,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus boophilus decoloratus|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus boophilus decoloratus,,tick,infraspecific,rhipicephalus boophilus decoloratus,candidate,review,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,broad,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus bursa|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus bursa,,tick,species,rhipicephalus bursa,confirmed,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,competent,,yes,candidate_vector,TRUE,TRUE,TRUE,TRUE,TRUE,strict,vector_v0_1,tax_id_missing; transmission_demonstrated_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus decoloratus|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus decoloratus,,tick,species,rhipicephalus decoloratus,candidate,review,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus evertsi|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus evertsi,,tick,species,rhipicephalus evertsi,candidate,review,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,unclear,no,,,FALSE,FALSE,FALSE,FALSE,FALSE,excluded,vector_v0_1,taxonomy_caution; tax_id_missing; vector_role_hint_blank; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus evertsi evertsi|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus evertsi evertsi,,tick,infraspecific,rhipicephalus evertsi evertsi,candidate,review,TRUE,FALSE,TRUE,,FALSE,FALSE,unclear,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus geigyi|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus geigyi,,tick,species,rhipicephalus geigyi,candidate,review,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus guilhoni|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus guilhoni,,tick,species,rhipicephalus guilhoni,candidate,review,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus microplus|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus microplus,,tick,species,rhipicephalus microplus,candidate,review,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus pulchellus|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus pulchellus,,tick,species,rhipicephalus pulchellus,candidate,review,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,unclear,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
crimean congo hemorrhagic fever|rhipicephalus pumilio|NA,Crimean-Congo hemorrhagic fever,vector,rhipicephalus pumilio,,tick,species,rhipicephalus pumilio,candidate,review,TRUE,FALSE,TRUE,,FALSE,FALSE,unclear,,,,TRUE,TRUE,TRUE,FALSE,FALSE,supported,vector_v0_1,tax_id_missing; bites_humans_unknown; vector_role_hint_blank; transmission_demonstrated_unknown; natural_infection_unknown,vector_tier_rules_v0_1
