disease_name,active_source_pathogens,network_pathogen,pathogen_tax_ids,host,host_tax_id,host_class,host_order,host_family,in_gibb_etal,in_empres_i,priority_prototype_status,active_scope_reason,network_pathogen_raw_examples,disease_name_raw_examples,detection_method_examples,main_source_examples,source_row_count,is_human,is_livestock_like,is_bird,is_rodent,is_bat,is_primate,host_role_candidate,candidate_basis,role_confidence,needs_manual_review,review_priority
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Chlorocebus aethiops,9534,mammalia,primates,cercopithecidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation; Not specified,VIRION,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Erythrocebus patas,9538,mammalia,primates,cercopithecidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Gorilla gorilla,9593,mammalia,primates,hominidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies,VIRION,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,3426298; 37124,Macaca fascicularis,9541,mammalia,primates,cercopithecidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies; PCR/Sequencing; PCR/Sequencing,VIRION,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Macaca mulatta,9544,mammalia,primates,cercopithecidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies,VIRION,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Pan troglodytes,9598,mammalia,primates,hominidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies; Not specified,VIRION,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,3426298; 37124,Papio hamadryas,9557,mammalia,primates,cercopithecidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies; PCR/Sequencing; PCR/Sequencing,VIRION,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Papio papio,100937,mammalia,primates,cercopithecidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Isolation/Observation,VIRION,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Papio ursinus,36229,mammalia,primates,cercopithecidae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies; Not specified,VIRION,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
Chikungunya fever,Alphavirus chikungunya,Alphavirus chikungunya,37124,Mastomys natalensis,10112,mammalia,rodentia,muridae,TRUE,FALSE,both,in_gibb_etal=TRUE; in_empres_i=FALSE; deferred_broad_vesiculovirus=FALSE,Alphavirus chikungunya,Chikungunya fever,Antibodies,VIRION,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,host_present_in_system,host appears in canonical WHO disease-pathogen-host backbone; role-specific reservoir/amplifier/incidental/dead-end evidence not assessed,low,TRUE,medium_ecology_triage
