role_modelling_feature_id,disease_name,species_role,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_direct_detection_supported,host_role_assignment,host_role_confidence,host_role_assignment_status,host_role_needs_manual_review,modelling_role_proxy,modelling_role_proxy_basis,modelling_role_proxy_confidence,modelling_role_proxy_rule_id,modelling_role_proxy_needs_review,host_role_bucket,host_role_evidence_basis,host_role_weight,role_proxy_applied,group_proxy_applied,profile_group_proxy,feature_rule_version,taxonomy_ok,host_detection_tier,profile_broad,profile_supported,profile_strong,profile_strict,biological_evidence_tier,tier_rule_id,host_evidence_missingness_reason
influenza h7n9 avian influenza|ichthyaetus ichthyaetus|126702,Influenza (H7N9 avian influenza),host,Ichthyaetus ichthyaetus,126702,,,,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_group_proxy,avian_influenza_group_rule_taxonomy_missing_or_other_host,low,avian_influenza_group_proxy_v0_1,TRUE,host_presence_only,disease_group_proxy,0.1,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|ichthyaetus melanocephalus|1288290,Influenza (H7N9 avian influenza),host,Ichthyaetus melanocephalus,1288290,,,,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_group_proxy,avian_influenza_group_rule_taxonomy_missing_or_other_host,low,avian_influenza_group_proxy_v0_1,TRUE,host_presence_only,disease_group_proxy,0.1,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|icteria virens|135437,Influenza (H7N9 avian influenza),host,Icteria virens,135437,aves,passeriformes,icteridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,avian_host_presence_group_proxy,avian_influenza_group_rule_avian_host_presence,low,avian_influenza_group_proxy_v0_1,TRUE,host_presence_only,disease_group_proxy,0.1,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|ixobrychus eurhythmus|670346,Influenza (H7N9 avian influenza),host,Ixobrychus eurhythmus,670346,aves,pelecaniformes,ardeidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,avian_host_presence_group_proxy,avian_influenza_group_rule_avian_host_presence,low,avian_influenza_group_proxy_v0_1,TRUE,host_presence_only,disease_group_proxy,0.1,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|junco hyemalis|40217,Influenza (H7N9 avian influenza),host,Junco hyemalis,40217,aves,passeriformes,passerellidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,avian_host_presence_group_proxy,avian_influenza_group_rule_avian_host_presence,low,avian_influenza_group_proxy_v0_1,TRUE,host_presence_only,disease_group_proxy,0.1,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|lagenorhynchus acutus|3371109,Influenza (H7N9 avian influenza),host,Lagenorhynchus acutus,3371109,,,,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_group_proxy,avian_influenza_group_rule_taxonomy_missing_or_other_host,low,avian_influenza_group_proxy_v0_1,TRUE,host_presence_only,disease_group_proxy,0.1,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|lanius schach|276763,Influenza (H7N9 avian influenza),host,Lanius schach,276763,aves,passeriformes,laniidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,avian_host_presence_group_proxy,avian_influenza_group_rule_avian_host_presence,low,avian_influenza_group_proxy_v0_1,TRUE,host_presence_only,disease_group_proxy,0.1,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larosterna inca|297811,Influenza (H7N9 avian influenza),host,Larosterna inca,297811,aves,charadriiformes,laridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus argentatus|35669,Influenza (H7N9 avian influenza),host,Larus argentatus,35669,aves,charadriiformes,laridae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
influenza h7n9 avian influenza|larus armenicus|119635,Influenza (H7N9 avian influenza),host,Larus armenicus,119635,aves,charadriiformes,laridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,wild_aquatic_bird_reservoir_group_proxy,avian_influenza_group_rule_wild_aquatic_birds,medium,avian_influenza_group_proxy_v0_1,TRUE,reservoir_or_amplifying_host,disease_group_proxy,0.75,TRUE,TRUE,TRUE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
