role_modelling_feature_id,disease_name,species_role,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_direct_detection_supported,host_role_assignment,host_role_confidence,host_role_assignment_status,host_role_needs_manual_review,modelling_role_proxy,modelling_role_proxy_basis,modelling_role_proxy_confidence,modelling_role_proxy_rule_id,modelling_role_proxy_needs_review,host_role_bucket,host_role_evidence_basis,host_role_weight,role_proxy_applied,group_proxy_applied,profile_group_proxy,feature_rule_version,taxonomy_ok,host_detection_tier,profile_broad,profile_supported,profile_strong,profile_strict,biological_evidence_tier,tier_rule_id,host_evidence_missingness_reason
hemorrhagic fever with renal syndrome hantaan virus|rattus tanezumi|35732,Hemorrhagic fever with renal syndrome (Hantaan virus),host,Rattus tanezumi,35732,mammalia,rodentia,muridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hemorrhagic fever with renal syndrome hantaan virus|rhinolophus ferrumequinum|59479,Hemorrhagic fever with renal syndrome (Hantaan virus),host,Rhinolophus ferrumequinum,59479,mammalia,chiroptera,rhinolophidae,Isolation/Observation; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hemorrhagic fever with renal syndrome hantaan virus|tscherskia triton|329627,Hemorrhagic fever with renal syndrome (Hantaan virus),host,Tscherskia triton,329627,mammalia,rodentia,cricetidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hemorrhagic fever with renal syndrome hantaan virus|bandicota bengalensis|69079,Hemorrhagic fever with renal syndrome (Hantaan virus),host,bandicota bengalensis,69079,,,,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hemorrhagic fever with renal syndrome hantaan virus|crocidura lasiura|167043,Hemorrhagic fever with renal syndrome (Hantaan virus),host,crocidura lasiura,167043,,,,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hemorrhagic fever with renal syndrome hantaan virus|neotoma cinerea|105147,Hemorrhagic fever with renal syndrome (Hantaan virus),host,neotoma cinerea,105147,,,,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hemorrhagic fever with renal syndrome hantaan virus|neotoma mexicana|105149,Hemorrhagic fever with renal syndrome (Hantaan virus),host,neotoma mexicana,105149,,,,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hemorrhagic fever with renal syndrome hantaan virus|peromyscus difficilis|97207,Hemorrhagic fever with renal syndrome (Hantaan virus),host,peromyscus difficilis,97207,,,,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hemorrhagic fever with renal syndrome hantaan virus|rattus exulans|34854,Hemorrhagic fever with renal syndrome (Hantaan virus),host,rattus exulans,34854,,,,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|alces alces|9852,Hepatitis E,host,Alces alces,9852,mammalia,artiodactyla,cervidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|balearica pavonina|30414,Hepatitis E,host,Balearica pavonina,30414,aves,gruiformes,gruidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|bandicota indica|456472,Hepatitis E,host,Bandicota indica,456472,mammalia,rodentia,muridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|bos grunniens|30521,Hepatitis E,host,Bos grunniens,30521,,,,Isolation/Observation,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,isolation_or_observation,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|bos taurus|9913,Hepatitis E,host,Bos taurus,9913,mammalia,artiodactyla,bovidae,Antibodies; Not specified; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|camelus bactrianus|9837,Hepatitis E,host,Camelus bactrianus,9837,,,,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|camelus dromedarius|9838,Hepatitis E,host,Camelus dromedarius,9838,mammalia,artiodactyla,camelidae,Isolation/Observation; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|canis lupus|9612,Hepatitis E,host,Canis lupus,9612,mammalia,carnivora,canidae,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|capra hircus|9925,Hepatitis E,host,Capra hircus,9925,mammalia,artiodactyla,bovidae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|capreolus capreolus|9858,Hepatitis E,host,Capreolus capreolus,9858,mammalia,artiodactyla,cervidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|cervus elaphus|9860,Hepatitis E,host,Cervus elaphus,9860,mammalia,artiodactyla,cervidae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|cervus nippon|223998,Hepatitis E,host,Cervus nippon,223998,mammalia,artiodactyla,cervidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|cervus nippon|92867,Hepatitis E,host,Cervus nippon,92867,mammalia,artiodactyla,cervidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|cervus nippon|9863,Hepatitis E,host,Cervus nippon,9863,mammalia,artiodactyla,cervidae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|egretta garzetta|188379,Hepatitis E,host,Egretta garzetta,188379,aves,pelecaniformes,ardeidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|equus caballus|9796,Hepatitis E,host,Equus caballus,9796,mammalia,perissodactyla,equidae,Not specified; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|equus przewalskii|9798,Hepatitis E,host,Equus przewalskii,9798,,,,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|felis catus|9685,Hepatitis E,host,Felis catus,9685,mammalia,carnivora,felidae,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|gallus gallus|9031,Hepatitis E,host,Gallus gallus,9031,aves,galliformes,phasianidae,Not specified; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|homo sapiens|9606,Hepatitis E,host,Homo sapiens,9606,,,,Antibodies; Isolation/Observation; Not specified; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|hydrochoerus hydrochaeris|10149,Hepatitis E,host,Hydrochoerus hydrochaeris,10149,mammalia,rodentia,caviidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|hystrix cristata|10137,Hepatitis E,host,Hystrix cristata,10137,mammalia,rodentia,hystricidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|lama glama|9844,Hepatitis E,host,Lama glama,9844,,,,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|lophura nycthemera|9046,Hepatitis E,host,Lophura nycthemera,9046,aves,galliformes,phasianidae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|lynx lynx|13125,Hepatitis E,host,Lynx lynx,13125,mammalia,carnivora,felidae,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|macaca fascicularis|9541,Hepatitis E,host,Macaca fascicularis,9541,mammalia,primates,cercopithecidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|macaca fuscata|9542,Hepatitis E,host,Macaca fuscata,9542,mammalia,primates,cercopithecidae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|macaca mulatta|9544,Hepatitis E,host,Macaca mulatta,9544,mammalia,primates,cercopithecidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|mus musculus|10090,Hepatitis E,host,Mus musculus,10090,mammalia,rodentia,muridae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|mus spretus|10096,Hepatitis E,host,Mus spretus,10096,mammalia,rodentia,muridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|mustela lutreola|9666,Hepatitis E,host,Mustela lutreola,9666,mammalia,carnivora,mustelidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|neofelis nebulosa|61452,Hepatitis E,host,Neofelis nebulosa,61452,mammalia,carnivora,felidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|neogale vison|452646,Hepatitis E,host,Neogale vison,452646,mammalia,carnivora,mustelidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|niviventer niviventer|83757,Hepatitis E,host,Niviventer niviventer,83757,mammalia,rodentia,muridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|nyctereutes procyonoides|34880,Hepatitis E,host,Nyctereutes procyonoides,34880,mammalia,carnivora,canidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|oryctolagus cuniculus|9986,Hepatitis E,host,Oryctolagus cuniculus,9986,mammalia,lagomorpha,leporidae,Not specified; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|ovis aries|9940,Hepatitis E,host,Ovis aries,9940,mammalia,artiodactyla,bovidae,Antibodies; Not specified; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|paguma larvata|9675,Hepatitis E,host,Paguma larvata,9675,mammalia,carnivora,viverridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|pan troglodytes|9598,Hepatitis E,host,Pan troglodytes,9598,mammalia,primates,hominidae,Isolation/Observation,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,isolation_or_observation,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|panthera tigris|9694,Hepatitis E,host,Panthera tigris,9694,mammalia,carnivora,felidae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|peromyscus boylii|56316,Hepatitis E,host,Peromyscus boylii,56316,mammalia,rodentia,cricetidae,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|peromyscus eremicus|42410,Hepatitis E,host,Peromyscus eremicus,42410,mammalia,rodentia,cricetidae,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|peromyscus leucopus|10041,Hepatitis E,host,Peromyscus leucopus,10041,mammalia,rodentia,cricetidae,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|peromyscus maniculatus|10042,Hepatitis E,host,Peromyscus maniculatus,10042,mammalia,rodentia,cricetidae,Antibodies,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,serology,TRUE,FALSE,FALSE,FALSE,broad,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|rattus losea|69075,Hepatitis E,host,Rattus losea,69075,mammalia,rodentia,muridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|rattus norvegicus|10116,Hepatitis E,host,Rattus norvegicus,10116,mammalia,rodentia,muridae,Antibodies; Not specified; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|rattus rattus|10117,Hepatitis E,host,Rattus rattus,10117,mammalia,rodentia,muridae,Antibodies; PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
hepatitis e|rattus rattus|796024,Hepatitis E,host,Rattus rattus,796024,mammalia,rodentia,muridae,PCR/Sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,FALSE,host_proxy_rules_v0_1,TRUE,pcr_or_sequencing,TRUE,TRUE,FALSE,FALSE,supported,host_v0_1,host_role_presence_only; host_role_review_needed
