Pathogen,PathogenTaxID,PHEIC risk,Disease_name,HostTaxID,Host,PathogenClass,PathogenOrder,PathogenFamily,PathogenGenus,HostPhylum,HostClass,HostFamily,HostOrder,DetectionMethod,high_quality_detection,downstream_default_include,downstream_review_reason,MainSource,PathogenType,in_gibb_etal,in_empres_i,modelling_scope_status,modelling_scope_reason,Host_raw,host_name_cleaning_method,source_database,source_assoc_id,source_host_flag_id,host_taxonomy_ready,host_taxonomy_flag,is_human_host,is_model_or_lab_host,is_domestic_or_livestock_hint,host_network_source,source_table,possible_cross_source_duplicate_flag,analysis_unit_id,master_row,disease_master_name,resolved_pathogen_name,host_query_bucket,match_review_flag,shared_species_proxy_flag,match_review_notes,host_count_for_analysis_unit,host_count_flag
klebsiella pneumoniae,573,High,Klebsiella infection (pneumonia sepsis),9704,Zalophus californianus,gammaproteobacteria,enterobacterales,enterobacteriaceae,klebsiella,chordata,mammalia,otariidae,carnivora,PCR/Sequencing,TRUE,TRUE,,CLOVER,bacteria,,,include,Included as a legacy WHO host-network row with no explicit master-plus disease scope match.,Zalophus californianus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,54769,Acanthis flammea,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,fringillidae,passeriformes,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Acanthis flammea,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,8605,Acanthophis antarcticus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,elapidae,squamata,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Acanthophis antarcticus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,182253,Alouatta pigra,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,atelidae,primates,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Alouatta pigra,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,12930,Amazona aestiva,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,psittacidae,psittaciformes,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Amazona aestiva,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,116113,Amphibolurus muricatus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,agamidae,squamata,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Amphibolurus muricatus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,8843,Anser anser,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,aves,anatidae,anseriformes,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Anser anser,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,51888,Antaresia childreni,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,pythonidae,squamata,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Antaresia childreni,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,51891,Antaresia maculosa,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,reptilia,pythonidae,squamata,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Antaresia maculosa,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
salmonella enterica,28901,High,Non-typhoidal salmonellosis,9505,Aotus trivirgatus,gammaproteobacteria,enterobacterales,enterobacteriaceae,salmonella,chordata,mammalia,aotidae,primates,Isolation/Observation,TRUE,TRUE,,CLOVER,bacteria,,,review_before_modelling,Analysis unit is still marked review; do not use as default modelling scope until resolved.,Aotus trivirgatus,existing_who_network_host,CLOVER,,,TRUE,species_like,FALSE,FALSE,FALSE,who,combined_who_network.csv,FALSE,,,,,,,,,,
