raw_host_label,source_field,scientific_name_clean,host_binomial,host_infraspecific_epithet,host_authorship_year_suffix,host_canonicalization_flag,review_bucket,package_check_target,suggested_who_host,fuzzy_score,reason_flag,row_count
Cynictis penicillata,verbatim_host_name,,Cynictis penicillata,,,,package_candidate_check,TRUE,,0.6818181818181819,verbatim_binomial_candidate,80
Sylvilagus bachmani,verbatim_host_name,,Sylvilagus bachmani,,,,package_candidate_check,TRUE,,0.65,verbatim_binomial_candidate,80
Canis spp.,host_scientific_name,Canis spp.,,,,non_actionable,drop_from_species_level,FALSE,,0.6363636363636364,drop_from_species_level,78
Prairie dog,verbatim_host_name,,Prairie dog,,,,package_candidate_check,TRUE,,0.4,verbatim_binomial_candidate,78
Multiple,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,76
Tatera sp.,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,75
Lepus sp.,host_scientific_name,Lepus sp.,,,,non_actionable,drop_from_species_level,FALSE,,0.5,drop_from_species_level,74
Citellus leucurus,verbatim_host_name,,Citellus leucurus,,,,package_candidate_check,TRUE,,0.7058823529411764,verbatim_binomial_candidate,74
Gopherus polyphemus,host_scientific_name,Gopherus polyphemus,Gopherus polyphemus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5263157894736843,needs_manual_synonym_map,72
Python bivitatus,host_scientific_name,Python bivitatus,Python bivitatus,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,72
Burmese python,verbatim_host_name,,Burmese python,,,,package_candidate_check,TRUE,,0.4285714285714286,verbatim_binomial_candidate,72
Ground Hog,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,72
Tragelaphus scriptus_Pallas 1766,host_scientific_name,Tragelaphus scriptus Pallas 1766,Tragelaphus scriptus,,Pallas 1766,authorship_or_suffix,manual_crosswalk_candidate,TRUE,,0.6666666666666667,needs_binomialization,70
Opossum,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,69
Ochrotomys nuttalli,host_scientific_name,Ochrotomys nuttalli,Ochrotomys nuttalli,,,already_binomial,manual_crosswalk_candidate,TRUE,,0.5,needs_manual_synonym_map,68
Citellus columbianus columbianus,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,68
camels,verbatim_host_name,,,,,,drop_from_species_level,FALSE,,,drop_from_species_level,68
