disease,hosts,second,vectors,total,level,add geog,correct_region,combine,comment,good?,countries,no.countries,group,group2,disease,all_host,host_type,secondary,secondary_type,all_vectors,vector_type,Type,host_type,human_to_human
plasmodium falciparum,1,NA,1,2,0,,,160,,1,"AG,DZ,AO,AS,BH,BB,BM,BS,BD,BZ,BO,MM,BJ,SB,BR,BN,KH,LK,CG,CD,BI,BT,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,DJ,DM,DO,EC,EG,GQ,ER,SV,ET,GF,FJ,FM,PF,GM,GA,GH,GD,GU,GT,GN,GY,HT,HN,IN,IR,IL,CI,IQ,JM,JO,KE,KI,KW,LA,LR,LY,MG,MQ,MS,ML,MA,MU,MR,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,HK,MP,MO,PS,YT,CC,IO,CX,UM,VU,NG,NP,NR,SR,NI,PY,PE,PK,PA,PG,GW,QA,RE,PH,PR,RW,SA,KN,SC,BW,SN,SL,SG,SO,LC,SD,TT,TH,TK,TO,TG,ST,TV,TZ,UG,BF,VC,VE,VG,VN,VI,NA,WF,WS,YE,ZM,ZW,ID,GP,AN,AE,TL,PW,MH,SH,TC,EH,MF,BL,TW",467,parasite,plasmodium,Malaria,human,human,NA,NA,anopheles,NA,HUMAN->VECTOR->HUMAN->HUMAN,HUMAN->VECTOR,yes
plasmodium knowlesi,3,NA,1,4,3,,,161,,1,"MM,TH,LA,KH,VN,MY,PH,BN",23,parasite,plasmodium,Malaria,"macaca,presbytis femoralis",mammalia,NA,NA,"anopheles hackeri,anopheles latens,anopheles cracens",NA,HOST->VECTOR->HUMAN->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
plasmodium ovale,1,NA,1,2,0,,,162,,0,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SD,TD,SO,ET,KE,UG,TZ,BI,RW,MM,TH,LA,KH,VN,MY,PH,BN,IN,LK",119,parasite,plasmodium,Malaria,human,human,NA,NA,anopheles,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
plasmodium vivax,1,NA,1,2,0,,,163,,1,"AG,DZ,AO,AS,BH,BB,BM,BS,BD,BZ,BO,MM,BJ,SB,BR,BN,KH,LK,CG,CD,BI,BT,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,DJ,DM,DO,EC,EG,GQ,ER,SV,ET,GF,FJ,FM,PF,GM,GA,GH,GD,GU,GT,GN,GY,HT,HN,IN,IR,IL,CI,IQ,JM,JO,KE,KI,KW,LA,LR,LY,MG,MQ,MS,ML,MA,MU,MR,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,HK,MP,MO,PS,YT,CC,IO,CX,UM,VU,NG,NP,NR,SR,NI,PY,PE,PK,PA,PG,GW,QA,RE,PH,PR,RW,SA,KN,SC,BW,SN,SL,SG,SO,LC,SD,TT,TH,TK,TO,TG,ST,TV,TZ,UG,BF,VC,VE,VG,VN,VI,NA,WF,WS,YE,ZM,ZW,ID,GP,AN,AE,TL,PW,MH,SH,TC,EH,MF,BL,TW",467,parasite,plasmodium,Malaria,human,human,NA,NA,anopheles,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
powassan3,1,NA,1,2,1,,"us, ca",164,combine all powassan,1,"US,CA",5,flavivirus,flavivirus,Tick-borne Encephalitis,peromyscus leucopus,mammalia,NA,NA,ixodes scapularis,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
powassan2,5,NA,1,6,1,,"us, ca",164,,1,"US,CA",5,flavivirus,flavivirus,Tick-borne Encephalitis,"tamias,sciurus,tamiasciurus",mammalia,NA,NA,ixodes marxi,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
powassan1,2,NA,1,3,1,,"us, ca",164,,1,"US,CA",5,flavivirus,flavivirus,Tick-borne Encephalitis,marmota monax,mammalia,NA,NA,ixodes cookei,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
puumala,1,NA,NA,1,0,,,168,,0,"ES,IT,DE,BE,NL,DK,NO,SE,FI,PL,LT,LV,EE,KZ,UA,CZ,SI,SK,HR,CH,AT,RO,HU,BA,RS,BG,GR,TR,MK",86,hantavirus,hantavirus,Nephropathia epidemica,myodes glareolus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rabies,16,NA,NA,16,0,,,169,,0,"AG,DZ,AZ,AL,AM,AO,AS,AR,AU,BH,BB,BM,BS,BD,BZ,BA,BO,MM,BJ,SB,BR,BG,BN,CA,KH,LK,CG,CD,BI,CN,AF,BT,CL,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,CY,DK,DJ,DM,DO,EC,EG,IE,GQ,EE,ER,SV,ET,AT,CZ,GF,FI,FJ,FK,FM,PF,FR,GM,GA,GE,GH,GD,GL,DE,GU,GR,GT,GN,GY,HT,HN,HR,HU,IS,IN,IR,IL,IT,CI,IQ,JP,JM,JO,KE,KG,KP,KI,KR,KW,KZ,LA,LB,LV,BY,LT,LR,SK,LI,LY,MG,MQ,MN,MS,MK,ML,MA,MU,MR,MT,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,BE,HK,MP,FO,AD,GI,IM,LU,MO,MC,PS,ME,YT,AX,NF,CC,BV,TF,HM,IO,CX,UM,VU,NG,NL,NO,NP,NR,SR,NI,NZ,PY,PE,PK,PL,PA,PT,PG,GW,QA,RE,RO,MD,PH,PR,RU,RW,SA,KN,SC,ZA,LS,BW,SN,SI,SL,SG,SO,ES,LC,SD,SE,SY,CH,TT,TH,TJ,TK,TO,TG,ST,TN,TR,TV,TM,TZ,UG,GB,UA,US,BF,UY,UZ,VC,VE,VG,VN,VI,NA,WF,WS,SZ,YE,ZM,ZW,ID,GP,AN,AE,TL,PN,PW,MH,PM,SH,SM,TC,EH,RS,VA,MF,BL,GG,JE,GS,TW",731,lyssavirus,lyssavirus,rabies,"canis aureus,canis lupus,desmodus rotundus,eptesicus fuscus,lasiurus cinereus,martes martes,meles meles,mephitis mephitis,mustela putorius,myotis chiloensis,nyctereutes procyonoides,procyon lotor,saimiri sciureus,tadarida brasiliensis,vulpes lagopus,vulpes vulpes",mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
reston,1,NA,NA,1,2,,philipines,171,,1,PH,2,filovirus,filovirus,None reported,cynomolgus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia africae,5,NA,NA,5,2,,,172,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,CD,CG,GA,GQ,CM,CF,SD,TD",104,bacteria,rickettsia,African tick bite fever,"amblyomma hebraeum,amblyomma lepidum,amblyomma variegatum,rhipicephalus appendiculatus,rhipicephalus decoloratus",invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia aeschlimannii,5,NA,NA,5,2,,,172,,0,"ML,NE,DZ,MA,ES,PT,IT,GR,HR",26,bacteria,rickettsia,Rickettsiosis,"haemaphysalis punctata,hyalomma marginatum,ixodes,rhipicephalus appendiculatus",invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia helvetica,3,NA,NA,3,2,,,172,,1,"PT,FR,IT,SI,BG,SE",17,bacteria,rickettsia,None reported,"ixodes monospinosus,ixodes ovatus,ixodes persulcatus,ixodes ricinus",invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia massiliae,1,NA,NA,1,2,,,172,,0,"MA,DZ,ES,CH,IT,NE,CD,CG,CF",26,bacteria,rickettsia,Rickettsiosis,rhipicephalus,invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia conorii conorii,1,NA,NA,1,2,,,172,,1,"ZW,SO,CF,MA,DZ,TN,LY,EG,PT,ES,IT,HR,TR,GR,AL,BA,RS,BG,MK",56,bacteria,rickettsia,Mediterranean spotted fever,rhipicephalus sanguineus,invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia conorii indica,1,NA,NA,1,2,,,172,,0,"IN,PK",5,bacteria,rickettsia,Indian tick typhus,rhipicephalus sanguineus,invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia honei,2,NA,NA,2,2,,,174,,1,"NP,TH,AU",8,bacteria,rickettsia,Flinders Island spotted fever,bothriocroton hydrosauri,invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia australis,2,NA,NA,2,2,,,174,,1,AU,2,bacteria,rickettsia,Queensland tick typhus,"ixodes holocyclus,ixodes tasmani",invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia japonica,2,NA,NA,2,2,,,179,,1,JP,2,bacteria,rickettsia,Japanese spotted fever,"haemaphysalis flava,haemaphysalis hystericis",invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia rickettsii,5,NA,NA,5,2,,,181,combine together by region,1,"US,MX,PA,CR,CO,BR",17,bacteria,rickettsia,Rocky mountain spotted fever,"amblyomma americanum,amblyomma cajennense,dermacentor andersoni,dermacentor variabilis,rhipicephalus sanguineus",invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rickettsia parkeri,4,NA,NA,4,2,,,181,,1,"US,AR,UY,BR",8,bacteria,rickettsia,American tick bite fever,"amblyomma americanum,amblyomma maculatum,amblyomma nodosum,amblyomma triste",invert,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rift valley,3,NA,4,7,3,,,183,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SD,TD,SO,ET,KE,UG,TZ,BI,RW,ZA,NA,LS,BW,ZW,ZM,AO,MZ",113,phlebovirus,phlebovirus,Rift Valley Fever,"kobus ellipsiprymnus,syncerus caffer,cattle",mammalia,NA,NA,"ochlerotatus caballus,neomelaniconion circumluteolum,culex theileri,",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
rio mamore,1,NA,NA,1,2,,,184,,1,"BR,PE,BO,GF",5,hantavirus,hantavirus,None reported,oligoryzomys microtis,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rio mearim,1,NA,NA,1,1,,,185,,0,BR,2,hantavirus,hantavirus,None reported,holochilus sciureus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rio segundo,1,NA,NA,1,0,,,186,,1,"PA,US,CR",2,hantavirus,hantavirus,None reported,reithrodontomys mexicanus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
rocio,37,NA,3,40,2,,,187,very general,1,BR,2,flavivirus,flavivirus,Encephalitis,"ducks,chickens,accipiter,aegypius,agelaius,anas,aquila,athene,bonasa,branta,bubo,bubulcus,buteo,butorides,carpodacus,colaptes,corvus,cyanocitta,falco,garrulus,mimus,molothrus,passer,phalacrocorax,pica,parus,quiscalus,turdus,zenaida,turdus,anser,branta,cereopsis,coscoroba,cygnus,amazonetta,anas,lophonetta,nettapus,speculanas,bonasa,falcipennis,centrocercus,dendragapus,lagopus,tetrao",aves,NA,NA,"psorophora ferox,ochlerotatus scapularis",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
ross river,3,NA,4,7,2,,,188,,1,"AU,PG,NC,FJ,AS,CK",17,alphavirus ,alphavirus,Ross River virus disease,"macropus,dendrolagus,petrogale,thylogale",mammalia,NA,NA,"ochlerotatus camptorhynchus,culex annulirostris,ochlerotatus vigilax,stegomyia polynesiensis",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
saarema,1,NA,NA,1,3,,europe,189,,1,"DK,DE,LT,LV,CZ,SI,SK,HR,CH,AT,RO,HU,BA,RS,BG,GR,MK",50,hantavirus,hantavirus,Hemorrhagic Fever with Renal Syndrome,apodemus agrarius,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
sangassou,1,NA,NA,1,0,,,190,,0,GN,2,hantavirus,hantavirus,None reported,hylomyscus alleni,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
sars coronavirus,4,2,NA,6,3,,,191,,1,"CN,TW,HK,PH,VN",17,betacoronavirus,betacoronavirus,Severe Acute Respiratory Syndrome,"rhinolophus macrotis,rhinolophus pearsonii,rhinolophus pusillus,rhinolophus sinicus",mammalia,"paguma larvata,nyctereutes procyonoides",mammalia,NA,NA,HOST->HUMAN->HUMAN,HOST->HUMAN,yes
schistosoma guineensis,1,NA,2,3,2,,,192,,1,"GA,GQ,CM",8,parasite,schistosoma,Schistosomiasis,human,human,NA,NA,bulinus,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
schistosoma intercalatum,1,NA,1,2,2,,,192,combine with guinesis,1,"CD,GA,GQ,CM",11,parasite,schistosoma,Schistosomiasis,human,human,NA,NA,bulinus,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
schistosoma haematobium,1,NA,1,2,2,,,193,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,CD,CG,GA,GQ,CM,CF,SD,TD,MA,DZ,TN,LY,EG",104,parasite,schistosoma,Schistosomiasis,human,human,NA,NA,bulinus,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
schistosoma mansoni,1,NA,1,2,2,,,193,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,CD,CG,GA,GQ,CM,CF,SD,TD,MA,DZ,TN,LY,EG,MG,SA,BR,VE,PR,SR,",123,parasite,schistosoma,Schistosomiasis,human,human,NA,NA,biomphalaria glabrata,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
schistosoma mekongi,1,NA,NA,1,2,,,195,,1,"TH,LA,KH,CH",8,parasite,schistosoma,Schistosomiasis,human,human,NA,NA,neotricula aperta,NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
schistosoma japonicum,1,NA,2,3,2,,,195,,1,"CN,PH,ID",8,parasite,schistosoma,Schistosomiasis,human,human,NA,NA,"bubalus bubalis,oncomelania",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
schistosoma malayensis,2,NA,NA,2,2,,,196,,1,MY,2,parasite,schistosoma,Schistosomiasis,rattus muelleri,human,NA,NA,"robertsiella kaporenisis,robertsiella gismanni,robertsiella silvicola",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
seoul,1,NA,NA,1,0,,,199,,0,"AG,DZ,AZ,AL,AM,AO,AS,AR,AU,BH,BB,BM,BS,BD,BZ,BA,BO,MM,BJ,SB,BR,BG,BN,CA,KH,LK,CG,CD,BI,CN,AF,BT,CL,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,CY,DK,DJ,DM,DO,EC,EG,IE,GQ,EE,ER,SV,ET,AT,CZ,GF,FI,FJ,FK,FM,PF,FR,GM,GA,GE,GH,GD,GL,DE,GU,GR,GT,GN,GY,HT,HN,HR,HU,IS,IN,IR,IL,IT,CI,IQ,JP,JM,JO,KE,KG,KP,KI,KR,KW,KZ,LA,LB,LV,BY,LT,LR,SK,LI,LY,MG,MQ,MN,MS,MK,ML,MA,MU,MR,MT,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,BE,HK,MP,FO,AD,GI,IM,LU,MO,MC,PS,ME,YT,AX,NF,CC,BV,TF,HM,IO,CX,UM,VU,NG,NL,NO,NP,NR,SR,NI,NZ,PY,PE,PK,PL,PA,PT,PG,GW,QA,RE,RO,MD,PH,PR,RU,RW,SA,KN,SC,ZA,LS,BW,SN,SI,SL,SG,SO,ES,LC,SD,SE,SY,CH,TT,TH,TJ,TK,TO,TG,ST,TN,TR,TV,TM,TZ,UG,GB,UA,US,BF,UY,UZ,VC,VE,VG,VN,VI,NA,WF,WS,SZ,YE,ZM,ZW,ID,GP,AN,AE,TL,PN,PW,MH,PM,SH,SM,TC,EH,RS,VA,MF,BL,GG,JE,GS,TW",731,hantavirus,hantavirus,Hantaviral Disease,rattus losea,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
sin nombre,1,NA,NA,1,3,,,200,,1,"US,CA",5,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,peromyscus maniculatus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
sindbis,7,NA,1,8,3,,"europe, east russia",201,same as another - check,1,"SE,FI,RU,NO,DE,IT,GR,TR",11,alphavirus,alphavirus,Sindbis Fever,"turdus,anser,branta,cereopsis,coscoroba,cygnus,amazonetta,anas,lophonetta,nettapus,speculanas,bonasa,falcipennis,centrocercus,dendragapus,lagopus,tetrao",aves,NA,NA,ochlerotatus vigilax,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
snowshoe hare,2,NA,10,12,2,,,202,,1,"US,CA,RU",8,orthobunyavirus,orthobunyavirus,California Group Virus disease,"lepus americanus,urocitellus parryii",mammalia,NA,NA,"ochlerotatus canadensis,ochlerotatus fitchii,aedes cinereus,aedes communis,culiseta inornata,ochlerotatus stimulans,ochlerotatus excrucians,ochlerotatus punctor,ochlerotatus cataphylla,ochlerotatus hexodontus,ochlerotatus intrudens,culiseta impatiens,simulium malysceri ",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
spondweni,1,12,2,15,2,,,203,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SD,TD,SO,ET,KE,UG,TZ,BI,RW",89,flavivirus,flavivirus,Zika Fever,human,human,"pan,pongo,gorilla,papio,mandrillus,callicebus,cercopithecus,macaca,saguinus,trachypithecus,alouatta,mico,aotus,presbytis,procolobus,pithecia,sapajus,ateles,hylobates,nomascus,semnopithecus,callithrix,cercocebus,chlorocebus,lophocebus,chiropotes,colobus,papio,rhinopithecus,saimiri",mammalia,"stegomyia aegypti,stegomyia albopicta",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
tacaribe,1,NA,NA,1,NA,,,204,,1,NA,2,arenavirus,arenavirus,None reported,artibeus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
tahyna,1,NA,9,10,NA,,,205,,1,"GB,ES,MA,TR,FR,IT,DE,PL,RO,RS,RU,CN,TJ",38,orthobunyavirus,orthobunyavirus,California Group Virus disease,lepus,mammalia,NA,NA,"ochlerotatus caspius,aedimorphus vexans,ochlerotatus cantan,culiseta annulata,aedes cinereus,ochlerotatus sticticus,culex modestus,culiseta annulata,anopheles hyrcanus,aedes dianteus,aedes communis",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
tamiami,1,NA,NA,1,0,,,206,,0,US,2,arenavirus,arenavirus,None reported,sigmodon hispidus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
tanganya,1,NA,NA,1,2,,,207,,1,GN,2,hantavirus,hantavirus,None reported,crocidura theresae,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
tensaw,4,NA,5,9,2,,,208,,1,US,2,orthobunyavirus,orthobunyavirus,None reported,"sylvilagus palustris,urocyon cinereoargenteus",mammalia,NA,NA,"anopheles crucians,psorophora ciliata,psorophora confinnis,anopheles quadrimaculatus,deinocerites atlanticus,ochlerotatus mitchellae,culex nigripalpus,coquillettidia perturbans",mosquito,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
thailand,1,NA,NA,1,3,,"thailand,laos,cambodia,malaysia, vietnam",209,,1,TH,2,hantavirus,hantavirus,None reported,bandicota indica,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
thottapalayam,2,NA,NA,2,1,,,210,,0,"IN,CN",5,hantavirus,hantavirus,None reported,suncus murinus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
tick borne encephalitis,1,NA,3,4,1,,,211,combine?,1,"SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV",56,flavivirus,flavivirus,Tick-borne Encephalitis,apodemus,mammalia,NA,NA,"ixodes ricinus,ixodes persulcatus",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
topografov,1,NA,NA,1,2,,,213,,1,RU,2,hantavirus,hantavirus,None reported,lemmus sibiricus,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
trypanosoma brucei gambinese,1,NA,1,2,3,,,214,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SD,TD",68,parasite,trypanosoma,Sleeping sickness,human,human,NA,NA,"glossina fuscipes,glossina palpalis,glossina tachinoides",NA,HUMAN->VECTOR->HUMAN->HUMAN,HUMAN->VECTOR,yes
trypanosoma brucei rhodesiense,1,NA,1,2,3,,,215,,1,"KE,UG,TZ,MZ,MW,ZM",17,parasite,trypanosoma,Sleeping sickness,human,human,NA,NA,"glossina morsitans,glossina fuscipes,glossina palpalis",NA,HUMAN->VECTOR->HUMAN->HUMAN,HUMAN->VECTOR,yes
trypanosoma cruzi,1,NA,3,4,0,,"central america, south america",216,,1,"MX,BZ,GT,HN,SV,NI,CR,PA,CO,EC,PE,BO,AR,VE,GF,GY,SR,PY",53,parasite,trypanosoma,Chagas disease,human,human,NA,NA,"panstrongylus,rhodnius,triatoma",triatomid,HUMAN->VECTOR->HUMAN->HUMAN,HUMAN->VECTOR,yes
tula,1,NA,NA,1,NA,,,217,,1,"NO,SE,FI,PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,RU",104,hantavirus,hantavirus,Hantaviral Disease,microtus arvalis,mammalia,NA,NA,NA,NA,HOST->HUMAN,HOST->HUMAN,no
una,12,NA,1,13,3,,"central america, south america",218,,1,"CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY",38,alphavirus,alphavirus,None reported,"human,pan,pongo,gorilla,papio,mandrillus,callicebus,cercopithecus,macaca,saguinus,trachypithecus,alouatta,mico,aotus,presbytis,procolobus,pithecia,sapajus,ateles,hylobates,nomascus,semnopithecus,callithrix,cercocebus,chlorocebus,lophocebus,chiropotes,colobus,papio,rhinopithecus,saimiri",mammalia,humans,human,psorophora ferox,NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
usutu,12,NA,1,13,NA,,,219,,1,"SN,CF,NG,UG,BF,CI,MA,IT,AT",26,flavivirus,flavivirus,Usutu virus fever,"bycanistes sharpei,andropadus virens,turdus libonyanus,turdus merula,sylvia communis,sylvia curruca,sylvia borin (garden warbler),falco tinnunculus,circus aeruginosus,delichon urbica,acrocephalus scirpaceus,ficedula hypoleuca,hirundo rustica",aves,NA,NA,culex pipiens,NA,HOST->VECTOR->HUMAN->HUMAN,HOST->VECTOR->HUMAN,yes
venezuelan equine encephalitis,7,NA,21,28,NA,,,220,,1,"MX,BZ,GT,HN,SV,NI,CR,PA,CO,VE,EC,PE,BO",41,alphavirus,alphavirus,Venezuelan Equine Encephalitis,"heteromys,oligoryzomys,oryzomys,sigmodon,zygodontomys,peromyscus",mammalia,NA,NA,"stegomyia aegypti,ochlerotatus angustivittatus,ochlerotatus sollicitan,ochlerotatus scapularis,ochlerotatus serratus,culex tritaeniorhynchus,ochlerotatus thelcter,anopheles aquasalis,anopheles crucians,anopheles neomaculipalpus,anopheles pseudopunctipennis,anopheles punctimacula,culex ocossa,culex corniger,culex nigripalpus,culex quinquefasciatus,culex tarsalis,deinocerites pseudes,mansonia dyari,mansonia titillans,psorophora ciliata,psorophora cilipes,psorophora confinnis,psorophora cyanescens",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
west nile,28,NA,9,37,2,,,222,,1,"CA,UA,AR,MX,CU,HT,FR,IT,MA,DZ,TN,CD,DJ,TR,RO,RU,HU,AU,PG",56,flavivirus,flavivirus,West Nile Fever,"ducks,accipiter,aegypius,agelaius,anas,aquila,athene,bonasa,branta,bubo,bubulcus,buteo,butorides,carpodacus,colaptes,corvus,cyanocitta,falco,garrulus,mimus,molothrus,passer,phalacrocorax,pica,parus,quiscalus,turdus,zenaida",aves,NA,NA,"ochlerotatus cantan,anopheles maculipennis,anopheles coustani,anopheles subpictus,culex univittatus,culex antennatus,culex modestus,culex vishnui,culex quinquefasciatus,culex weschei,culex modestus,argas hermanni,hyalomma marginatum",NA,HOST->VECTOR->HUMAN->HUMAN,HOST->VECTOR->HUMAN,yes
western equine encephalitis,38,NA,4,42,1,,,223,,1,"CA,US,AR",8,alphavirus,alphavirus,Western Equine Encephalitis,"ducks,chickens,accipiter,aegypius,agelaius,anas,aquila,athene,bonasa,branta,bubo,bubulcus,buteo,butorides,carpodacus,colaptes,corvus,cyanocitta,falco,garrulus,mimus,molothrus,passer,phalacrocorax,pica,parus,quiscalus,turdus,zenaida,turdus,anser,branta,cereopsis,coscoroba,cygnus,amazonetta,anas,lophonetta,nettapus,speculanas,bonasa,falcipennis,centrocercus,dendragapus,lagopus,tetrao",aves,NA,NA,"ochlerotatus dorsalis,ochlerotatus melanimon,culiseta melanura,culex tarsalis",NA,HOST->VECTOR->HUMAN,HOST->VECTOR->HUMAN,no
whitewater arroyo,4,NA,NA,4,0,,,224,,0,US,2,arenavirus,arenavirus,Tacaribe Complex Virus Disease,"neotoma albigula,neotoma cinerea,neotoma mexicana,neotoma micropus",mammalia,NA,NA,NA,NA,HOST->HUMAN->HUMAN,HOST->HUMAN,yes
wuchereria bancrofti,1,NA,21,22,2,,,225,,1,"PR,DO,BR,SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,ZA,NA,LS,BW,ZW,ZM,AO,MZ,MG,MM,TH,LA,KH,VN,MY,PH,BN,IN,BD,PK,CN",122,parasite,wuchereria,Filariasis,human,human,NA,NA,"culex annulirostris,culex bitaeniorhynchus,culex quinquefasciatus,culex pipiens,anopheles arabinensis,anopheles bancroftii,anopheles farauti,anopheles funestus,anopheles gambiae,anopheles koliensis,anopheles melas,anopheles merus,anopheles punctulatus,anopheles wellcomei,stegomyia aegypti,aedes aquasalis,aedes bellator,aedes cooki,aedes darlingi,aedes kochi,stegomyia polynesiensis,aedes pseudoscutellaris,aedes rotumae,ochlerotatus scapularis,ochlerotatus vigilax,mansonia pseudotitillans,mansonia uniformis,coquillettidia juxtamansonia",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
yellow,1,NA,8,9,3,,,226,,1,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SD,TD,SO,ET,KE,UG,TZ,BI,RW,VE,EC,PE,BO,PY,BR,SR,GY,GF,TT",119,flavivirus,flavivirus,Yellow Fever,human,human,NA,NA,"stegomyia aegypti,stegomyia aegypti,stegomyia africana,culex theobaldi,stegomyia opok,haemagogus leucocelaenus,sabethes chloropterus,amblyomma variegatum",NA,HUMAN->VECTOR->HUMAN,HUMAN->VECTOR,no
