species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
echimys chrysurus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
echimys saturnus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
echimys vieirai,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
echinops telfairi,0,1,1,1,1,1,0.65,0.65,0.65,0.65,0.65,0,0,0,0,0,0
echinosorex gymnura,0.5,1,1,1,1,1,0.5,0,0,0,0.5,1,1,1,0.5,0,1
echiothrix centrosa,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
echiothrix leucura,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
echymipera clara,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.125,0,0,0.125,0,0,0
echymipera davidi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.375,0,0.75
echymipera echinista,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0.375,0,0,0,0,0
echymipera kalubu,0.375,0.75,0.75,0.75,0.75,0.75,0.375,0.375,0,0,0.375,0.75,0.75,0.375,0.375,0,0
echymipera rufescens,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0.375,0.75,0.375,0,0,0,0,0
eclectus roratus,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0,0
ectophylla alba,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
ectopistes migratorius,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
egretta ardesiaca,0.65,0,0,0,0,0,0,0.325,0,0,0.65,0.65,0,0,0,0,0
egretta caerulea,0.5,0,0,0,0,0,0,0.5,0,0,0.65,1,0,0,0,0,0
egretta eulophotes,1,0,0,0,0,0,0,0,0,0,0,1,0.65,0,0.325,0,0.65
egretta garzetta,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.65,0,0.65
egretta gularis,1,0,0,0,0,0,0,0,0,0,0.65,0.65,0,0,0,0,1
egretta novaehollandiae,0.65,0,0,0,0,0,0,0.325,0,0,0.65,0.65,0,0.65,0.325,0,0.65
egretta picata,0.65,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0.65
egretta rufescens,0.65,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,1
egretta sacra,0.65,0,0,0,0,0,0,0,0,0,0.325,0.65,0,0,0,0,1
egretta thula,0.65,0,0,0,0,0,0,0.5,0,0,0.65,1,0,0,0,0,0
egretta tricolor,0.5,0,0,0,0,0,0,0.325,0,0,0.325,1,0,0,0,0,0.65
egretta vinaceigula,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
eidolon dupreanum,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0.25,0.125,0,0.25
eidolon helvum,0.375,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0.75,0.75,0.75,0.375,0,0
eira barbara,0,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0,0,0,0
elaenia albiceps,0,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0,0,0.65,0.325,0.325,0.65
elaenia chiriquensis,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0.65,0.65,0.65,0.325,0,0.65
elaenia cristata,0.65,0,0,0,0,0,0.65,0.65,1,1,0.5,0.65,0,0,0,0,0
elaenia dayi,0,1,1,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0.5,0.5
elaenia fallax,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0.65,0.325,0,0.65
elaenia flavogaster,0.65,0,0,0,0,0,0.65,0.65,0.65,0.65,0.325,0.65,0,0.65,0.325,0,0.65
elaenia frantzii,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0.65,0.325,0,0.65
elaenia gigas,0.65,1,1,1,1,1,0.65,0.65,0.325,0,0,0.65,0,0.65,0.325,0,0.65
elaenia martinica,0.325,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0.65,0.65,0.65,0.325,0,0.65
elaenia mesoleuca,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
elaenia obscura,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0.65,0.325,0,0.65
elaenia pallatangae,0,1,1,1,1,1,1,1,0.5,0,0,0,0.65,0.65,0.325,0.5,0.65
elaenia parvirostris,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0.325,0.65,0,0.65,0.325,0,0.65
elaenia pelzelni,1,1,1,1,1,1,0.65,0.65,0.325,0,0,1,0,0.65,0.325,0,0.65
elaenia ridleyana,0,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0,0,0.325,0,0,0
elaenia ruficeps,0,1,1,1,1,1,0.65,0.65,1,1,0.5,0,0,0,0,0,0
elaenia spectabilis,0.65,1,1,1,1,1,0.65,0.65,0.325,0,0,0.65,0,0.65,0.325,0,0.65
elaenia strepera,0.65,1,1,1,1,1,0.65,0.65,0.325,0,0,0.65,0,0.65,0.325,0,0.65
elanoides forficatus,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
elanus axillaris,0.65,0,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0,0.325,0,0
elanus caeruleus,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0,0.65,0.65,0.325,0.325,0.65
elanus leucurus,0.325,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0.65,1,0.65,0.5,0.325,0.65
elanus scriptus,1,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0
elaphodus cephalophus,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
elaphurus davidianus,0.5,0,0,0,0,0,0,0.5,0,0,1,1,0,0,0,0,0
electron carinatum,0.65,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
electron platyrhynchum,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
eleoscytalopus indigoticus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eleoscytalopus psychopompus,0,1,1,1,1,0,0,0,0,0,0,0.5,0,0,0,0,0
eleothreptus anomalus,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0.325,0.65,0.65,0.65,0.65,0,0,0,0,0
eleothreptus candicans,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0
elephantulus brachyrhynchus,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
elephantulus edwardii,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,1
elephantulus fuscipes,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0
elephantulus fuscus,0,0,0,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0
elephantulus intufi,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
elephantulus myurus,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
elephantulus pilicaudus,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,1
elephantulus revoilii,0,0,0,0,0,0,1,1,1,1,0.5,0,0,0,0,0,0
elephantulus rozeti,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,1
elephantulus rufescens,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
elephantulus rupestris,0,0,0,0,0,0,1,1,1,1,0.5,0,0,0,0,0,1
elephas maximus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eligmodontia moreni,0,0,0,0,0,0,0.25,0.25,0,0,0.375,0,0,0,0,0,0.75
eligmodontia morgani,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0,0,0,0,0
eligmodontia puerulus,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0,0,0,0.375,0.375
eligmodontia typus,0,0,0,0,0,0,0.75,0.75,0.375,0.375,0.75,0,0,0,0,0,0.75
eliomys melanurus,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0.75
eliomys munbyanus,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0,0.375,0,0,0,0,0,0.75
eliomys quercinus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.125,0,0.25,0.125,0.125,0,0.75
eliurus antsingy,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eliurus danieli,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0,0,0
eliurus ellermani,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eliurus grandidieri,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eliurus majori,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eliurus minor,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eliurus myoxinus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eliurus penicillatus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eliurus petteri,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eliurus tanala,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eliurus webbi,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
ellobius fuscocapillus,0,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0.125,0,0
ellobius lutescens,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0,0,0,0,0
ellobius talpinus,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
ellobius tancrei,0,0,0,0,0,0,0.75,0.75,0.375,0,0.75,0,0,0,0,0.75,0.75
elminia albicauda,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0,0.65,0.325,0,0.65
elminia albiventris,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
elminia albonotata,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.325
elminia longicauda,0.325,1,1,1,1,1,0.65,0.65,0.65,0.65,0.325,0.65,0.65,0.65,0.325,0,0.65
elminia nigromitrata,0.65,1,1,1,1,1,0.5,0.325,0,0,0.325,0.65,0,0,0,0,0
elseyornis melanops,0.65,0,0,0,0,0,0,0.325,0,0,0.325,0.65,0.65,0,0.325,0,0
elvira chionura,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0.65,0.325,0.325,0,0
elvira cupreiceps,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
emballonura alecto,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0.75,0.75,0.375,0,0.75
emballonura beccarii,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
emballonura dianae,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
emballonura furax,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
emballonura monticola,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0.75
emballonura raffrayana,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
emballonura semicaudata,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0.25
emballonura serii,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
emberiza affinis,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
emberiza aureola,0.65,0,0,0,0,0,0.325,0.65,0,0,0.65,0.65,1,0,0.5,0,0
emberiza bruniceps,0,0,0,0,0,0,0.65,0.65,0,0,0.65,0,0.65,0,0.325,0,0
emberiza buchanani,0,0,0,0,0,0,0,0,0,0,0.325,0,0.65,0,0.325,0,0.65
emberiza cabanisi,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0,0,0,0
emberiza caesia,0,0,0,0,0,0,0.125,0.25,0.125,0,0.65,0,0.65,0,0.325,0,0.65
emberiza capensis,0,0,0,0,0,0,1,1,0.65,0.65,0.65,0,0,0,0,0,0
emberiza chrysophrys,0,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
emberiza cia,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0,0,0,0.65,0,0.325,0,1
emberiza cineracea,0,0,0,0,0,0,0.325,0.65,0.325,0,0.325,0,0.65,0,0.325,0,0.65
emberiza cioides,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0,1,0,0,0,0,0,0
emberiza cirlus,0,0,0,0,0,0,1,1,0.325,0,0.325,0,0.65,0.325,0.325,0,0
emberiza citrinella,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0,0.65,0,0.65,0,0.325,0,0
emberiza elegans,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.65,0.65,0,0.325,0,0
emberiza flaviventris,0,0.65,0.65,0.65,0.65,0.65,1,1,1,1,0.5,0,0,0,0,0,0
emberiza fucata,0.325,0,0,0,0,0,0.65,0.65,0,0,0.65,0.65,0.65,0,0.325,0,0
emberiza godlewskii,0,0,0,0,0,0,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0.325,0.65
emberiza hortulana,0,0,0,0,0,0,0.325,0.65,0.325,0,0.65,0,0.65,0,0.325,0,0.65
emberiza impetuani,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0,0,0,0,0,0
emberiza jankowskii,0,0,0,0,0,0,0.65,0.65,0,0,1,0,0,0,0,0,0
emberiza koslowi,0,0,0,0,0,0,0.65,0.65,0.325,0,0,0,0,0,0,0.325,0.65
emberiza leucocephalos,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0.65,0,0.325,0,0
emberiza melanocephala,0,0,0,0,0,0,0.65,0.65,0.325,0,0.65,0,0.65,0,0.325,0,0
emberiza pallasi,0.65,0,0,0,0,0,0.65,0.65,0,0,0.65,0.65,0.65,0,0.325,0.325,0.325
emberiza poliopleura,0,0.65,0.65,0.65,0.65,0.65,1,1,1,1,0.5,0,0,0,0,0,0
emberiza pusilla,0,0.65,0.65,0.325,0.325,0.325,0.325,0.65,0,0,0.65,0,0,0,0,0.325,0.325
emberiza rustica,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0.65,0,0,0.325,0.65,0.65,0,0.325,0,0
emberiza rutila,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
emberiza schoeniclus,0.65,0,0,0,0,0,0.325,0.325,0,0,0.325,0.65,0.65,0,0.325,0.65,0.325
emberiza socotrana,0,0,0,0,0,0,0.65,0.65,0.325,0.325,0.65,0,0,0,0,0,0.65
emberiza spodocephala,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.65,0.65,0,0.325,0,0
emberiza stewarti,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0,0,0,0,0,0,0,0.65
emberiza striolata,0,0,0,0,0,0,0,0,0,0.5,1,0,0,1,0,0,0.65
emberiza sulphurata,0,1,1,1,1,1,0.65,0.65,0,0,0,0,0.65,0,0.325,0,0
emberiza tahapisi,0,0,0,0,0,0,0.65,0.65,0.65,0.65,0.65,0,0,0.25,0,0,1
emberiza tristrami,0,1,1,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
emberiza variabilis,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.65,0,0,0,0,0
emberiza yessoensis,0.65,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
emberizoides duidae,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0
emberizoides herbicola,0.325,0,0,0,0,0,0.65,0.65,0.65,0.65,1,0.325,0,0.65,0.325,0,0.65
emberizoides ypiranganus,0.5,0,0,0,0,0,0,0.5,0,0,0.65,1,0,0,0,0,0
embernagra longicauda,0,0,0,0,0,0,0.65,0.65,1,1,0.65,0,0.65,0,0.325,0.325,0.325
embernagra platensis,0.5,0,0,0,0,0,0.65,0.65,0.325,0.325,1,0.65,0.65,0,0.325,0.325,0.325
emblema pictum,0,0,0,0,0,0,0.65,0.65,0.65,0.65,1,0,0,0.125,0,0,0
eminia lepida,0.65,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0.325,0.65,0,0.325,0,0,0
empidonax affinis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
empidonax albigularis,0.5,0,0,0,0,0,0.65,0.65,0.325,0,1,1,0,0,0,0,0
empidonax alnorum,0.5,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0.325,1,0,0,0,0,0
empidonax atriceps,0,1,1,1,1,1,0.5,0,0,0,0.65,0,0.65,0.65,0.325,0.325,0.65
empidonax difficilis,0.65,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
empidonax flavescens,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0.65,0.325,0.325,0,0
empidonax flaviventris,0.65,1,1,1,1,1,0.5,0.5,0,0,0.5,1,0.65,0,0.325,0,0
empidonax fulvifrons,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0.65,0,0.325,0.325,0.325
empidonax hammondii,0,1,1,1,1,1,0.65,0.65,0.325,0,0,0,0,0,0,0,0
empidonax minimus,0,1,1,1,1,1,1,1,0.5,0,0,0,0.65,0.65,0.325,0,0.65
empidonax oberholseri,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0.5,0.5
empidonax occidentalis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
empidonax traillii,0.325,0.65,0.65,0.65,0.65,0.65,1,1,0.5,0,0,0.65,0.65,0,0.325,0,0
empidonax virescens,0.325,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0.65,0.65,0,0.325,0,0
empidonax wrightii,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0
empidonomus aurantioatrocristatus,0,1,1,1,1,1,0.5,0,1,1,0.5,0.325,0.65,0.65,0.325,0,0.65
empidonomus varius,0,1,1,1,1,1,0.5,0,1,1,0.5,0,0,0.65,0.325,0,0.65
empidornis semipartitus,0,0,0,0,0,0,0.65,0.65,1,1,0.65,0,0,0.325,0,0,0
enchisthenes hartii,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
enhydra lutris,1,0,0,0,0,0,0,0,0,0,0.125,0.25,0,0,0,0,0
enicognathus ferrugineus,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
enicognathus leptorhynchus,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
enicurus immaculatus,1,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,1,0,0,0,0,0
enicurus leschenaulti,1,0,0,0,0,0,0.65,0.65,0.325,0,0,1,0,0,0,0,0
enicurus maculatus,1,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,1,0,0,0,0,0
enicurus ruficapillus,1,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,1,0,0,0,0,0
enicurus schistaceus,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
enicurus scouleri,1,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,1,0,0,0,0,0
enicurus velatus,1,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,1,0,0,0,0,0
enodes erythrophris,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
ensifera ensifera,0,1,1,1,1,1,0.65,0.65,0.325,0,0.65,0,0,0.325,0,0.325,0.325
entomodestes coracinus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
entomodestes leucotis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
entomyzon cyanotis,0.325,1,1,1,1,1,0.5,0.65,0.65,0.65,0.325,0.65,0.65,0.65,0.325,0,0
eoglaucomys fimbriatus,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eolagurus luteus,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0,0,0
eolagurus przewalskii,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0,0,0,0,0
eolophus roseicapilla,0,0,0,0,0,0,0.65,0.65,0.325,0.325,0.65,0,0.65,0.65,0.325,0,0.65
eonycteris major,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eonycteris robusta,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eonycteris spelaea,0,1,1,1,1,1,0.5,0,0,0,0.375,0,0.75,0.375,0.375,0,0
eophona migratoria,0,1,1,1,1,1,0.65,0.65,0,0,0.325,0,0.65,0.65,0.325,0,0
eophona personata,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0.65,0.65,0.325,0,0
eopsaltria australis,0,1,1,1,1,1,0.65,0.65,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0
eopsaltria flaviventris,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eopsaltria georgiana,0.65,1,1,1,1,1,1,1,0.5,0,0,0.65,0,0,0,0,0
eopsaltria griseogularis,0,1,1,1,1,1,0.65,0.65,1,1,0.5,0,0,0,0,0,0
eopsaltria pulverulenta,0.5,0.65,0.65,0.65,0.65,0,0,0.325,0,0,0.325,1,0,0,0,0,0
eos bornea,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0.65,0.65,0,0.325,0,0
eos cyanogenia,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
eos histrio,0,1,1,1,1,1,0.5,0,0,0,0,0,0.65,0,0.325,0,0
eos reticulata,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0.65,0,0.325,0,0
eos semilarvata,0,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0,0,0,0,0,0
eos squamata,0.325,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0.65,0.65,0,0.325,0,0
eospalax fontanierii,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0.75,0,0.375,0,0
eospalax rothschildi,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.75,0,0.25,0,0.125,0,0
eospalax smithii,0,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0.125,0,0
eothenomys cachinus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eothenomys chinensis,0,1,1,1,1,1,0.5,0,0,0,1,0,0,0,0,0,0
eothenomys custos,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.75,0,0,0,0,0,0.75
eothenomys melanogaster,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0.25,0,0.125,0,0
eothenomys miletus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eothenomys olitor,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eothenomys proditor,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0.75
eothenomys wardi,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.75,0,0,0,0,0,0.75
eozapus setchuanus,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.75,0,0,0.75,0.375,0,0.75
ephippiorhynchus asiaticus,1,0,0,0,0,0,0,0.5,0,0,0.65,1,0,0,0,0,0.325
ephippiorhynchus senegalensis,0.65,0,0,0,0,0,0,0.325,0,0,0.65,0.65,0,0,0.65,0,0
epimachus albertisi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
epimachus bruijnii,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
epimachus fastuosus,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0,0.65,0.325,0,0.65
epimachus meyeri,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0.65,0.325,0,0.65
epinecrophylla erythrura,0,1,1,1,1,1,0.5,0,0,0,0,0.325,0,0,0,0,0
epinecrophylla fjeldsaai,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
epinecrophylla fulviventris,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
epinecrophylla haematonota,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
epinecrophylla leucophthalma,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
epinecrophylla ornata,0.65,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
epinecrophylla spodionota,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
episoriculus caudatus,0,1,1,1,1,1,0.5,0,0,0,1,0,0,0.125,0,0,0
episoriculus fumidus,0,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0,0,0
episoriculus leucops,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
episoriculus macrurus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
epixerus ebii,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
epomophorus angolensis,0,0,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0
epomophorus anselli,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0
epomophorus crypturus,0,0,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0.25,0,0,0
epomophorus gambianus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0.75,0.75,0.375,0,0,0,0,0,0
epomophorus grandis,0,0.65,0.65,0.65,0.65,0.65,0.325,0,1,1,0.5,0,0,0,0,0,0
epomophorus minimus,0,0,0,0,0,0,0,0,0.75,0.75,0.375,0,0,0,0,0,0.25
epomophorus wahlbergi,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1,1,0.5,0,0,0.75,0,0,0
epomops buettikoferi,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.375,0.25,0.125,0.75,0,0,0,0,0
epomops dobsonii,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0
epomops franqueti,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0.25,0.25,0.125,0,0,0,0,0,0
eptesicus bobrinskoi,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.75
eptesicus bottae,0,0,0,0,0,0,0.75,0.75,0.375,0,0.375,0,0.75,0.75,0.375,0,0.75
eptesicus brasiliensis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
eptesicus chiriquinus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
eptesicus diminutus,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0.375,0,0,0.75,0,0,0
eptesicus floweri,0,0,0,0,0,0,0.75,0.75,0.375,0.375,0.75,0,0,0,0,0,0.25
eptesicus furinalis,0,1,1,1,1,1,0.5,0,0,0,0.375,0,0,0.75,0,0,0
