species,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
mystacina robusta,0,0.75,0.75,0.75,0.75,0.75,0.375,0,0,0,0,0,0,0,0,0,0
mystacina tuberculata,0,0.75,0.75,0.75,0.75,0.75,0.375,0.25,0,0,0,0,0.25,0,0.125,0,0
mystacornis crossleyi,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
mystromys albicaudatus,0,0,0,0,0,0,0.75,0.75,0,0,0.75,0,0,0,0,0,0
myza celebensis,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
myza sarasinorum,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
myzomela adolphinae,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0.65,0.65,0.325,0,0.65
myzomela albigula,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
myzomela blasii,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
myzomela boiei,0.325,0.65,0.65,0.65,0.65,0.65,0.325,0,0,0,0,0.65,0,0,0,0,0
myzomela caledonica,0,1,1,1,1,1,0.65,0.65,1,1,0.5,0,0.65,0.325,0.325,0,0
myzomela cardinalis,0.325,1,1,1,1,1,0.5,0,0,0,0.325,0.65,0.65,0.65,0.325,0,0.65
myzomela chermesina,0,1,1,1,1,1,0.65,0.65,0.325,0,0.325,0,0.65,0.65,0.325,0,0.65
myzomela chloroptera,0.325,1,1,1,1,1,0.5,0,0,0,0,0.65,0,0,0,0,0
myzomela cruentata,0,1,1,1,1,1,0.5,0,0.65,0.65,0.325,0,0,0,0,0,0
myzomela dammermani,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
myzomela eichhorni,0,1,1,1,1,1,0.5,0,0,0,0.325,0,0.65,0.325,0.325,0,0
myzomela eques,0,1,1,1,1,1,0.5,0,0,0,0,0,0,0,0,0,0
