Taxa,lower,Average of Mass,Average of walking speed,Average of d,Average of density
Galba,obrussa,50,0.000345,6.47E-05,15.98333333
Galba,truncatula,50,0.000345,6.47E-05,15.98333333
Lymnaea,fragilis,50,0.000345,6.47E-05,15.98333333
Lymnaea,stagnalis,50,0.000345,6.47E-05,15.98333333
Lymnaea,taurica,50,0.000345,6.47E-05,15.98333333
Omphiscola,glabra,50,0.000345,6.47E-05,15.98333333
Pseudosuccinea,columella,50,0.000345,6.47E-05,15.98333333
Radix,ampla,50,0.000345,6.47E-05,15.98333333
Radix,auricularia,50,0.000345,6.47E-05,15.98333333
Radix,balthica,50,0.000345,6.47E-05,15.98333333
Radix,labiata,50,0.000345,6.47E-05,15.98333333
Radix,lagotis,50,0.000345,6.47E-05,15.98333333
Radix,natalensis,50,0.000345,6.47E-05,15.98333333
Radix,rubiginosa,50,0.000345,6.47E-05,15.98333333
Austropeplea, ollula ,50,0.000345,6.47E-05,15.98333333
Stagnicola,palustris ,50,0.000345,6.47E-05,15.98333333
Bubalus,bubalus,50,0.000345,6.47E-05,15.98333333
Bithynia,tentaculata,50,0.000345,6.47E-05,15.98333333
Semisulcospira,semisulcospira,50,0.000345,6.47E-05,15.98333333
Thiara,melania,50,0.000345,6.47E-05,15.98333333
