analysis_unit_id,readiness_disease_name,analysis_unit_label,modelling_scope_status,recommended_next_action,pathogen_species_name,pathogen_taxid,source_pathogen,source_msl39_viral_name,matched_pathogen_names,matched_taxids,match_review_flag,shared_species_proxy_flag,match_review_notes,pathogen_species_name_source,pathogen_taxid_source,review_decision,override_query_pathogen_label,override_pathogen_taxid,override_reason,query_pathogen_label,query_pathogen_source,target_id,row_manifest_status,row_manifest_status_reason,qa_flags,genbank_distinct_countries_or_territories,who_don_distinct_countries,current_target_id,current_manifest_query_used,current_manifest_query_strategy
master_60,Tularemia,Tularemia,include,curate_direct_vector_evidence,Francisella tularensis,263,NA,NA,francisella tularensis,263,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:clover,NA,NA,NA,NA,Francisella tularensis,pathogen_species_name,Francisella_tularensis,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,NA,0,1,NA,NA,NA
master_13,Hendra,Hendra,include,find_or_build_host_sdm,Henipavirus hendraense,3052223,NA,NA,henipavirus hendraense,3052223,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Henipavirus hendraense,pathogen_species_name,Henipavirus_hendraense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,2,0,NA,NA,NA
master_12,Nipah virus disease,Nipah virus,include,ready_for_model_spec_review,Henipavirus nipahense,3052225,Henipavirus nipahense,Henipavirus nipahense,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Henipavirus nipahense,pathogen_species_name,Henipavirus_nipahense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,8,4,NA,NA,NA
master_96,Leishmania aethiopica,Leishmania aethiopica,include,curate_direct_vector_evidence,Leishmania aethiopica,5667,NA,NA,leishmania aethiopica,5667,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:clover,NA,NA,NA,NA,Leishmania aethiopica,pathogen_species_name,Leishmania_aethiopica,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,3,0,NA,NA,NA
master_79,Australian bat lyssavirus,Australian bat lyssavirus,include,find_or_build_host_sdm,Lyssavirus australis,90961,NA,NA,lyssavirus australis,90961,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Lyssavirus australis,pathogen_species_name,Lyssavirus_australis,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,1,0,NA,NA,NA
master_77,Bokeloh bat lyssavirus,Bokeloh bat lyssavirus,review_before_modelling,review_or_defer_scope,Lyssavirus bokeloh,1072176,NA,NA,lyssavirus bokeloh,1072176,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Lyssavirus bokeloh,pathogen_species_name,Lyssavirus_bokeloh,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,3,0,NA,NA,NA
master_78,Duvenhage,Duvenhage,include,find_or_build_host_sdm,Lyssavirus duvenhage,38767,NA,NA,lyssavirus duvenhage,38767,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Lyssavirus duvenhage,pathogen_species_name,Lyssavirus_duvenhage,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,3,0,NA,NA,NA
master_76,Irkut,Irkut,review_before_modelling,review_or_defer_scope,Lyssavirus irkut,249583,NA,NA,lyssavirus irkut,249583,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Lyssavirus irkut,pathogen_species_name,Lyssavirus_irkut,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,2,0,NA,NA,NA
master_53,Rabies,Rabies,review_before_modelling,review_or_defer_scope,Lyssavirus rabies,11292,NA,NA,lyssavirus rabies,11292,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Lyssavirus rabies,pathogen_species_name,Lyssavirus_rabies,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,137,0,NA,NA,NA
master_73,Guanarito,Guanarito,include,find_or_build_host_sdm,Mammarenavirus guanaritoense,3052307,NA,NA,mammarenavirus guanaritoense,3052307,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Mammarenavirus guanaritoense,pathogen_species_name,Mammarenavirus_guanaritoense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,3,0,NA,NA,NA
master_20,Argentine hemorrhagic fever,Junin virus,include,ready_for_model_spec_review,Mammarenavirus juninense,2169991,Mammarenavirus juninense,Mammarenavirus juninense,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Mammarenavirus juninense,pathogen_species_name,Mammarenavirus_juninense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,3,0,NA,NA,NA
master_11,Lassa fever,Lassa Fever virus,include,ready_for_model_spec_review,Mammarenavirus lassaense,3052310,Mammarenavirus lassaense,Mammarenavirus lassaense,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Mammarenavirus lassaense,pathogen_species_name,Mammarenavirus_lassaense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,11,11,NA,NA,NA
master_27,Lujo hemorrhagic fever,Lujo virus,defer_broad_or_aggregate_unit,review_or_defer_scope,Mammarenavirus lujoense,3052314,Mammarenavirus lujoense,Mammarenavirus lujoense,NA,NA,FALSE,FALSE,NA,source_msl39_viral_name,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,NA,NA,NA,NA,Mammarenavirus lujoense,pathogen_species_name,Mammarenavirus_lujoense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,3,0,NA,NA,NA
master_72,Machupo,Machupo,include,find_or_build_host_sdm,Mammarenavirus machupoense,3052317,NA,NA,mammarenavirus machupoense,3052317,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Mammarenavirus machupoense,pathogen_species_name,Mammarenavirus_machupoense,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,3,0,NA,NA,NA
master_45,O'nyong-nyong,O'nyong-nyong,review_before_modelling,review_or_defer_scope,Onyong-nyong virus,2169701,NA,NA,onyong-nyong virus,2169701,FALSE,FALSE,Local VIRION spelling omits the apostrophe.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Onyong-nyong virus,pathogen_species_name,Onyong_nyong_virus,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,non_include_scope; already_has_genbank_country_evidence,5,0,NA,NA,NA
master_56,African horse sickness,African horse sickness,include,curate_direct_vector_evidence,Orbivirus alphaequi,40050,NA,NA,orbivirus alphaequi,40050,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Orbivirus alphaequi,pathogen_species_name,Orbivirus_alphaequi,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,14,0,NA,NA,NA
master_52,Bluetongue,Bluetongue,include,curate_direct_vector_evidence,Orbivirus caerulinguae,3431240; 40051,NA,NA,orbivirus caerulinguae,3431240; 40051,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Orbivirus caerulinguae,pathogen_species_name,Orbivirus_caerulinguae,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,78,0,NA,NA,NA
master_55,Epizootic haemorrhagic disease,Epizootic haemorrhagic disease,include,curate_direct_vector_evidence,Orbivirus ruminantium,3431252; 40054,NA,NA,orbivirus ruminantium,3431252; 40054,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.,matched_pathogen_names,matched_taxids:virion,NA,NA,NA,NA,Orbivirus ruminantium,pathogen_species_name,Orbivirus_ruminantium,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,23,0,NA,NA,NA
master_46,Scrub typhus,Scrub typhus,include,curate_direct_vector_evidence,Orientia tsutsugamushi,784,NA,NA,orientia tsutsugamushi,784,FALSE,FALSE,NA,matched_pathogen_names,matched_taxids:clover,NA,NA,NA,NA,Orientia tsutsugamushi,pathogen_species_name,Orientia_tsutsugamushi,ready_for_future_retrieval,species-level GenBank query ready; modelling_scope_status retained as QA only,already_has_genbank_country_evidence,19,0,NA,NA,NA
