target_id,Pathogens,Disease_name,source_db,query_used,status,records_found,ids_collected,records_parsed,countries_observed,started_at,finished_at,note,source_path,source_file,genbank_run_source
Ehrlichia_chaffeensis,Ehrlichia chaffeensis,Ehrlichia chaffeensis,nuccore,txid945[Organism:exp],success,604,604,604,18,2026-05-14 18:47:22.121232,2026-05-14 18:47:49.319017,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Ehrlichia_chaffeensis.csv,Ehrlichia_chaffeensis.csv,readiness_run
Francisella_tularensis,Francisella tularensis,Tularemia,nuccore,txid263[Organism:exp],skipped_records_found_exceeds_limit,161169,0,0,0,2026-05-14 18:47:49.975009,2026-05-14 18:47:49.975091,records_found_exceeds_limit:161169>100000,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Francisella_tularensis.csv,Francisella_tularensis.csv,readiness_run
Henipavirus_hendraense,Henipavirus hendraense,Hendra,nuccore,txid3052223[Organism:exp],success,252,252,252,2,2026-05-14 18:47:49.977792,2026-05-14 18:47:58.469174,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Henipavirus_hendraense.csv,Henipavirus_hendraense.csv,readiness_run
Leishmania_aethiopica,Leishmania aethiopica,Leishmania aethiopica,nuccore,txid5667[Organism:exp],success,303,303,303,3,2026-05-14 18:47:58.474469,2026-05-14 18:48:09.068361,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Leishmania_aethiopica.csv,Leishmania_aethiopica.csv,readiness_run
Lyssavirus_australis,Lyssavirus australis,Australian bat lyssavirus,nuccore,txid90961[Organism:exp],success,120,120,120,1,2026-05-14 18:48:09.074582,2026-05-14 18:48:11.735492,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Lyssavirus_australis.csv,Lyssavirus_australis.csv,readiness_run
Lyssavirus_bokeloh,Lyssavirus bokeloh,Bokeloh bat lyssavirus,nuccore,txid1072176[Organism:exp],success,12,12,12,3,2026-05-14 18:48:11.73945,2026-05-14 18:48:13.319279,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Lyssavirus_bokeloh.csv,Lyssavirus_bokeloh.csv,readiness_run
Lyssavirus_duvenhage,Lyssavirus duvenhage,Duvenhage,nuccore,txid38767[Organism:exp],success,50,50,50,3,2026-05-14 18:48:13.322279,2026-05-14 18:48:14.748319,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Lyssavirus_duvenhage.csv,Lyssavirus_duvenhage.csv,readiness_run
Lyssavirus_irkut,Lyssavirus irkut,Irkut,nuccore,txid249583[Organism:exp],success,9,9,9,2,2026-05-14 18:48:14.751131,2026-05-14 18:48:16.548553,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Lyssavirus_irkut.csv,Lyssavirus_irkut.csv,readiness_run
Lyssavirus_rabies,Lyssavirus rabies,Rabies,nuccore,txid11292[Organism:exp],success,32657,32657,32657,138,2026-05-14 18:48:16.551509,2026-05-14 19:06:01.373119,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Lyssavirus_rabies.csv,Lyssavirus_rabies.csv,readiness_run
Mammarenavirus_guanaritoense,Mammarenavirus guanaritoense,Guanarito,nuccore,txid3052307[Organism:exp],success,160,160,160,3,2026-05-14 19:06:01.39738,2026-05-14 19:06:04.240016,NA,/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/staged/genbank_simple/local_runs/pathogen_runs_readiness/search_logs/Mammarenavirus_guanaritoense.csv,Mammarenavirus_guanaritoense.csv,readiness_run
