candidate_query,total_row_count,source_fields,example_raw_labels,example_reason_flags,taxize_status,taxize_note,matched_name,canonical_form,current_name_string,resolved_name,score,data_source_title,classification_path,resolved_matches_who,resolved_who_host,candidate_query_key,resolved_name_key
Guttera edouardi,1,host_scientific_name,Guttera edouardi sethsmithi,needs_binomialization,matched,,"Guttera edouardi (Hartlaub, 1867)",Guttera edouardi,Guttera pucherani edouardi,Guttera pucherani edouardi,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,guttera edouardi,guttera pucherani edouardi
Gymnothorax pictus,1,host_scientific_name,Gymnothorax pictus,needs_manual_synonym_map,matched,,"Gymnothorax pictus (Ahl, 1789)",Gymnothorax pictus,Gymnothorax pictus,Gymnothorax pictus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,gymnothorax pictus,gymnothorax pictus
Gyps coprotheres,1,host_scientific_name,Gyps coprotheres,needs_manual_synonym_map,matched,,"Gyps coprotheres (J. R. Forster, 1798)",Gyps coprotheres,Gyps coprotheres,Gyps coprotheres,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,gyps coprotheres,gyps coprotheres
Heliosciurus lucifer,1,verbatim_host_name,Heliosciurus lucifer,verbatim_binomial_candidate,matched,,Heliosciurus lucifer,Heliosciurus lucifer,,Heliosciurus lucifer,9.41038597559656,EOL,N/A; Exact,FALSE,,heliosciurus lucifer,heliosciurus lucifer
Heliosciurus rufobrachium,1,host_scientific_name,Heliosciurus rufobrachium rubricatus_J. A. Allen 1922,needs_binomialization,matched,,"Heliosciurus rufobrachium (Waterhouse, 1842)",Heliosciurus rufobrachium,Heliosciurus rufobrachium,Heliosciurus rufobrachium,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,heliosciurus rufobrachium,heliosciurus rufobrachium
Heliosciurus ruwenzorii,1,host_scientific_name,Heliosciurus ruwenzorii_Schwann 1904,needs_binomialization,matched,,"Heliosciurus ruwenzorii (Schwann, 1904)",Heliosciurus ruwenzorii,Heliosciurus ruwenzorii,Heliosciurus ruwenzorii,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,heliosciurus ruwenzorii,heliosciurus ruwenzorii
Herpestes birmanicus,1,verbatim_host_name,Herpestes birmanicus,verbatim_binomial_candidate,matched,,Herpestes birmanicus,Herpestes birmanicus,,Herpestes birmanicus,9.41038597559656,EOL,N/A; Exact,FALSE,,herpestes birmanicus,herpestes birmanicus
Herpestes javanicus,1,host_scientific_name,Herpestes javanicus auropunctatus_Hodgson 1836,needs_binomialization,matched,,"Herpestes javanicus (É. Geoffroy Saint-Hilaire, 1818)",Herpestes javanicus,Urva javanica,Urva javanica,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,TRUE,Urva javanica,herpestes javanicus,urva javanica
Herpsilochmus rufimarginatus,1,host_scientific_name,Herpsilochmus rufimarginatus,needs_manual_synonym_map,matched,,"Herpsilochmus rufimarginatus (Temminck, 1822)",Herpsilochmus rufimarginatus,Herpsilochmus rufimarginatus,Herpsilochmus rufimarginatus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,herpsilochmus rufimarginatus,herpsilochmus rufimarginatus
Hirundo spilodera,1,verbatim_host_name,Hirundo spilodera,verbatim_binomial_candidate,matched,,"Hirundo spilodera Sundevall, 1850",Hirundo spilodera,Petrochelidon spilodera,Petrochelidon spilodera,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,hirundo spilodera,petrochelidon spilodera
Histrix africaeaustralis,1,verbatim_host_name,Histrix africaeaustralis,verbatim_binomial_candidate,matched,,"Hystrix (Hystrix) africaeaustralis Peters, 1852",Hystrix africaeaustralis,Hystrix africaeaustralis,Hystrix africaeaustralis,9.38897978490342,Catalogue of Life,Accepted; Fuzzy,FALSE,,histrix africaeaustralis,hystrix africaeaustralis
Hyaena hyanea,1,verbatim_host_name,Hyaena hyanea,verbatim_binomial_candidate,matched,,"Hyaena Brisson, 1762",Hyaena,Hyaena,Hyaena,8.63917094139975,Catalogue of Life,Accepted; PartialExact,FALSE,,hyaena hyanea,hyaena
Hyla arborea,1,host_scientific_name,Hyla arborea,needs_manual_synonym_map,matched,,"Hyla arborea (Linnaeus, 1758)",Hyla arborea,Hyla arborea,Hyla arborea,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,hyla arborea,hyla arborea
Hylochoerus itiuriensis,1,verbatim_host_name,Hylochoerus itiuriensis,verbatim_binomial_candidate,matched,,Hylochoerus ituriensis,Hylochoerus ituriensis,,Hylochoerus ituriensis,9.38711625712716,EOL,N/A; Fuzzy,FALSE,,hylochoerus itiuriensis,hylochoerus ituriensis
Hylochoerus ituriensis,1,verbatim_host_name,Hylochoerus ituriensis,verbatim_binomial_candidate,matched,,Hylochoerus ituriensis,Hylochoerus ituriensis,,Hylochoerus ituriensis,9.41038597559656,EOL,N/A; Exact,FALSE,,hylochoerus ituriensis,hylochoerus ituriensis
Hystrix africaeaustralis,1,host_scientific_name,Hystrix africaeaustralis_Peter 1852,needs_binomialization,matched,,"Hystrix (Hystrix) africaeaustralis Peters, 1852",Hystrix africaeaustralis,Hystrix africaeaustralis,Hystrix africaeaustralis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,hystrix africaeaustralis,hystrix africaeaustralis
Iduna natalensis,1,host_scientific_name,Iduna natalensis,needs_manual_synonym_map,matched,,"Iduna natalensis (A. Smith, 1847)",Iduna natalensis,Iduna natalensis,Iduna natalensis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,iduna natalensis,iduna natalensis
Istiblennius edentulus,1,host_scientific_name,Istiblennius edentulus,needs_manual_synonym_map,matched,,"Istiblennius edentulus (Forster & Schneider, 1801)",Istiblennius edentulus,Istiblennius edentulus,Istiblennius edentulus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,istiblennius edentulus,istiblennius edentulus
Kinosternon baurii,1,host_scientific_name,Kinosternon baurii,needs_manual_synonym_map,matched,,"Kinosternon baurii (Garman, 1891)",Kinosternon baurii,Kinosternon baurii,Kinosternon baurii,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,kinosternon baurii,kinosternon baurii
Kobus thomasi,1,verbatim_host_name,Kobus thomasi,verbatim_binomial_candidate,matched,,Kobus thomasi,Kobus thomasi,,Kobus thomasi,9.41038597559656,EOL,N/A; Exact,FALSE,,kobus thomasi,kobus thomasi
Kobus vardoni,1,verbatim_host_name,Kobus vardoni,verbatim_binomial_candidate,matched,,Kobus vardoni,Kobus vardoni,,Kobus vardoni,9.41038597559656,EOL,N/A; Exact,FALSE,,kobus vardoni,kobus vardoni
Lama guanicoe,1,host_scientific_name,Lama guanicoe,needs_manual_synonym_map,matched,,"Lama guanicoe (Müller, 1776)",Lama guanicoe,Lama glama guanicoe,Lama glama guanicoe,9.4117997533884,Catalogue of Life,Synonym; synonym; Exact,FALSE,,lama guanicoe,lama glama guanicoe
Lamprophis lineatus,1,host_scientific_name,"Lamprophis lineatus (DUMÉRIL, BIBRON & DUMÉRIL, 1854)",needs_binomialization,matched,,Lamprophis lineatus,Lamprophis lineatus,,Lamprophis lineatus,9.41038597559656,EOL,N/A; Exact,FALSE,,lamprophis lineatus,lamprophis lineatus
Lamprophis virgatus,1,host_scientific_name,"Lamprophis virgatus (HALLOWELL, 1854)",needs_binomialization,matched,,Lamprophis virgatus,Lamprophis virgatus,,Lamprophis virgatus,9.41038597559656,EOL,N/A; Exact,FALSE,,lamprophis virgatus,lamprophis virgatus
Lanius collurio,1,host_scientific_name,Lanius collurio,needs_manual_synonym_map,matched,,"Lanius collurio Linnaeus, 1758",Lanius collurio,Lanius collurio,Lanius collurio,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,lanius collurio,lanius collurio
Lemniscomys macculus,1,verbatim_host_name,Lemniscomys macculus,verbatim_binomial_candidate,matched,,"Lemniscomys macculus (Thomas & Wroughton, 1910)",Lemniscomys macculus,Lemniscomys macculus,Lemniscomys macculus,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,lemniscomys macculus,lemniscomys macculus
Leopardus pardalis,1,host_scientific_name,Leopardus pardalis_Linnaeus 1758,needs_binomialization,matched,,"Leopardus pardalis (Linnaeus, 1758)",Leopardus pardalis,Leopardus pardalis,Leopardus pardalis,9.41215247989055,Catalogue of Life,Accepted; Exact,FALSE,,leopardus pardalis,leopardus pardalis
Lepus barcaeus,1,verbatim_host_name,Lepus barcaeus,verbatim_binomial_candidate,matched,,Lepus barcaeus,Lepus barcaeus,,Lepus barcaeus,9.41038597559656,EOL,N/A; Exact,FALSE,,lepus barcaeus,lepus barcaeus
Lepus saxatilits,1,verbatim_host_name,Lepus saxatilits,verbatim_binomial_candidate,matched,,"Lepus Linnaeus, 1758",Lepus,Lepus,Lepus,8.63917094139975,Catalogue of Life,Accepted; PartialExact,FALSE,,lepus saxatilits,lepus
Lepus whytei,1,verbatim_host_name,Lepus whytei,verbatim_binomial_candidate,matched,,Lepus whytei,Lepus whytei,,Lepus whytei,9.41038597559656,EOL,N/A; Exact,FALSE,,lepus whytei,lepus whytei
