matched_who_host,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_species_analysis,vector_species_needs_review,vector_name_taxonomy_examples,interaction_type_examples,source_dataset_examples,country_examples,associated_pathogen_examples,associated_parasite_examples,record_count
Arvicanthis niloticus,61156,mammalia,rodentia,muridae,Ixodes nchisiensis,FALSE,Ixodes nchisiensis,on_host_occurrence,TickMap,"Congo, The Democratic Republic of The; Malawi",,,2
Arvicanthis niloticus,61156,mammalia,rodentia,muridae,Ixodes thomasae,FALSE,Ixodes thomasae,on_host_occurrence,TickMap,Kenya,,,1
Arvicanthis niloticus,61156,mammalia,rodentia,muridae,Ornithodoros sonrai,FALSE,Ornithodoros sonrai,on_host_occurrence,TickMap,Chad,,,1
Arvicanthis niloticus,61156,mammalia,rodentia,muridae,Rhipicephalus guilhoni,FALSE,Rhipicephalus guilhoni,on_host_occurrence,TickMap,Cameroon,,,2
Arvicanthis niloticus,61156,mammalia,rodentia,muridae,Rhipicephalus sanguineus,FALSE,Rhipicephalus sanguineus,on_host_occurrence,TickMap,"Central African Republic; Congo, The Democratic Republic of The",,,2
Arvicanthis niloticus,61156,mammalia,rodentia,muridae,Rhipicephalus simus,FALSE,Rhipicephalus simus,on_host_occurrence,TickMap,Egypt; Sudan,,,7
Arvicanthis niloticus,61156,mammalia,rodentia,muridae,Xenopsylla cheopis,FALSE,Xenopsylla cheopis,on_host_occurrence,FleaMap,Burkina Faso; Côte D'ivoire; Egypt; Ghana; Mauritania; Sudan,,,182
Asio otus,111810,aves,strigiformes,strigidae,Culex pipiens,FALSE,Culex pipiens,blood_meal,BloodMealMap,United Kingdom,,,1
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Amblyomma nuttalli,FALSE,Amblyomma nuttalli,on_host_occurrence,TickMap,Burkina Faso,,,2
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Amblyomma variegatum,FALSE,Amblyomma variegatum,on_host_occurrence,TickMap,Cameroon; Nigeria; Sudan,,,3
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Ctenocephalides felis,FALSE,Ctenocephalides felis,on_host_occurrence,FleaMap,Burkina Faso; Togo,,,7
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Ctenocephalides felis,TRUE,Ctenocephalides felis strongylus,on_host_occurrence,FleaMap,Burkina Faso; Ghana,,,85
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Haemaphysalis aciculifer,FALSE,Haemaphysalis aciculifer,on_host_occurrence,TickMap,"Tanzania, United Republic of",,,1
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Haemaphysalis houyi,FALSE,Haemaphysalis houyi,on_host_occurrence,TickMap,Burkina Faso,,,1
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Haemaphysalis leachi,FALSE,Haemaphysalis leachi,on_host_occurrence,TickMap,Burkina Faso; Nigeria,,,3
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Haemaphysalis moreli,FALSE,Haemaphysalis moreli,on_host_occurrence,TickMap,Senegal,,,2
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Haemaphysalis spinulosa,FALSE,Haemaphysalis spinulosa,on_host_occurrence,TickMap,Cameroon; Sudan,,,4
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Hyalomma rufipes,FALSE,Hyalomma rufipes,on_host_occurrence,TickMap,Cameroon,,,1
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Hyalomma truncatum,FALSE,Hyalomma truncatum,on_host_occurrence,TickMap,Cameroon,,,1
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Rhipicephalus guilhoni,FALSE,Rhipicephalus guilhoni,on_host_occurrence,TickMap,Cameroon,,,1
Atelerix albiventris,9368,mammalia,eulipotyphla,erinaceidae,Rhipicephalus pravus,FALSE,Rhipicephalus pravus,on_host_occurrence,TickMap,Sudan,,,1
