matched_who_host,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_species_analysis,vector_species_needs_review,vector_name_taxonomy_examples,source_dataset_examples,country_examples,review_reason_examples,record_count
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles farauti No. 4,TRUE,Anopheles farauti No. 4,MapVEu,Papua New Guinea,vector_infraspecific,44
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles funestus,FALSE,Anopheles funestus,MapVEu,Kenya; Madagascar,,4
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles gambiae,FALSE,Anopheles gambiae,MapVEu,Ghana; Kenya,,9
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles hinesorum,FALSE,Anopheles hinesorum,MapVEu,Papua New Guinea,,1
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles koliensis,FALSE,Anopheles koliensis,MapVEu,Papua New Guinea,,2
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles longirostris,FALSE,Anopheles longirostris,MapVEu,Papua New Guinea,,7
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles maculipalpis,FALSE,Anopheles maculipalpis,MapVEu,Madagascar,,11
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles mascarensis,FALSE,Anopheles mascarensis,MapVEu,Madagascar,,3
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles pharoensis,FALSE,Anopheles pharoensis,MapVEu,Ethiopia,,2
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles pretoriensis,FALSE,Anopheles pretoriensis,MapVEu,Madagascar,,1
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles punctulatus,FALSE,Anopheles punctulatus,MapVEu,Papua New Guinea,,30
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles rufipes,FALSE,Anopheles rufipes,MapVEu,Madagascar,,2
Canis lupus,9615,mammalia,carnivora,canidae,Anopheles squamosus,FALSE,Anopheles squamosus,MapVEu,Madagascar,,9
Canis lupus,9615,mammalia,carnivora,canidae,Culex annulirostris,FALSE,Culex annulirostris,MapVEu,Australia,,5
Canis lupus,9615,mammalia,carnivora,canidae,Culex pipiens molestus,TRUE,Culex pipiens molestus,MapVEu,Australia,vector_infraspecific,1
Canis lupus,9615,mammalia,carnivora,canidae,Culex quinquefasciatus,FALSE,Culex quinquefasciatus,MapVEu,Australia; Grenada,,39
Canis lupus,9615,mammalia,carnivora,canidae,gambiae species complex,TRUE,gambiae species complex,MapVEu,Tanzania,vector_complex,2
Capra hircus,9925,mammalia,artiodactyla,bovidae,Anopheles arabiensis,FALSE,Anopheles arabiensis,MapVEu,Ethiopia; Ghana; Kenya,,16
Capra hircus,9925,mammalia,artiodactyla,bovidae,Anopheles coluzzii,FALSE,Anopheles coluzzii,MapVEu,Ghana,,8
Capra hircus,9925,mammalia,artiodactyla,bovidae,Anopheles coustani,FALSE,Anopheles coustani,MapVEu,Ethiopia; Kenya,,3
Capra hircus,9925,mammalia,artiodactyla,bovidae,Anopheles darlingi,FALSE,Anopheles darlingi,MapVEu,Peru,,4416
Capra hircus,9925,mammalia,artiodactyla,bovidae,Anopheles funestus,FALSE,Anopheles funestus,MapVEu,Kenya,,3
Capra hircus,9925,mammalia,artiodactyla,bovidae,Anopheles gambiae,FALSE,Anopheles gambiae,MapVEu,Ghana; Kenya; Madagascar,,12
Capra hircus,9925,mammalia,artiodactyla,bovidae,Anopheles pharoensis,FALSE,Anopheles pharoensis,MapVEu,Ethiopia,,2
Capra hircus,9925,mammalia,artiodactyla,bovidae,Ochlerotatus camptorhynchus,FALSE,Ochlerotatus camptorhynchus,MapVEu,Australia,,2
Capra hircus,9925,mammalia,artiodactyla,bovidae,gambiae species complex,TRUE,gambiae species complex,MapVEu,Tanzania,vector_complex,2
Cardinalis cardinalis,98964,aves,passeriformes,cardinalidae,Culiseta melanura,FALSE,Culiseta melanura,MapVEu,United States,,1
