source_dataset,analysis_unit_id,readiness_disease_name,disease_name,species_role,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_detection_tier,host_direct_detection_supported,host_role_assignment,host_role_confidence,host_role_assignment_status,host_role_needs_manual_review,modelling_role_proxy,modelling_role_proxy_basis,modelling_role_proxy_confidence,modelling_role_proxy_rule_id,modelling_role_proxy_needs_review,host_role_bucket,host_role_evidence_basis,host_role_weight,role_proxy_applied,group_proxy_applied,vector_group,vector_taxon_rank,vector_join_key,best_evidence_level,best_evidence_basis,has_disease_vector_evidence,has_host_vector_evidence,has_competence_evidence,bites_humans,bites_humans_known,bites_humans_true,vector_competence_status,transmission_demonstrated,natural_infection_reported,vector_role_hint,taxonomy_ok,sdm_needed_for_disease,sdm_available,sdm_species,model_quality_raw,model_quality_tier,model_quality_weight,retained_models,min_boyce,max_boyce,min_test_auc,max_test_auc,min_max_tss,max_max_tss,profile_broad,profile_supported,profile_strong,profile_strict,profile_group_proxy,biological_evidence_tier,no_spatial_layer,missingness_reason,tier_rule_id
repo_pilot,master_11,Lassa fever,Lassa fever,host,Mastomys natalensis,10112,mammalia,rodentia,muridae,Isolation/Observation; Not specified; PCR/Sequencing,pcr_or_sequencing,TRUE,reservoir_host,high,draft_source_backed,FALSE,reservoir_host,source_backed_role_assignment,high,source_backed_role_v0_1,FALSE,reservoir_or_amplifying_host,exact_source_backed,1,TRUE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Mastomys natalensis,,available_unscored,0.5,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,strict,FALSE,,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Mus baoulei,544437,mammalia,rodentia,muridae,PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,TRUE,host_role_presence_only; host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Mus musculus,10090,mammalia,rodentia,muridae,Antibodies,serology,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Mus musculus,,available_unscored,0.5,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,broad,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Rattus norvegicus,10116,mammalia,rodentia,muridae,Antibodies; PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Rattus norvegicus,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,Rattus rattus,10117,mammalia,rodentia,muridae,Antibodies; PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,TRUE,Rattus rattus,,available_unscored,0.5,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,FALSE,host_role_presence_only; host_role_review_needed,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,bandicota savilei,456473,,,,Antibodies,serology,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,broad,TRUE,host_role_presence_only; host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,praomys daltoni,10113,,,,Antibodies,serology,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,broad,TRUE,host_role_presence_only; host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,praomys rostratus,476587,,,,Antibodies,serology,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,broad,TRUE,host_role_presence_only; host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_11,Lassa fever,Lassa fever,host,rattus exulans,34854,,,,Antibodies,serology,FALSE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,yes,FALSE,,,no_sdm,0,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,broad,TRUE,host_role_presence_only; host_role_review_needed; no_sdm,host_v0_1
repo_pilot,master_27,Lujo hemorrhagic fever,Lujo hemorrhagic fever,host,Homo sapiens,9606,,,,Isolation/Observation; PCR/Sequencing,pcr_or_sequencing,TRUE,host_presence_only,low,candidate_only,TRUE,host_presence_only,candidate_role_assignment,low,candidate_role_v0_1,TRUE,host_presence_only,candidate_only,0.1,FALSE,FALSE,,,,,,,,,,,,,,,,TRUE,uncertain,FALSE,,,no_sdm,0,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,supported,TRUE,host_role_presence_only; host_role_review_needed; no_sdm,host_v0_1
