analysis_unit_id,readiness_disease_name,pathogen_species_name,pathogen_taxid,analysis_unit_label,family,in_master_who,priority_prototype_status,master_tier,modelling_scope_status,transmission_rule_review_status,recommended_next_action,readiness_blocker,vectored_status,generalist_status,transmission_complexity,guild,range_limiting_layer,host_sdm_needed,vector_sdm_needed,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,role_assignment_status,evidence_join_status,has_direct_vector_evidence,host_sdm_species_available,vector_sdm_species_available,genbank_distinct_countries_or_territories,who_don_distinct_countries
master_28,Hepatitis E,Paslahepevirus balayani,1678143,Hepatitis E virus,Hepeviridae,TRUE,prototype,3,include,reviewed,curate_role_evidence,missing_role_evidence,non_vectored,restricted,mixed,food_waterborne,human_exposure,optional,no,not_expected_non_vectored,who_don_and_genbank,required_sdms_available,no_role_evidence_or_assignment,matched_primary_name,FALSE,42,0,62,4
master_31,Japanese encephalitis,Orthoflavivirus japonicum,11072; 3048158,Japanese encephalitis,Flaviviridae,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,host_and_vector,yes,yes,conceptual_vectored_no_direct_vector_evidence,who_don_and_genbank,missing_required_host_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,22,1
master_32,Chagas (acute),Trypanosoma cruzi,5693,Chagas (acute),Trypanosoma,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,host_group_generalist,mixed,triatomine_borne_parasite,host_and_vector,optional,yes,conceptual_vectored_no_direct_vector_evidence,no_country_evidence,missing_required_vector_sdm,no_role_evidence_or_assignment,unmatched_no_evidence,FALSE,0,0,0,0
master_33,Melioidosis,Burkholderia pseudomallei,28450,Melioidosis,Burkholderia,FALSE,,1,include,reviewed,curate_role_evidence,missing_role_evidence,non_vectored,generalist,complex,environmental_spore_or_soil,environment,no,no,not_expected_non_vectored,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,unmatched_no_evidence,FALSE,0,0,0,0
master_34,Brazilian spotted fever,Rickettsia rickettsii,783,Brazilian spotted fever,Rickettsia,FALSE,,1,review_before_modelling,needs_review,review_or_defer_scope,scope_not_include,vectored,host_group_generalist,complex,tick_borne_pathogen,host_and_vector,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,11,0
master_35,La Crosse encephalitis,Orthobunyavirus lacrosseense,3052409,La Crosse encephalitis,Peribunyaviridae,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,restricted,complex,mosquito_borne_arbovirus,vector,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_vector_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,1,0
master_36,Powassan,Orthoflavivirus powassanense,11083; 3048287,Powassan,Flaviviridae,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,restricted,complex,tick_borne_pathogen,vector,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_vector_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,3,0
master_37,EEE,Eastern equine encephalitis virus,11021,EEE,Togaviridae,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,vector,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_vector_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,20,0
master_38,WEE,Western equine encephalitis virus,11039,WEE,Togaviridae,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,vector,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_vector_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,10,0
master_39,Jamestown Canyon,Orthobunyavirus jamestownense,3052402,Jamestown Canyon,Peribunyaviridae,FALSE,,1,include,reviewed,curate_direct_vector_evidence,missing_direct_vector_evidence,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,host_and_vector,optional,yes,conceptual_vectored_no_direct_vector_evidence,genbank_only,missing_required_vector_sdm,no_role_evidence_or_assignment,matched_primary_name,FALSE,0,0,7,0
