analysis_unit_id,readiness_disease_name,source_disease_name,disease_master_name,pathogen_species_name,pathogen_species_name_source,pathogen_taxid,pathogen_taxid_source,analysis_unit_label,family,row_type,in_master_who,priority_prototype_status,master_tier,master_guild,master_livestock_amplified,include_as_analysis_unit,modelling_scope_status,recommended_next_action,readiness_blocker,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,role_assignment_status,evidence_join_status,vectored_status,generalist_status,transmission_complexity,guild,host_sdm_needed,vector_sdm_needed,host_range_rule,vector_range_rule,range_limiting_layer,transmission_rule_review_status,host_candidate_rows,roster_host_rows,roster_vector_rows,host_role_evidence_rows,vector_role_evidence_rows,host_role_assignment_rows,vector_role_assignment_rows,has_direct_vector_evidence,direct_disease_vector_rows,direct_vector_confirmed_rows,direct_vector_probable_rows,direct_vector_competence_joined_rows,genbank_distinct_countries_or_territories,genbank_records_with_country,who_don_distinct_countries,who_don_distinct_records,host_sdm_species_available,vector_sdm_species_available
master_20,Argentine hemorrhagic fever,Argentine hemorrhagic fever,Argentine HF (Junin),Mammarenavirus juninense,source_msl39_viral_name,2169991,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,Junin virus,Arenaviridae,source_row,TRUE,prototype,1,A,FALSE,yes_existing_who,include,find_or_build_host_sdm,missing_required_host_sdm,not_expected_non_vectored,genbank_only,missing_required_host_sdm,reviewed_assignment_present,matched_primary_name,non_vectored,specialist,mixed,rodent_reservoir_direct_or_environmental,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,reviewed,8,8,0,2,0,2,0,FALSE,0,0,0,0,3,178,0,0,0,0
master_22,Severe Acute Respiratory Syndrome (SARS); COVID-19,Severe Acute Respiratory Syndrome (SARS); COVID-19,Sarbecoviruses (SARS-like),,unresolved_or_aggregate,694009; 3418604,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name,SARS-like bat sarbecoviruses,Coronaviridae,split_candidate,TRUE,both,3,B,FALSE,yes_existing_who,defer_broad_or_aggregate_unit,review_or_defer_scope,scope_not_include,not_expected_non_vectored,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,unmatched_no_evidence,non_vectored,host_group_generalist,mixed,bat_reservoir_spillover,yes,no,include_reservoir_hosts_only,no_vector,mixed,needs_review,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0
master_23,Tick-borne encephalitis,Tick-borne encephalitis,Tick-borne encephalitis,Orthoflavivirus encephalitidis,source_msl39_viral_name,11084; 3052465,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,Tick-borne encephalitis virus,Flaviviridae,source_row,TRUE,prototype,2,E,FALSE,yes_existing_who,include,find_or_build_vector_sdm,missing_required_vector_sdm,direct_vector_evidence_present,no_country_evidence,missing_required_vector_sdm,reviewed_assignment_present,matched_primary_name,vectored,restricted,complex,tick_borne_pathogen,optional,yes,host_sdm_low_value_generalist,vector_sdm_primary_limiter,vector,reviewed,0,84,11,4,5,3,5,TRUE,11,8,1,11,0,0,0,0,0,0
master_24,Severe fever with thrombocytopenia syndrome (SFTS),Severe fever with thrombocytopenia syndrome (SFTS),SFTS (Bandavirus),Bandavirus dabieense,source_msl39_viral_name,1933190; 2748958,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,SFTS virus,Phenuiviridae,source_row,TRUE,both,2,E,FALSE,yes_existing_who,review_before_modelling,review_or_defer_scope,scope_not_include,direct_vector_evidence_present,no_country_evidence,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,vectored,host_group_generalist,mixed,tick_borne_pathogen,optional,yes,host_sdm_low_value_generalist,include_competent_vectors,vector,needs_review,0,36,15,3,4,2,3,TRUE,15,5,1,15,0,0,0,0,1,0
master_25,Venezuelan equine encephalitis,Venezuelan equine encephalitis,VEE,Alphavirus venezuelan,source_msl39_viral_name,11036,virion_taxid:msl39_viral_name; virion_taxid:Pathogens,Venezuelan equine encephalitis virus,Togaviridae,source_row,TRUE,both,1/2,E,TRUE,yes_existing_who,review_before_modelling,review_or_defer_scope,scope_not_include,direct_vector_evidence_present,genbank_only,sdm_not_required_or_not_model_ready,reviewed_assignment_present,matched_primary_name,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,needs_review,31,31,35,3,3,2,3,TRUE,43,9,12,40,19,368,0,0,0,0
master_26,Borna disease (encephalitis),Borna disease (encephalitis),Borna disease,Orthobornavirus bornaense,source_msl39_viral_name,1714619,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,Mammalian Bornavirus 1 (BoDV-1),Bornaviridae,source_row,TRUE,prototype,3,B,FALSE,yes_existing_who,review_before_modelling,review_or_defer_scope,scope_not_include,not_expected_non_vectored,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,non_vectored,specialist,uncertain,small_mammal_reservoir_direct,yes,no,include_reservoir_hosts_only,no_vector,reservoir_host,needs_review,0,23,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0
master_27,Lujo hemorrhagic fever,Lujo hemorrhagic fever,Lujo HF,Mammarenavirus lujoense,source_msl39_viral_name,3052314,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Pathogens; virion_taxid:Virion_VirusName,Lujo virus,Arenaviridae,source_row,TRUE,prototype,3,A,FALSE,yes_existing_who,review_before_modelling,review_or_defer_scope,scope_not_include,not_expected_non_vectored,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,matched_primary_name,non_vectored,uncertain,mixed,rodent_reservoir_direct_or_environmental,uncertain,no,uncertain_review,no_vector,not_model_ready,insufficient_evidence,0,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0
master_28,Hepatitis E,Hepatitis E,Hepatitis E (zoonotic),Paslahepevirus balayani,source_msl39_viral_name,1678143,virion_taxid:matched_virus_name; virion_taxid:msl39_viral_name; virion_taxid:Virion_VirusName,Hepatitis E virus,Hepeviridae,source_row,TRUE,prototype,3,A,TRUE,yes_existing_who,include,curate_role_evidence,missing_role_evidence,not_expected_non_vectored,who_don_only,optional_sdms_missing,no_role_evidence_or_assignment,matched_primary_name,non_vectored,restricted,mixed,food_waterborne,optional,no,include_livestock_hosts,no_vector,human_exposure,reviewed,0,49,0,0,0,0,0,FALSE,0,0,0,0,0,0,9,12,0,0
master_31,Japanese encephalitis,Japanese encephalitis,Japanese encephalitis,Orthoflavivirus japonicum,matched_pathogen_names,11072; 3048158,matched_taxids:virion,Japanese encephalitis,Flaviviridae,,FALSE,,1,E,TRUE,yes,include,curate_direct_vector_evidence,missing_direct_vector_evidence,conceptual_vectored_no_direct_vector_evidence,who_don_only,missing_required_host_sdm,no_role_evidence_or_assignment,matched_primary_name,vectored,host_group_generalist,complex,mosquito_borne_arbovirus,yes,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,reviewed,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,4,4,0,0
master_32,Chagas (acute),Chagas (acute),Chagas (acute),Trypanosoma cruzi,matched_pathogen_names,5693,matched_taxids:clover,Chagas (acute),Trypanosoma,,FALSE,,1,E,FALSE,yes,include,curate_direct_vector_evidence,missing_direct_vector_evidence,conceptual_vectored_no_direct_vector_evidence,no_country_evidence,missing_required_vector_sdm,no_role_evidence_or_assignment,unmatched_no_evidence,vectored,host_group_generalist,mixed,triatomine_borne_parasite,optional,yes,host_sdm_low_value_generalist,include_competent_vectors,host_and_vector,reviewed,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0
master_33,Melioidosis,Melioidosis,Melioidosis,Burkholderia pseudomallei,matched_pathogen_names,28450,matched_taxids:clover,Melioidosis,Burkholderia,,FALSE,,1,env,FALSE,yes,include,curate_role_evidence,missing_role_evidence,not_expected_non_vectored,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,unmatched_no_evidence,non_vectored,generalist,complex,environmental_spore_or_soil,no,no,no_host_sdm_for_now,no_vector,environment,reviewed,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0
master_34,Brazilian spotted fever,Brazilian spotted fever,Brazilian spotted fever,Rickettsia rickettsii,matched_pathogen_names,783,matched_taxids:clover,Brazilian spotted fever,Rickettsia,,FALSE,,1,E,FALSE,yes,review_before_modelling,review_or_defer_scope,scope_not_include,conceptual_vectored_no_direct_vector_evidence,no_country_evidence,sdm_not_required_or_not_model_ready,no_role_evidence_or_assignment,unmatched_no_evidence,vectored,host_group_generalist,complex,tick_borne_pathogen,optional,yes,include_primary_amplifying_host_group,include_competent_vectors,host_and_vector,needs_review,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0
master_35,La Crosse encephalitis,La Crosse encephalitis,La Crosse encephalitis,Orthobunyavirus lacrosseense,matched_pathogen_names,3052409,matched_taxids:virion,La Crosse encephalitis,Peribunyaviridae,,FALSE,,1,E,FALSE,yes,include,curate_direct_vector_evidence,missing_direct_vector_evidence,conceptual_vectored_no_direct_vector_evidence,no_country_evidence,missing_required_vector_sdm,no_role_evidence_or_assignment,unmatched_no_evidence,vectored,restricted,complex,mosquito_borne_arbovirus,optional,yes,include_reservoir_hosts_only,vector_sdm_primary_limiter,vector,reviewed,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0
