efsa_pathogen,efsa_pathogen_clean,efsa_abbreviation,vector_species,vector_group,vector_status,field_results,laboratory_results,vn_database_species,vn_priority_species,source,vector_species_raw
Leishmania infantum,leishmania infantum,CanL,Lutzomyia migonei,sand_fly,potential,positive,,no,no,EFSA Appendix G,Lutzomyia migonei
Leishmania infantum,leishmania infantum,CanL,Lutzomyia renei,sand_fly,potential,positive,,no,no,EFSA Appendix G,Lutzomyia renei
Leishmania infantum,leishmania infantum,CanL,Micropygomyia quinquefer,sand_fly,potential,positive,,no,no,EFSA Appendix G,Micropygomyia quinquefer
Leishmania infantum,leishmania infantum,CanL,Nyssomyla whitmani,sand_fly,potential,positive,,no,no,EFSA Appendix G,Nyssomyla whitmani
Leishmania infantum,leishmania infantum,CanL,Phlebotomus longicuspis,sand_fly,potential,positive,,no,no,EFSA Appendix G,Phlebotomus longicuspis
Leishmania infantum,leishmania infantum,CanL,Phlebotomus mascittii,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,Phlebotomus mascittii
Leishmania infantum,leishmania infantum,CanL,Phlebotomus neglectus,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,Phlebotomus neglectus
Leishmania infantum,leishmania infantum,CanL,Phlebotomus papatasi,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,Phlebotomus papatasi
Leishmania infantum,leishmania infantum,CanL,Phlebotomus perfiliewi,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,Phlebotomus perfiliewi
Leishmania infantum,leishmania infantum,CanL,Phlebotomus perniciosus,sand_fly,highly_likely,positive,positive,yes,yes,EFSA Appendix G,Phlebotomus perniciosus
Leishmania infantum,leishmania infantum,CanL,Phlebotomus tobbi,sand_fly,potential,positive,,yes,yes,EFSA Appendix G,Phlebotomus tobbi
Leishmania infantum,leishmania infantum,CanL,Pintomyia fischeri,sand_fly,potential,,positive,no,no,EFSA Appendix G,Pintomyia fischeri
Leishmania infantum,leishmania infantum,CanL,Psathyromyia lutziana,sand_fly,potential,positive,,no,no,EFSA Appendix G,Psathyromyia lutziana
Leishmania infantum,leishmania infantum,CanL,Sergentomyia minuta,sand_fly,potential,positive,,yes,no,EFSA Appendix G,Sergentomyia minuta
Rift Valley fever virus,rift valley fever virus,RVFV,Aedes aegypti,mosquito,highly_likely,positive,positive,yes,yes,EFSA Appendix G,Aedes aegypti
Rift Valley fever virus,rift valley fever virus,RVFV,Aedes albopictus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes albopictus
Rift Valley fever virus,rift valley fever virus,RVFV,Aedes caspius,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes caspius
Rift Valley fever virus,rift valley fever virus,RVFV,Aedes detritus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes detritus
Rift Valley fever virus,rift valley fever virus,RVFV,Aedes durbanensis,mosquito,potential,positive,,no,no,EFSA Appendix G,Aedes durbanensis
Rift Valley fever virus,rift valley fever virus,RVFV,Aedes melanimon,mosquito,potential,,positive,no,no,EFSA Appendix G,Aedes melanimon
Rift Valley fever virus,rift valley fever virus,RVFV,Aedes vexans,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes vexans
Rift Valley fever virus,rift valley fever virus,RVFV,Anopheles coustani,mosquito,potential,,positive,no,no,EFSA Appendix G,Anopheles coustani
Rift Valley fever virus,rift valley fever virus,RVFV,Culex antennatus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex antennatus
Rift Valley fever virus,rift valley fever virus,RVFV,Culex erraticus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex erraticus
Rift Valley fever virus,rift valley fever virus,RVFV,Culex erythrothorax,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex erythrothorax
Rift Valley fever virus,rift valley fever virus,RVFV,Culex nigripalpus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex nigripalpus
Rift Valley fever virus,rift valley fever virus,RVFV,Culex pipiens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens
Rift Valley fever virus,rift valley fever virus,RVFV,Culex pipiens biotype molestus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens biotype molestus
Rift Valley fever virus,rift valley fever virus,RVFV,Culex pipiens biotype pipiens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens biotype pipiens
Rift Valley fever virus,rift valley fever virus,RVFV,Culex pipiens biotype pipiens x biotype molestus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens biotype pipiens x biotype molestus
Rift Valley fever virus,rift valley fever virus,RVFV,Culex pipiens s.l.,mosquito,potential,positive,,yes,no,EFSA Appendix G,Culex pipiens s.l.
Rift Valley fever virus,rift valley fever virus,RVFV,Culex poicilipes,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex poicilipes
Rift Valley fever virus,rift valley fever virus,RVFV,Culex quinquefasciatus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex quinquefasciatus
Rift Valley fever virus,rift valley fever virus,RVFV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex tarsalis
Rift Valley fever virus,rift valley fever virus,RVFV,Culex tritaeniorhynchus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex tritaeniorhynchus
Rift Valley fever virus,rift valley fever virus,RVFV,Culex zombaensis,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex zombaensis
Rift Valley fever virus,rift valley fever virus,RVFV,Culiseta inornata,mosquito,potential,,positive,no,no,EFSA Appendix G,Culiseta inornata
Schmallenberg virus,schmallenberg virus,SBV,Culicoides chiopterus,biting_midge,potential,positive,,yes,yes,EFSA Appendix G,Culicoides chiopterus
Schmallenberg virus,schmallenberg virus,SBV,Culicoides imicola,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,Culicoides imicola
Schmallenberg virus,schmallenberg virus,SBV,Culicoides nubeculosus,biting_midge,potential,positive,,yes,no,EFSA Appendix G,Culicoides nubeculosus
Schmallenberg virus,schmallenberg virus,SBV,Culicoides obsoletus,biting_midge,potential,,positive,yes,yes,EFSA Appendix G,Culicoides obsoletus
Schmallenberg virus,schmallenberg virus,SBV,Culicoides obsoletus complex,biting_midge,highly_likely,positive,positive,yes,yes,EFSA Appendix G,Culicoides obsoletus complex
Schmallenberg virus,schmallenberg virus,SBV,Culicoides obsoletus group,biting_midge,potential,positive,,yes,no,EFSA Appendix G,Culicoides obsoletus group
Schmallenberg virus,schmallenberg virus,SBV,Culicoides pulicaris,biting_midge,potential,positive,,yes,yes,EFSA Appendix G,Culicoides pulicaris
Schmallenberg virus,schmallenberg virus,SBV,Culicoides sonorensis,biting_midge,potential,,positive,no,no,EFSA Appendix G,Culicoides sonorensis
St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex interfor,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex interfor
St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex nigripalpus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex nigripalpus
St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex pipiens,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Culex pipiens
St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex quinquefasciatus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex quinquefasciatus
St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex saltanensis,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex saltanensis
St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex stigmatosoma,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex stigmatosoma
St. Louis encephalitis virus,st louis encephalitis virus,SLEV,Culex tarsalis,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex tarsalis
Thogoto virus,thogoto virus,THOV,Haemaphysalis longicornis,tick,potential,,positive,no,no,EFSA Appendix G,Haemaphysalis longicornis
Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,VEEV,Aedes detritus,mosquito,potential,,positive,yes,yes,EFSA Appendix G,Aedes detritus
Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,VEEV,Culex gnomatos,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex gnomatos
Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,VEEV,Culex gnomatos/vomerifer,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex gnomatos/vomerifer
Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,VEEV,Culex taeniopus,mosquito,potential,,positive,no,no,EFSA Appendix G,Culex taeniopus
Venezuelan equine encephalitis virus,venezuelan equine encephalitis virus,VEEV,Psorophora columbiae,mosquito,potential,,positive,no,no,EFSA Appendix G,Psorophora columbiae
