analysis_unit_id,master_row,disease_master_name,resolved_disease_name,resolved_pathogen_name,resolved_pathogen_rank,preferred_match_source,host_query_include_default,host_query_bucket,host_query_source,host_query_pathogen_names,host_query_taxids,match_method,match_review_flag,shared_species_proxy_flag,match_review_notes,source_database,source_assoc_id,source_detection_method,source_host_flag_id,source_pathogen_name,source_pathogen_taxid,source_pathogen_type,source_pathogen_family,source_pathogen_order,source_pathogen_class,source_host_name,source_host_taxid,source_host_genus,source_host_family,source_host_order,source_host_class
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,810830,Isolation/Observation,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,semnopithecus entellus,88029,semnopithecus,cercopithecidae,primates,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,GenBank,810828,PCR/Sequencing,FALSE,orthoflavivirus kyasanurense,3048170,virus,flaviviridae,amarillovirales,flasuviricetes,semnopithecus entellus,88029,semnopithecus,cercopithecidae,primates,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,814566,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,suncus murinus,9378,suncus,soricidae,eulipotyphla,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,871341,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,tatera indica,186471,tatera,muridae,rodentia,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,Shaw,871358,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,tephrodornis virgatus,316102,tephrodornis,prionopidae,passeriformes,aves
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,871768,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,trachypithecus francoisi,54180,trachypithecus,cercopithecidae,primates,mammalia
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,Shaw,871933,Antibodies,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,treron pompadora,1118849,treron,columbidae,columbiformes,aves
master_81,81,Alkhurma,Alkhumra hemorrhagic fever,Alkhumra hemorrhagic fever virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus kyasanurense,3048170; 33743,taxid,TRUE,TRUE,Taxonomic species shared with Kyasanur Forest disease virus; do not treat this as Alkhumra-specific host evidence without review.,HP3,873907,Isolation/Observation,FALSE,orthoflavivirus kyasanurense,33743,virus,flaviviridae,amarillovirales,flasuviricetes,vandeleuria oleracea,2028311,vandeleuria,muridae,rodentia,mammalia
master_87,87,Rickettsia conorii indica,Indian tick typhus,Rickettsia conorii subsp. indica,subspecies,clover,FALSE,match_review,clover,rickettsia conorii,781,taxid,TRUE,FALSE,CLOVER local match is at parent species level.,GMPD2,17315,Antibodies,,rickettsia conorii,781,bacteria/rickettsia,rickettsiaceae,rickettsiales,alphaproteobacteria,canis aureus,68724,canis,canidae,carnivora,mammalia
master_87,87,Rickettsia conorii indica,Indian tick typhus,Rickettsia conorii subsp. indica,subspecies,clover,FALSE,match_review,clover,rickettsia conorii,781,taxid,TRUE,FALSE,CLOVER local match is at parent species level.,EID2,21194,PCR/Sequencing,,rickettsia conorii,781,bacteria/rickettsia,rickettsiaceae,rickettsiales,alphaproteobacteria,canis lupus,9612,canis,canidae,carnivora,mammalia
master_87,87,Rickettsia conorii indica,Indian tick typhus,Rickettsia conorii subsp. indica,subspecies,clover,FALSE,match_review,clover,rickettsia conorii,781,taxid,TRUE,FALSE,CLOVER local match is at parent species level.,GMPD2,24349,Antibodies,,rickettsia conorii,781,bacteria/rickettsia,rickettsiaceae,rickettsiales,alphaproteobacteria,chlorocebus pygerythrus,60710,chlorocebus,cercopithecidae,primates,mammalia
master_87,87,Rickettsia conorii indica,Indian tick typhus,Rickettsia conorii subsp. indica,subspecies,clover,FALSE,match_review,clover,rickettsia conorii,781,taxid,TRUE,FALSE,CLOVER local match is at parent species level.,EID2,56184,Not specified,,rickettsia conorii,781,bacteria/rickettsia,rickettsiaceae,rickettsiales,alphaproteobacteria,homo sapiens,9606,homo,hominidae,primates,mammalia
master_87,87,Rickettsia conorii indica,Indian tick typhus,Rickettsia conorii subsp. indica,subspecies,clover,FALSE,match_review,clover,rickettsia conorii,781,taxid,TRUE,FALSE,CLOVER local match is at parent species level.,GMPD2,72043,PCR/Sequencing,,rickettsia conorii,781,bacteria/rickettsia,rickettsiaceae,rickettsiales,alphaproteobacteria,panthera leo,9689,panthera,felidae,carnivora,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,Shaw,17500,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,amblycercus holosericeus,84791,amblycercus,icteridae,passeriformes,aves
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,HP3,26655,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,anoura geoffroyi,148021,anoura,phyllostomidae,chiroptera,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,HP3,30946,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,artibeus cinereus,40224,artibeus,phyllostomidae,chiroptera,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,HP3,31011,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,artibeus jamaicensis,9417,artibeus,phyllostomidae,chiroptera,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,HP3,31233,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,artibeus lituratus,27634,artibeus,phyllostomidae,chiroptera,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,Shaw,57664,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,callithrix jacchus,9483,callithrix,cebidae,primates,mammalia
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,virion,FALSE,shared_species_proxy_review,virion,orthoflavivirus ilheusense,3052466; 59563,taxid,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,Shaw,57739,Antibodies,FALSE,orthoflavivirus ilheusense,59563,virus,flaviviridae,amarillovirales,flasuviricetes,callithrix penicillata,57378,callithrix,cebidae,primates,mammalia
