analysis_unit_id,master_row,disease_master_name,resolved_disease_name,resolved_pathogen_name,resolved_pathogen_rank,include_as_analysis_unit,split_group,clover_matched_pathogen_names,virion_matched_pathogen_names,clover_matched_taxids,virion_matched_taxids,clover_matched_families,virion_matched_families,clover_matched_source_types,virion_matched_source_types,clover_best_match_type,virion_best_match_type,clover_best_match_distance,virion_best_match_distance,clover_match_status,virion_match_status,clover_candidate_count,virion_candidate_count,clover_alias_types,virion_alias_types,clover_alias_notes,virion_alias_notes,clover_alias_review_flag,virion_alias_review_flag,preferred_match_source,overall_match_status,preferred_source_match_status,match_review_flag,shared_species_proxy_flag,match_review_notes
master_84,84,Colorado tick fever,Colorado tick fever,Colorado tick fever virus,species,yes,colorado_tick_fever,colorado tick fever coltivirus,coltivirus dermacentoris,2748762,2748762; 3428066,reoviridae,spinareoviridae,virus,virus,fuzzy_candidate,manual_alias,0.0688888888888889,0,review_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_85,85,Babesia microti,Babesiosis due to Babesia microti,Babesia microti,species,yes,babesia_microti,babesia microti,,5868,,babesiidae,,protozoa,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_86,86,Ehrlichia chaffeensis,Human monocytic ehrlichiosis,Ehrlichia chaffeensis,species,yes,ehrlichia_chaffeensis,ehrlichia chaffeensis,,945,,anaplasmataceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_87,87,Rickettsia conorii indica,Indian tick typhus,Rickettsia conorii subsp. indica,subspecies,yes,rickettsia_conorii_indica,rickettsia conorii,,781,,rickettsiaceae,,bacteria/rickettsia,,manual_alias,,0,,accepted_candidate,,1,,parent_species_match,,CLOVER local match is at parent species level.,,TRUE,,clover,matched_or_candidate,preferred_source_matched,TRUE,FALSE,CLOVER local match is at parent species level.
master_91,91,Murray Valley encephalitis,Murray Valley encephalitis,Murray Valley encephalitis virus,species,yes,murray_valley_encephalitis,murray valley encephalitis virus,orthoflavivirus murrayense,11079,11079; 3048215,flaviviridae,flaviviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_92,92,Rocio,Rocio virus encephalitis,Rocio virus,species,yes,rocio,ilheus virus,orthoflavivirus ilheusense,59563,3052466; 59563,flaviviridae,flaviviridae,virus,virus,manual_alias,manual_alias,0,0,accepted_candidate,accepted_candidate,1,2,shared_species_proxy,shared_species_proxy,Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.,TRUE,TRUE,virion,matched_or_candidate,preferred_source_matched,TRUE,TRUE,Taxonomic species shared with Ilheus virus; do not treat this as Rocio-specific host evidence without review.; Local CLOVER match at the Ilheus virus/species proxy level; do not treat this as Rocio-specific host evidence without review.
master_93,93,Everglades,Everglades virus disease,Everglades virus,species,yes,everglades,everglades virus,alphavirus everglades,2083198,2083198,togaviridae,togaviridae,virus,virus,exact,manual_alias,0,0,accepted_candidate,accepted_candidate,1,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,FALSE,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
master_95,95,Baylisascaris procyonis,Baylisascariasis,Baylisascaris procyonis,species,yes,baylisascaris_procyonis,baylisascaris procyonis,,6259,,ascarididae,,helminth,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_96,96,Leishmania aethiopica,Cutaneous leishmaniasis due to Leishmania aethiopica,Leishmania aethiopica,species,yes,leishmania_aethiopica,leishmania aethiopica,,5667,,trypanosomatidae,,protozoa,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_97,97,Borrelia hermsii,Tick-borne relapsing fever,Borrelia hermsii,species,yes,borrelia_hermsii,borrelia hermsii,,140,,borreliaceae,,bacteria/rickettsia,,exact,,0,,accepted_candidate,,1,,,,,,FALSE,,clover,matched_or_candidate,preferred_source_matched,FALSE,FALSE,
master_98,98,Menangle,Menangle virus infection,Menangle virus,species,yes,menangle,,pararubulavirus menangleense,,3052599,,paramyxoviridae,,virus,,manual_alias,,0,,accepted_candidate,,1,,taxonomy_name,,ICTV/NCBI-style species name used in local VIRION taxonomy.,,FALSE,virion,matched_or_candidate,preferred_source_matched,FALSE,FALSE,ICTV/NCBI-style species name used in local VIRION taxonomy.
