master_list_source,master_row,disease_master_name,pathogen_family_master,in_master_who,in_master_gibb,in_master_empres_i,in_master_atlas,master_gbif_checked,master_guild,master_livestock_amplified,master_tier,master_key_host_vector,master_notes,name_resolution_status,combined_row_type,existing_lookup_name,match_field,row_type,family,pheic_risk,source_pathogen,source_previous_name,source_msl39_viral_name,source_disease_name,is_priority_pathogen,is_prototype_pathogen,in_gibb_etal,in_empres_i,priority_prototype_status,region_africa,region_americas,region_europe,region_mediterranean,region_se_asia,region_western_pacific,source_unit_scope,analysis_unit,analysis_unit_label,analysis_unit_rank,analysis_decision,decision_rule_trigger,transmission_context,human_infection_status,host_link_status,vector_data_status,amplifier_data_status,example_members,rationale,notes
disease_master_list_v2,32,Chagas (acute),Trypanosoma,FALSE,TRUE,FALSE,FALSE,TRUE,E,FALSE,1,Triatomine bugs,"GBIF adds ~2,500 T. cruzi records",needs_pathogen_name_resolution,master_list_review_unit,,,,Trypanosoma,,,,,Chagas (acute),,,,,,,,,,,,disease_level_review,Chagas (acute),Chagas (acute),disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,"GBIF adds ~2,500 T. cruzi records"
disease_master_list_v2,33,Melioidosis,Burkholderia,FALSE,TRUE,FALSE,FALSE,FALSE,env,FALSE,1,Environmental (B. pseudomallei),No animal reservoir,needs_pathogen_name_resolution,master_list_review_unit,,,,Burkholderia,,,,,Melioidosis,,,,,,,,,,,,disease_level_review,Melioidosis,Melioidosis,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,env,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,No animal reservoir
disease_master_list_v2,34,Brazilian spotted fever,Rickettsia,FALSE,TRUE,FALSE,FALSE,FALSE,E,FALSE,1,Amblyomma ticks,,needs_pathogen_name_resolution,master_list_review_unit,,,,Rickettsia,,,,,Brazilian spotted fever,,,,,,,,,,,,disease_level_review,Brazilian spotted fever,Brazilian spotted fever,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,
disease_master_list_v2,35,La Crosse encephalitis,Peribunyaviridae,FALSE,TRUE,FALSE,TRUE,FALSE,E,FALSE,1,Aedes treehole mosquitoes,,needs_pathogen_name_resolution,master_list_review_unit,,,,Peribunyaviridae,,,,,La Crosse encephalitis,,,,,,,,,,,,disease_level_review,La Crosse encephalitis,La Crosse encephalitis,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,
disease_master_list_v2,36,Powassan,Flaviviridae,FALSE,TRUE,FALSE,TRUE,FALSE,E,FALSE,1,Ixodes ticks,,needs_pathogen_name_resolution,master_list_review_unit,,,,Flaviviridae,,,,,Powassan,,,,,,,,,,,,disease_level_review,Powassan,Powassan,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,
disease_master_list_v2,37,EEE,Togaviridae,FALSE,TRUE,TRUE,FALSE,FALSE,E,TRUE,1,Mosquitoes; wild birds,Equine amplification,needs_pathogen_name_resolution,master_list_review_unit,,,,Togaviridae,,,,,EEE,,,,,,,,,,,,disease_level_review,EEE,EEE,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,livestock_amplifier_flag_from_master_list,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,Equine amplification
disease_master_list_v2,38,WEE,Togaviridae,FALSE,TRUE,TRUE,FALSE,FALSE,E,TRUE,1,Mosquitoes; wild birds,Equine amplification,needs_pathogen_name_resolution,master_list_review_unit,,,,Togaviridae,,,,,WEE,,,,,,,,,,,,disease_level_review,WEE,WEE,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,livestock_amplifier_flag_from_master_list,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,Equine amplification
disease_master_list_v2,39,Jamestown Canyon,Peribunyaviridae,FALSE,TRUE,FALSE,TRUE,FALSE,E,FALSE,1,Mosquitoes; deer,,needs_pathogen_name_resolution,master_list_review_unit,,,,Peribunyaviridae,,,,,Jamestown Canyon,,,,,,,,,,,,disease_level_review,Jamestown Canyon,Jamestown Canyon,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,
disease_master_list_v2,40,St. Louis encephalitis,Flaviviridae,FALSE,TRUE,FALSE,FALSE,FALSE,E,FALSE,1,Culex; wild birds,,needs_pathogen_name_resolution,master_list_review_unit,,,,Flaviviridae,,,,,St. Louis encephalitis,,,,,,,,,,,,disease_level_review,St. Louis encephalitis,St. Louis encephalitis,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,
disease_master_list_v2,41,Mayaro,Togaviridae,FALSE,TRUE,FALSE,FALSE,FALSE,E,FALSE,1,Haemagogus mosquitoes; NHP,,needs_pathogen_name_resolution,master_list_review_unit,,,,Togaviridae,,,,,Mayaro,,,,,,,,,,,,disease_level_review,Mayaro,Mayaro,disease_or_syndrome_review,review_name_resolution,master_list_new_or_unmatched,E,,,,unknown,,Disease appears in the disease master list but has not yet been resolved to a curated pathogen analysis unit.,
