analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,host_class,host_order,host_family,host_detection_method,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,source_pathogens,in_current_role_review_scope,in_gibb_etal,in_empres_i,taxonomy_caution
master_10,Marburg virus disease,Marburg virus disease,Rhinolophus eloquens,519038,mammalia,chiroptera,rhinolophidae,Antibodies; PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_10,Marburg virus disease,Marburg virus disease,Rousettus aegyptiacus,9407,mammalia,chiroptera,pteropodidae,Isolation/Observation; PCR/Sequencing,reservoir_host,high,FALSE,draft_source_backed,Orthomarburgvirus marburgense,TRUE,TRUE,TRUE,FALSE
master_11,Lassa fever,Lassa fever,Arvicanthis niloticus,61156,mammalia,rodentia,muridae,Antibodies,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Bandicota indica,456472,mammalia,rodentia,muridae,Antibodies,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Canis lupus,9615,mammalia,carnivora,canidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Capra hircus,9925,mammalia,artiodactyla,bovidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Cavia porcellus,10141,mammalia,rodentia,caviidae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Homo sapiens,9606,,,,Isolation/Observation; Not specified; PCR/Sequencing,amplifying_host,medium,TRUE,draft_needs_review,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Hylomyscus pamfi,913014,mammalia,rodentia,muridae,PCR/Sequencing,reservoir_host,medium,TRUE,draft_source_backed,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Lophuromys sikapusi,83535,mammalia,rodentia,muridae,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Macaca fascicularis,9541,mammalia,primates,cercopithecidae,Isolation/Observation,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Mastomys,70830,,,,PCR/Sequencing,host_presence_only,low,TRUE,candidate_only,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
master_11,Lassa fever,Lassa fever,Mastomys erythroleucus,41268,mammalia,rodentia,muridae,Isolation/Observation; PCR/Sequencing,reservoir_host,medium,TRUE,draft_source_backed,Mammarenavirus lassaense,TRUE,TRUE,FALSE,FALSE
