analysis_unit_id,readiness_disease_name,disease_name,species_name,tax_id,species_role,sdm_needed_for_disease,host_role_assignment,host_role_confidence,host_role_needs_manual_review,host_role_assignment_status,vector_role_assignment,vector_role_confidence,vector_role_needs_manual_review,vector_role_assignment_status,sdm_available,sdm_species
master_12,Nipah virus disease,Nipah virus disease,Sus scrofa,9823,host,yes,amplifying_host,high,FALSE,draft_source_backed,,,,,TRUE,Sus scrofa
master_12,Nipah virus disease,Nipah virus disease,Sus scrofa,9825,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,TRUE,Sus scrofa
master_12,Nipah virus disease,Nipah virus disease,cynopterus sphinx,9400,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_12,Nipah virus disease,Nipah virus disease,eidolon dupreanum,58063,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_12,Nipah virus disease,Nipah virus disease,epomophorus gambianus,372077,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_12,Nipah virus disease,Nipah virus disease,pteropus pumilus,161598,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_12,Nipah virus disease,Nipah virus disease,pteropus rodricensis,77216,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_12,Nipah virus disease,Nipah virus disease,pteropus rufus,196297,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_12,Nipah virus disease,Nipah virus disease,pteropus sp.,1562770,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Accipiter cooperii,261198,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Accipiter nisus,211598,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
master_16,Influenza (H5N1 avian influenza),Influenza (H5N1 avian influenza),Accipiter striatus,56330,host,yes,host_presence_only,low,TRUE,candidate_only,,,,,FALSE,
