analysis_unit_id,readiness_disease_name,pathogen_species_name,pathogen_taxid,pilot_subset,pilot_priority,pilot_next_step,modelling_scope_status,recommended_next_action,readiness_blocker,host_sdm_needed,vector_sdm_needed,direct_vector_evidence_status,country_evidence_status,sdm_availability_status,vectored_status,generalist_status,transmission_complexity,guild,range_limiting_layer,role_assignment_status,evidence_join_status,host_candidate_rows,roster_host_rows,roster_vector_rows,roster_vectors_with_host_vector_evidence,roster_vectors_with_human_biting,roster_taxonomy_caution_rows,host_role_evidence_rows,host_role_evidence_substantive_rows,vector_role_evidence_rows,vector_role_evidence_substantive_rows,host_role_assignment_rows,host_role_substantive_assignment_rows,vector_role_assignment_rows,vector_role_substantive_assignment_rows,direct_disease_vector_rows,direct_vector_species_or_taxa,direct_vector_confirmed_rows,direct_vector_probable_rows,direct_vector_candidate_rows,direct_vector_competence_joined_rows,direct_vector_competent_rows,direct_vector_mixed_competence_rows,direct_vector_not_competent_rows,direct_vector_unclear_competence_rows,direct_vector_transmission_yes_rows,direct_vector_natural_infection_yes_rows,direct_vector_taxonomy_review_needed_rows,genbank_country_rows,genbank_distinct_countries_or_territories,genbank_records_with_country,who_don_focal_country_rows,who_don_distinct_records,who_don_distinct_countries,who_don_high_confidence_rows,who_don_manual_review_rows,host_sdm_species_available,vector_sdm_species_available,host_sdm_projection_species_available,vector_sdm_projection_species_available,host_sdm_comparison_species_available,vector_sdm_comparison_species_available,has_substantive_host_role_evidence,has_substantive_vector_role_evidence,has_direct_vector_evidence,has_genbank_country_evidence,has_who_don_focal_evidence,evidence_qa_matched_disease_name,direct_vector_matched_disease_name,genbank_matched_disease_name,who_don_matched_disease_name,sdm_matched_disease_name
master_15,Mpox (Monkeypox),Orthopoxvirus monkeypox,10244; 3431483,who_scope_review,2,decide_scope_before_modelling,review_before_modelling,review_or_defer_scope,scope_not_include,uncertain,no,not_expected_non_vectored,who_don_and_genbank,sdm_not_required_or_not_model_ready,non_vectored,uncertain,mixed,direct_contact_or_bite,uncertain,reviewed_assignment_present,matched_primary_name,20,20,0,0,0,0,5,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,11748,3,3,3,2,3,16,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,Mpox (Monkeypox),,Mpox (Monkeypox),Mpox (Monkeypox),Mpox (Monkeypox)
master_18,Oropouche fever,Orthobunyavirus oropoucheense,3052429,who_scope_review,2,decide_scope_before_modelling,review_before_modelling,review_or_defer_scope,scope_not_include,uncertain,yes,direct_vector_evidence_present,who_don_and_genbank,sdm_not_required_or_not_model_ready,vectored,restricted,complex,midge_borne_arbovirus,vector,reviewed_assignment_present,matched_primary_name,6,6,15,10,10,0,2,2,3,3,2,2,3,3,16,15,1,4,7,16,2,3,4,7,2,9,0,15,15,3156,5,1,5,0,5,2,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,Oropouche fever,Oropouche fever,Oropouche fever,Oropouche fever,Oropouche fever
master_24,Severe fever with thrombocytopenia syndrome (SFTS),Bandavirus dabieense,1933190; 2748958,who_scope_review,2,decide_scope_before_modelling,review_before_modelling,review_or_defer_scope,scope_not_include,optional,yes,direct_vector_evidence_present,genbank_only,sdm_not_required_or_not_model_ready,vectored,host_group_generalist,mixed,tick_borne_pathogen,vector,reviewed_assignment_present,matched_primary_name,0,36,15,7,3,0,3,3,4,4,2,2,3,3,15,15,5,1,2,15,5,1,1,8,5,15,0,6,6,9975,0,0,0,0,0,28,0,1,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,Severe fever with thrombocytopenia syndrome (SFTS),Severe fever with thrombocytopenia syndrome (SFTS),Severe fever with thrombocytopenia syndrome (SFTS),,Severe fever with thrombocytopenia syndrome (SFTS)
master_25,Venezuelan equine encephalitis,Alphavirus venezuelan,11036,who_scope_review,2,decide_scope_before_modelling,review_before_modelling,review_or_defer_scope,scope_not_include,yes,yes,direct_vector_evidence_present,genbank_only,sdm_not_required_or_not_model_ready,vectored,host_group_generalist,complex,livestock_amplified_vector_borne,host_and_vector,reviewed_assignment_present,matched_primary_name,31,31,35,21,19,0,3,3,3,3,2,2,3,3,43,35,9,12,22,40,18,0,0,22,19,17,0,19,19,368,0,0,0,0,0,18,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,Venezuelan equine encephalitis,Venezuelan equine encephalitis,Venezuelan equine encephalitis,,Venezuelan equine encephalitis
master_26,Borna disease (encephalitis),Orthobornavirus bornaense,1714619,who_scope_review,2,decide_scope_before_modelling,review_before_modelling,review_or_defer_scope,scope_not_include,yes,no,not_expected_non_vectored,genbank_only,sdm_not_required_or_not_model_ready,non_vectored,specialist,uncertain,small_mammal_reservoir_direct,reservoir_host,no_role_evidence_or_assignment,matched_primary_name,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,313,0,0,0,0,0,15,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,Borna disease (encephalitis),,Borna disease (encephalitis),,Borna disease (encephalitis)
master_14,Middle East Respiratory Syndrome (MERS),,1335626; 3433633,who_defer_aggregate,3,defer_or_split_aggregate_unit,defer_broad_or_aggregate_unit,review_or_defer_scope,scope_not_include,yes,no,not_expected_non_vectored,who_don_only,sdm_not_required_or_not_model_ready,non_vectored,restricted,mixed,livestock_primary_non_vectored,livestock_host,no_role_evidence_or_assignment,matched_primary_name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,184,22,1,279,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,Middle East Respiratory Syndrome (MERS),,,Middle East Respiratory Syndrome (MERS),
master_22,Severe Acute Respiratory Syndrome (SARS); COVID-19,,694009; 3418604,who_defer_aggregate,3,defer_or_split_aggregate_unit,defer_broad_or_aggregate_unit,review_or_defer_scope,scope_not_include,yes,no,not_expected_non_vectored,no_country_evidence,sdm_not_required_or_not_model_ready,non_vectored,host_group_generalist,mixed,bat_reservoir_spillover,mixed,no_role_evidence_or_assignment,unmatched_no_evidence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
master_27,Lujo hemorrhagic fever,Mammarenavirus lujoense,3052314,who_defer_aggregate,3,defer_or_split_aggregate_unit,defer_broad_or_aggregate_unit,review_or_defer_scope,scope_not_include,uncertain,no,not_expected_non_vectored,genbank_only,sdm_not_required_or_not_model_ready,non_vectored,uncertain,mixed,rodent_reservoir_direct_or_environmental,not_model_ready,no_role_evidence_or_assignment,matched_primary_name,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,Lujo hemorrhagic fever,,Lujo hemorrhagic fever,,Lujo hemorrhagic fever
who_27,Non-typhoidal salmonellosis,Salmonella enterica non typhoidal serovars,28901,who_defer_aggregate,3,defer_or_split_aggregate_unit,defer_broad_or_aggregate_unit,review_or_defer_scope,scope_not_include,optional,no,not_expected_non_vectored,no_country_evidence,sdm_not_required_or_not_model_ready,non_vectored,generalist,mixed,food_waterborne,human_exposure,no_role_evidence_or_assignment,unmatched_no_evidence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,
who_30,Reovirus infection (usually mild),Orthoreovirus mammalis,,who_defer_aggregate,3,defer_or_split_aggregate_unit,defer_broad_or_aggregate_unit,review_or_defer_scope,scope_not_include,no,no,not_expected_non_vectored,genbank_only,sdm_not_required_or_not_model_ready,non_vectored,generalist,uncertain,direct_or_environmental_non_vectored,not_model_ready,no_role_evidence_or_assignment,matched_primary_name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,2227,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,Reovirus infection (usually mild),,Reovirus infection (usually mild),,
who_37,Sudan virus disease (Ebola virus disease),Orthoebolavirus sudanense,186540; 3052460,who_defer_aggregate,3,defer_or_split_aggregate_unit,defer_broad_or_aggregate_unit,review_or_defer_scope,scope_not_include,optional,no,not_expected_non_vectored,who_don_and_genbank,sdm_not_required_or_not_model_ready,non_vectored,restricted,complex,bat_reservoir_spillover,mixed,reviewed_assignment_present,matched_primary_name,1,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,150,11,7,2,3,9,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,Sudan virus disease (Ebola virus disease),,Sudan virus disease (Ebola virus disease),Sudan virus disease (Ebola virus disease),Sudan virus disease (Ebola virus disease)
