disease_name,disease_name_clean,vector_species,vector_species_clean,vector_group,vector_group_clean,best_evidence_level,best_evidence_basis,record_sources,source_count,supporting_row_count,locations_summary,sources_summary,notes_summary,has_lit_review,has_efsa,vector_species_rule_cleaned,taxonomy_cleanup_method,vector_species_original,vector_species_taxonomy_cleaned,vector_taxon_rank,review_needed,review_note
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis parva,haemaphysalis parva,tick,tick,candidate,review,lit_review,1,2,"Turkey, North Caucasus",Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,haemaphysalis parva,no_change,Haemaphysalis parva,haemaphysalis parva,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis punctata,haemaphysalis punctata,tick,tick,candidate,review,lit_review,1,4,Arab world; Some parts of Asia; South-East of Europe,Celina et al. 2025; EFSA 2010; Perveen and Khan 2022; Shahhosseini et al. 2021,associated with CCHFV; potential vector,TRUE,FALSE,haemaphysalis punctata,no_change,Haemaphysalis punctata,haemaphysalis punctata,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Haemaphysalis sulcata,haemaphysalis sulcata,tick,tick,candidate,review,lit_review,1,2,Iran,Celina et al. 2025; Shahhosseini et al. 2021,potential vector,TRUE,FALSE,haemaphysalis sulcata,no_change,Haemaphysalis sulcata,haemaphysalis sulcata,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma aegyptium,hyalomma aegyptium,tick,tick,confirmed,review,EFSA; lit_review,2,5,Arab world; global; not specified; Tajikistan,Celina et al. 2025; EFSA Appendix G; Parvage et al. 2025; Perveen and Khan 2022; Spengler et al. 2016,confirmed vector; detected in tick; efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease,TRUE,TRUE,hyalomma aegyptium,no_change,Hyalomma aegyptium,hyalomma aegyptium,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma anatolicum,hyalomma anatolicum,tick,tick,confirmed,review,EFSA; lit_review,2,8,Arab world; Asia; Eurasia; global; not specified,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; EFSA Appendix G; Estrada-Pena et al. 2012; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease; high-capacity species; potential vector; principal vector,TRUE,TRUE,hyalomma anatolicum,no_change,Hyalomma anatolicum,hyalomma anatolicum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma asiaticum,hyalomma asiaticum,tick,tick,confirmed,review,EFSA; lit_review,2,5,Asia; global; not specified,Celina et al. 2025; de la Fuente et al. 2024; EFSA Appendix G; Parvage et al. 2025; Shahhosseini et al. 2021,confirmed vector; efsa_pathogen=Crimean-Congo haemorrhagic fever virus; match_confidence=exact; match_method=exact_disease; high-capacity species; principal vector,TRUE,TRUE,hyalomma asiaticum,no_change,Hyalomma asiaticum,hyalomma asiaticum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma asiaticum kozlovi,hyalomma asiaticum kozlovi,tick,tick,confirmed,review,lit_review,1,1,,Celina et al. 2025,confirmed vector,TRUE,FALSE,hyalomma asiaticum kozlovi,no_change,Hyalomma asiaticum kozlovi,hyalomma asiaticum kozlovi,infraspecific,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma detritum,hyalomma detritum,tick,tick,confirmed,review,lit_review,1,2,Middle East; Africa,Celina et al. 2025; Shahhosseini et al. 2021,confirmed vector,TRUE,FALSE,hyalomma detritum,no_change,Hyalomma detritum,hyalomma detritum,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma dromedarii,hyalomma dromedarii,tick,tick,confirmed,review,lit_review,1,6,Arab world; global; Middle East; Northern Africa,Celina et al. 2025; de la Fuente et al. 2024; EFSA 2010; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; high-capacity species; potential vector; principal vector,TRUE,FALSE,hyalomma dromedarii,no_change,Hyalomma dromedarii,hyalomma dromedarii,species,FALSE,
Crimean-Congo hemorrhagic fever,crimean congo hemorrhagic fever,Hyalomma excavatum,hyalomma excavatum,tick,tick,confirmed,review,lit_review,1,5,Africa; Middle East; Arab world; global,Celina et al. 2025; EFSA 2010; Parvage et al. 2025; Perveen and Khan 2022; Shahhosseini et al. 2021,confirmed vector; potential vector,TRUE,FALSE,hyalomma excavatum,no_change,Hyalomma excavatum,hyalomma excavatum,species,FALSE,
