vector_species_taxonomy_cleaned,vector_species_original_examples,vector_species_clean_examples,disease_examples,review_needed_any,review_notes,official_correct_name,official_taxon_level,official_synonyms,official_iucn_name,official_name_status,helper_iucn_name,helper_itis_name,helper_gbif_name,helper_note,gbif_usage_key,gbif_scientific_name,gbif_canonical_name,gbif_rank,gbif_status,gbif_match_type,gbif_note,itis_tsn,itis_scientific_name,itis_name_usage,itis_accepted_name,itis_note
culex pipiens biotype molestus,Culex pipiens biotype molestus,culex pipiens biotype molestus,Rift Valley fever; West Nile fever; Zika virus disease,FALSE,,,species,Culex molestus; Culex pipiens; Psorophora ciliata,,no_official_name_returned,,,,"# A tibble: 9 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex pipiens b… 1 Catalogue of Life Curated 32BJ4; 2 Culex pipiens b… 1 Catalogue of Life Curated 32BJ3; 3 Culex pipiens b… 12 EOL AutoCur… bare-na…; 4 Culex pipiens b… 12 EOL AutoCur… bare-na…; 5 Culex pipiens b… 12 EOL AutoCur… bare-na…; 6 Culex pipiens b… 12 EOL AutoCur… bare-na…; 7 Culex pipiens b… 12 EOL AutoCur… bare-na…; 8 Culex pipiens b… 12 EOL AutoCur… bare-na…; 9 Culex pipiens b… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",9718761,"Culex pipiens f. molestus Forsskål, 1775",Culex pipiens molestus,FORM,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens biotype molestus x culex quinquefasciatus,Culex pipiens biotype molestus x Culex quinquefasciatus,culex pipiens biotype molestus x culex quinquefasciatus,West Nile fever,FALSE,,,species,Culex pipiens biotype molestus x culex quinquefasciatus,,no_official_name_returned,,,,IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL,,,,,,NONE,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens biotype pipiens,Culex pipiens biotype pipiens,culex pipiens biotype pipiens,Rift Valley fever; West Nile fever; Zika virus disease,FALSE,,Culex pipiens,species,Culex pipiens,,suggested_change,,,Culex pipiens,"# A tibble: 5 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex pipiens b… 1 Catalogue of Life Curated 32BNW; 2 Culex pipiens b… 1 Catalogue of Life Curated KZYZ5; 3 Culex pipiens b… 12 EOL AutoCur… bare-na…; 4 Culex pipiens b… 12 EOL AutoCur… bare-na…; 5 Culex pipiens b… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",9650734,Culex pipiens f. pipiens,Culex pipiens pipiens,FORM,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens biotype pipiens x biotype molestus,Culex pipiens biotype pipiens x biotype molestus,culex pipiens biotype pipiens x biotype molestus,Rift Valley fever; West Nile fever,FALSE,,,species,Culex pipiens biotype pipiens x biotype molestus,,no_official_name_returned,,,,IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL,,,,,,NONE,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens biotype pipiens x culex quinquefasciatus,Culex pipiens biotype pipiens x Culex quinquefasciatus,culex pipiens biotype pipiens x culex quinquefasciatus,West Nile fever,FALSE,,,species,Culex pipiens biotype pipiens x culex quinquefasciatus,,no_official_name_returned,,,,IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL,,,,,,NONE,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens complex,Culex pipiens complex,culex pipiens complex,Rift Valley fever,FALSE,,Culex pipiens,species,Culex pipiens,,suggested_change,,,Culex pipiens,"# A tibble: 5 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex pipiens c… 1 Catalogue of Life Curated 32BNW; 2 Culex pipiens c… 1 Catalogue of Life Curated KZYZ5; 3 Culex pipiens c… 12 EOL AutoCur… bare-na…; 4 Culex pipiens c… 12 EOL AutoCur… bare-na…; 5 Culex pipiens c… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1652991,"Culex pipiens Linnaeus, 1758",Culex pipiens,SPECIES,ACCEPTED,HIGHERRANK,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens form molestus,Culex pipiens form molestus,culex pipiens form molestus,Rift Valley fever,FALSE,,,species,Culex pipiens molestus,,no_official_name_returned,,,,"# A tibble: 8 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex pipiens f… 12 EOL AutoCur… bare-na…; 2 Culex pipiens f… 12 EOL AutoCur… bare-na…; 3 Culex pipiens f… 12 EOL AutoCur… bare-na…; 4 Culex pipiens f… 12 EOL AutoCur… bare-na…; 5 Culex pipiens f… 12 EOL AutoCur… bare-na…; 6 Culex pipiens f… 12 EOL AutoCur… bare-na…; 7 Culex pipiens f… 12 EOL AutoCur… bare-na…; 8 Culex pipiens f… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",9718761,"Culex pipiens f. molestus Forsskål, 1775",Culex pipiens molestus,FORM,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens hybrid form,Culex pipiens hybrid form,culex pipiens hybrid form,Rift Valley fever,FALSE,,,,,,no_official_name_returned,,,,retrieve_syns_new error: the condition has length > 1,1652991,"Culex pipiens Linnaeus, 1758",Culex pipiens,SPECIES,ACCEPTED,HIGHERRANK,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens molestus,Culex pipiens molestus,culex pipiens molestus,Zika virus disease,FALSE,,,species,Culex pipiens molestus,,no_official_name_returned,,,,"# A tibble: 8 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex pipiens m… 12 EOL AutoCur… bare-na…; 2 Culex pipiens m… 12 EOL AutoCur… bare-na…; 3 Culex pipiens m… 12 EOL AutoCur… bare-na…; 4 Culex pipiens m… 12 EOL AutoCur… bare-na…; 5 Culex pipiens m… 12 EOL AutoCur… bare-na…; 6 Culex pipiens m… 12 EOL AutoCur… bare-na…; 7 Culex pipiens m… 12 EOL AutoCur… bare-na…; 8 Culex pipiens m… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",5885716,"Culex pipiens molestus Forskal, 1775",Culex pipiens molestus,SUBSPECIES,ACCEPTED,EXACT,2 synonym homonyms,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens pipiens,Culex pipiens pipiens,culex pipiens pipiens,West Nile fever,FALSE,,,species,Culex pipiens pipiens,,no_official_name_returned,,,,"# A tibble: 7 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex pipiens p… 12 EOL AutoCur… bare-na…; 2 Culex pipiens p… 12 EOL AutoCur… bare-na…; 3 Culex pipiens p… 12 EOL AutoCur… bare-na…; 4 Culex pipiens p… 12 EOL AutoCur… bare-na…; 5 Culex pipiens p… 12 EOL AutoCur… bare-na…; 6 Culex pipiens p… 12 EOL AutoCur… bare-na…; 7 Culex pipiens p… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",7342572,"Culex pipiens pipiens Linnaeus, 1758",Culex pipiens pipiens,SUBSPECIES,ACCEPTED,EXACT,2 synonym homonyms,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens quinquefasciatus,Culex pipiens quinquefasciatus,culex pipiens quinquefasciatus,West Nile fever,FALSE,,Culex quinquefasciatus,species,Culex pipiens quinquefasciatus; Culex quinquefasciatus,,suggested_change,,,Culex quinquefasciatus,"# A tibble: 2 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex pipiens q… 12 EOL AutoCur… bare-na…; 2 Culex pipiens q… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",11233045,Culex pipiens quinquefasciatus Say,Culex pipiens quinquefasciatus,SUBSPECIES,SYNONYM,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens restuans,Culex pipiens/restuans,culex pipiens restuans,West Nile fever,FALSE,,Culex restuans,species,Culex quinquefasciatus; Culex restuans; Simulium reptans,,suggested_change,,,Culex restuans,"# A tibble: 4 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex pipiens r… 1 Catalogue of Life Curated 32BRV; 2 Culex pipiens r… 1 Catalogue of Life Curated 8836V; 3 Culex pipiens r… 12 EOL AutoCur… bare-na…; 4 Culex pipiens r… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1652991,"Culex pipiens Linnaeus, 1758",Culex pipiens,SPECIES,ACCEPTED,HIGHERRANK,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex pipiens s l,Culex pipiens s.l.,culex pipiens s l,Rift Valley fever; West Nile fever,FALSE,,Culex pipiens,species,Culex pipiens,,suggested_change,,,Culex pipiens,"# A tibble: 5 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex pipiens s… 1 Catalogue of Life Curated 32BNW; 2 Culex pipiens s… 1 Catalogue of Life Curated KZYZ5; 3 Culex pipiens s… 12 EOL AutoCur… bare-na…; 4 Culex pipiens s… 12 EOL AutoCur… bare-na…; 5 Culex pipiens s… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1652991,"Culex pipiens Linnaeus, 1758",Culex pipiens,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex poicilipes,Culex (Culex) poicilipes; Culex poicilipes,culex culex poicilipes; culex poicilipes,Rift Valley fever,FALSE,,Culex poicilipes,species,Culex poicilipes,,exact_match,,,Culex poicilipes,"# A tibble: 4 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex poicilipes 1 Catalogue of Life Curated 32BP6; 2 Culex poicilipes 12 EOL AutoCur… bare-na…; 3 Culex poicilipes 12 EOL AutoCur… bare-na…; 4 Culex poicilipes 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1653443,"Culex poicilipes (Theobald, 1903)",Culex poicilipes,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex poicilipes theobald,Culex poicilipes (Theobald),culex poicilipes theobald,Rift Valley fever,FALSE,,Culex theobaldi,species,Culex theobaldi,,suggested_change,,,Culex theobaldi,"# A tibble: 3 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex poicilipe… 1 Catalogue of Life Curated 32BX3; 2 Culex poicilipe… 12 EOL AutoCur… bare-na…; 3 Culex poicilipe… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1653443,"Culex poicilipes (Theobald, 1903)",Culex poicilipes,SPECIES,ACCEPTED,HIGHERRANK,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex portesi,Culex (Melanoconion) portesi; Culex portesi,culex melanoconion portesi; culex portesi,Venezuelan equine encephalitis,FALSE,,Culex portesi,species,Culex portesi,,exact_match,,,Culex portesi,"# A tibble: 4 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex portesi 1 Catalogue of Life Curated 8BN6N; 2 Culex portesi 1 Catalogue of Life Curated 88FVD; 3 Culex portesi 12 EOL AutoCurated bare-na…; 4 Culex portesi 12 EOL AutoCurated bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1652715,"Culex portesi Sénévet & Abonnenc, 1941",Culex portesi,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex quinquefasciatus,Culex quinquefasciatus,culex quinquefasciatus,Dengue; Oropouche fever; Rift Valley fever; West Nile fever; Zika virus disease,FALSE,,Culex quinquefasciatus,species,Culex quinquefasciatus,Culex quinquefasciatus,exact_match,Culex quinquefasciatus,,Culex quinquefasciatus,"# A tibble: 5 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex quinquefa… 1 Catalogue of Life Curated 8BMMQ; 2 Culex quinquefa… 1 Catalogue of Life Curated 8836T; 3 Culex quinquefa… 12 EOL AutoCur… bare-na…; 4 Culex quinquefa… 12 EOL AutoCur… bare-na…; 5 Culex quinquefa… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: INSECTA; IUCN Date: NA; IUCN Family: CULICIDAE; IUCN ID: 84626792; IUCN Latest: NA; IUCN Name: Culex quinquefasciatus; IUCN Number of Synonyms: NA; IUCN Order: DIPTERA; IUCN Phylum: ARTHROPODA; IUCN Present: Yes; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1652950,"Culex quinquefasciatus Say, 1823",Culex quinquefasciatus,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex quinquefasciatus say,Culex quinquefasciatus Say,culex quinquefasciatus say,Rift Valley fever,FALSE,,Culex quinquefasciatus,species,Culex quinquefasciatus,Culex quinquefasciatus,suggested_change,Culex quinquefasciatus,,Culex quinquefasciatus,"# A tibble: 5 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex quinquefa… 1 Catalogue of Life Curated 8BMMQ; 2 Culex quinquefa… 1 Catalogue of Life Curated 8836T; 3 Culex quinquefa… 12 EOL AutoCur… bare-na…; 4 Culex quinquefa… 12 EOL AutoCur… bare-na…; 5 Culex quinquefa… 12 EOL AutoCur… bare-na…; IUCN Category: NA; IUCN Class: INSECTA; IUCN Date: NA; IUCN Family: CULICIDAE; IUCN ID: 84626792; IUCN Latest: NA; IUCN Name: Culex quinquefasciatus; IUCN Number of Synonyms: NA; IUCN Order: DIPTERA; IUCN Phylum: ARTHROPODA; IUCN Present: Yes; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1652950,"Culex quinquefasciatus Say, 1823",Culex quinquefasciatus,SPECIES,ACCEPTED,HIGHERRANK,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex restuans,Culex restuans,culex restuans,West Nile fever,FALSE,,Culex restuans,species,Culex quinquefasciatus; Culex restuans; Simulium reptans,,exact_match,,,Culex restuans,"# A tibble: 4 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex restuans 1 Catalogue of Life Curated 32BRV; 2 Culex restuans 1 Catalogue of Life Curated 8836V; 3 Culex restuans 12 EOL AutoCurat… bare-na…; 4 Culex restuans 12 EOL AutoCurat… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1652927,"Culex restuans Theobald, 1901",Culex restuans,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
culex rubinotus,Culex rubinotus,culex rubinotus,Zika virus disease,FALSE,,Culex rubinotus,species,Culex rubinotus,,exact_match,,,Culex rubinotus,"# A tibble: 3 × 30; # currentCanonicalFull <chr>, taxonomicStatus <chr>,; # currentCardinality <dbl>, currentCanonicalSimple <chr>,; # currentRecordId <chr>, currentNameId <chr>, currentName <chr>,; # ℹ 25 more variables: entryDate <chr>, sortScore <dbl>,; # isSynonym <lgl>, editDistance <dbl>, stemEditDistance <dbl>, …; # matchedCanonicalSimple <chr>, matchedCanonicalFull <chr>,; # matchedNameID <chr>, matchedName <chr>, matchedCardinality <dbl>,; <chr> <chr> <chr> <chr> <chr>; 1 Culex rubinotus 1 Catalogue of Life Curated 32BSL; 2 Culex rubinotus 1 Catalogue of Life Curated 88FYD; 3 Culex rubinotus 12 EOL AutoCura… bare-na…; IUCN Category: NA; IUCN Class: NA; IUCN Date: NA; IUCN Family: NA; IUCN ID: NA; IUCN Latest: NA; IUCN Name: NA; IUCN Number of Synonyms: NA; IUCN Order: NA; IUCN Phylum: NA; IUCN Present: No; IUCN Status: NA; IUCN Synonyms: NA; NULL; submittedName dataSourceId dataSourceTitleShort curation recordId",1652733,"Culex rubinotus Theobald, 1906",Culex rubinotus,SPECIES,ACCEPTED,EXACT,,,,,,ITIS lookup skipped by VECTOR_AUDIT_SKIP_ITIS
